,depot,INST0155_N15_S05_P000,INST0155_N15_S05_D000,INST0155_N15_S05_P001,INST0155_N15_S05_D001,INST0155_N15_S05_P002,INST0155_N15_S05_D002,INST0155_N15_S05_P003,INST0155_N15_S05_D003,INST0155_N15_S05_P004,INST0155_N15_S05_D004,INST0155_N15_S05_P005,INST0155_N15_S05_D005,INST0155_N15_S05_P006,INST0155_N15_S05_D006,INST0155_N15_S05_P007,INST0155_N15_S05_D007,INST0155_N15_S05_P008,INST0155_N15_S05_D008,INST0155_N15_S05_P009,INST0155_N15_S05_D009,INST0155_N15_S05_P010,INST0155_N15_S05_D010,INST0155_N15_S05_P011,INST0155_N15_S05_D011,INST0155_N15_S05_P012,INST0155_N15_S05_D012,INST0155_N15_S05_P013,INST0155_N15_S05_D013,INST0155_N15_S05_P014,INST0155_N15_S05_D014
INST0155_N15_S05_P007,10.881,43.838,32.298,32.298,25.439,0.0,43.838,54.565,58.699,43.838,7.008,58.699,65.452,0.0,54.565,0.0,44.339,43.838,7.008,32.298,0.0,54.565,89.072,43.838,58.699,65.452,0.0,54.565,89.072,0.0,25.439
INST0155_N15_S05_D007,36.46,59.003,24.954,24.954,19.488,44.339,59.003,67.889,102.776,59.003,41.761,102.776,54.903,44.339,67.889,44.339,0.0,59.003,41.761,24.954,44.339,67.889,103.829,59.003,102.776,54.903,44.339,67.889,103.829,44.339,19.488
INST0155_N15_S05_P008,50.526,0.0,65.388,65.388,45.002,43.838,0.0,10.867,71.865,0.0,49.927,71.865,103.002,43.838,10.867,43.838,59.003,0.0,49.927,65.388,43.838,10.867,47.206,0.0,71.865,103.002,43.838,10.867,47.206,43.838,45.002
INST0155_N15_S05_D008,5.477,49.927,26.505,26.505,24.239,7.008,49.927,60.745,62.898,49.927,0.0,62.898,58.521,7.008,60.745,7.008,41.761,49.927,0.0,26.505,7.008,60.745,95.708,49.927,62.898,58.521,7.008,60.745,95.708,7.008,24.239
INST0155_N15_S05_P009,21.478,65.388,0.0,0.0,21.517,32.298,65.388,75.908,88.975,65.388,26.505,88.975,37.715,32.298,75.908,32.298,24.954,65.388,26.505,0.0,32.298,75.908,112.576,65.388,88.975,37.715,32.298,75.908,112.576,32.298,21.517
INST0155_N15_S05_D009,10.881,43.838,32.298,32.298,25.439,0.0,43.838,54.565,58.699,43.838,7.008,58.699,65.452,0.0,54.565,0.0,44.339,43.838,7.008,32.298,0.0,54.565,89.072,43.838,58.699,65.452,0.0,54.565,89.072,0.0,25.439
INST0155_N15_S05_P010,61.394,10.867,75.908,75.908,55.171,54.565,10.867,0.0,77.092,10.867,60.745,77.092,113.587,54.565,0.0,54.565,67.889,10.867,60.745,75.908,54.565,0.0,36.733,10.867,77.092,113.587,54.565,0.0,36.733,54.565,55.171
INST0155_N15_S05_D010,97.061,47.206,112.576,112.576,91.902,89.072,47.206,36.733,93.449,47.206,95.708,93.449,150.208,89.072,36.733,89.072,103.829,47.206,95.708,112.576,89.072,36.733,0.0,47.206,93.449,150.208,89.072,36.733,0.0,89.072,91.902
INST0155_N15_S05_P011,50.526,0.0,65.388,65.388,45.002,43.838,0.0,10.867,71.865,0.0,49.927,71.865,103.002,43.838,10.867,43.838,59.003,0.0,49.927,65.388,43.838,10.867,47.206,0.0,71.865,103.002,43.838,10.867,47.206,43.838,45.002
INST0155_N15_S05_D011,68.319,71.865,88.975,88.975,83.416,58.699,71.865,77.092,0.0,71.865,62.898,0.0,113.511,58.699,77.092,58.699,102.776,71.865,62.898,88.975,58.699,77.092,93.449,71.865,0.0,113.511,58.699,77.092,93.449,58.699,83.416
INST0155_N15_S05_P012,55.179,103.002,37.715,37.715,59.019,65.452,103.002,113.587,113.511,103.002,58.521,113.511,0.0,65.452,113.587,65.452,54.903,103.002,58.521,37.715,65.452,113.587,150.208,103.002,113.511,0.0,65.452,113.587,150.208,65.452,59.019
INST0155_N15_S05_D012,10.881,43.838,32.298,32.298,25.439,0.0,43.838,54.565,58.699,43.838,7.008,58.699,65.452,0.0,54.565,0.0,44.339,43.838,7.008,32.298,0.0,54.565,89.072,43.838,58.699,65.452,0.0,54.565,89.072,0.0,25.439
INST0155_N15_S05_P013,61.394,10.867,75.908,75.908,55.171,54.565,10.867,0.0,77.092,10.867,60.745,77.092,113.587,54.565,0.0,54.565,67.889,10.867,60.745,75.908,54.565,0.0,36.733,10.867,77.092,113.587,54.565,0.0,36.733,54.565,55.171
INST0155_N15_S05_D013,97.061,47.206,112.576,112.576,91.902,89.072,47.206,36.733,93.449,47.206,95.708,93.449,150.208,89.072,36.733,89.072,103.829,47.206,95.708,112.576,89.072,36.733,0.0,47.206,93.449,150.208,89.072,36.733,0.0,89.072,91.902
INST0155_N15_S05_P014,10.881,43.838,32.298,32.298,25.439,0.0,43.838,54.565,58.699,43.838,7.008,58.699,65.452,0.0,54.565,0.0,44.339,43.838,7.008,32.298,0.0,54.565,89.072,43.838,58.699,65.452,0.0,54.565,89.072,0.0,25.439
INST0155_N15_S05_D014,19.629,45.002,21.517,21.517,0.0,25.439,45.002,55.171,83.416,45.002,24.239,83.416,59.019,25.439,55.171,25.439,19.488,45.002,24.239,21.517,25.439,55.171,91.902,45.002,83.416,59.019,25.439,55.171,91.902,25.439,0.0
