,depot,INST0165_N15_N15_P000,INST0165_N15_N15_D000,INST0165_N15_N15_P001,INST0165_N15_N15_D001,INST0165_N15_N15_P002,INST0165_N15_N15_D002,INST0165_N15_N15_P003,INST0165_N15_N15_D003,INST0165_N15_N15_P004,INST0165_N15_N15_D004,INST0165_N15_N15_P005,INST0165_N15_N15_D005,INST0165_N15_N15_P006,INST0165_N15_N15_D006,INST0165_N15_N15_P007,INST0165_N15_N15_D007,INST0165_N15_N15_P008,INST0165_N15_N15_D008,INST0165_N15_N15_P009,INST0165_N15_N15_D009,INST0165_N15_N15_P010,INST0165_N15_N15_D010,INST0165_N15_N15_P011,INST0165_N15_N15_D011,INST0165_N15_N15_P012,INST0165_N15_N15_D012,INST0165_N15_N15_P013,INST0165_N15_N15_D013,INST0165_N15_N15_P014,INST0165_N15_N15_D014
INST0165_N15_N15_D004,119.262,113.909,109.689,119.262,104.379,113.909,122.278,119.262,0.0,126.352,0.0,153.371,110.207,95.428,132.815,113.909,110.207,110.207,126.352,119.262,122.278,126.352,95.428,110.207,113.909,126.352,0.0,153.371,252.84,132.815,95.428
INST0165_N15_N15_P005,34.294,48.052,46.06,34.294,81.232,48.052,35.653,34.294,153.371,27.111,153.371,0.0,44.646,93.371,28.616,48.052,44.646,44.646,27.111,34.294,35.653,27.111,93.371,44.646,48.052,27.111,153.371,0.0,100.108,28.616,93.371
INST0165_N15_N15_D005,11.477,13.942,2.788,11.477,64.236,13.942,27.709,11.477,110.207,18.229,110.207,44.646,0.0,55.435,23.461,13.942,0.0,0.0,18.229,11.477,27.709,18.229,55.435,0.0,13.942,18.229,110.207,44.646,144.673,23.461,55.435
INST0165_N15_N15_P006,66.32,46.019,52.8,66.32,107.477,46.019,82.833,66.32,95.428,71.779,95.428,93.371,55.435,0.0,64.86,46.019,55.435,55.435,71.779,66.32,82.833,71.779,0.0,55.435,46.019,71.779,95.428,93.371,187.822,64.86,0.0
INST0165_N15_N15_D006,19.671,20.683,23.353,19.671,81.17,20.683,35.534,19.671,132.815,17.254,132.815,28.616,23.461,64.86,0.0,20.683,23.461,23.461,17.254,19.671,35.534,17.254,64.86,23.461,20.683,17.254,132.815,28.616,125.319,0.0,64.86
INST0165_N15_N15_P007,21.8,0.0,11.436,21.8,77.99,0.0,40.266,21.8,113.909,26.126,113.909,48.052,13.942,46.019,20.683,0.0,13.942,13.942,26.126,21.8,40.266,26.126,46.019,13.942,0.0,26.126,113.909,48.052,145.998,20.683,46.019
INST0165_N15_N15_D007,11.477,13.942,2.788,11.477,64.236,13.942,27.709,11.477,110.207,18.229,110.207,44.646,0.0,55.435,23.461,13.942,0.0,0.0,18.229,11.477,27.709,18.229,55.435,0.0,13.942,18.229,110.207,44.646,144.673,23.461,55.435
INST0165_N15_N15_P008,11.477,13.942,2.788,11.477,64.236,13.942,27.709,11.477,110.207,18.229,110.207,44.646,0.0,55.435,23.461,13.942,0.0,0.0,18.229,11.477,27.709,18.229,55.435,0.0,13.942,18.229,110.207,44.646,144.673,23.461,55.435
INST0165_N15_N15_D008,7.201,26.126,20.176,7.201,64.45,26.126,18.283,7.201,126.352,0.0,126.352,27.111,18.229,71.779,17.254,26.126,18.229,18.229,0.0,7.201,18.283,0.0,71.779,18.229,26.126,0.0,126.352,27.111,127.166,17.254,71.779
INST0165_N15_N15_P009,0.0,21.8,13.759,0.0,61.784,21.8,18.791,0.0,119.262,7.201,119.262,34.294,11.477,66.32,19.671,21.8,11.477,11.477,7.201,0.0,18.791,7.201,66.32,11.477,21.8,7.201,119.262,34.294,134.365,19.671,66.32
INST0165_N15_N15_D009,18.791,40.266,30.471,18.791,47.339,40.266,0.0,18.791,122.278,18.283,122.278,35.653,27.709,82.833,35.534,40.266,27.709,27.709,18.283,18.791,0.0,18.283,82.833,27.709,40.266,18.283,122.278,35.653,131.141,35.534,82.833
INST0165_N15_N15_P010,7.201,26.126,20.176,7.201,64.45,26.126,18.283,7.201,126.352,0.0,126.352,27.111,18.229,71.779,17.254,26.126,18.229,18.229,0.0,7.201,18.283,0.0,71.779,18.229,26.126,0.0,126.352,27.111,127.166,17.254,71.779
INST0165_N15_N15_D010,66.32,46.019,52.8,66.32,107.477,46.019,82.833,66.32,95.428,71.779,95.428,93.371,55.435,0.0,64.86,46.019,55.435,55.435,71.779,66.32,82.833,71.779,0.0,55.435,46.019,71.779,95.428,93.371,187.822,64.86,0.0
INST0165_N15_N15_P011,11.477,13.942,2.788,11.477,64.236,13.942,27.709,11.477,110.207,18.229,110.207,44.646,0.0,55.435,23.461,13.942,0.0,0.0,18.229,11.477,27.709,18.229,55.435,0.0,13.942,18.229,110.207,44.646,144.673,23.461,55.435
INST0165_N15_N15_D011,21.8,0.0,11.436,21.8,77.99,0.0,40.266,21.8,113.909,26.126,113.909,48.052,13.942,46.019,20.683,0.0,13.942,13.942,26.126,21.8,40.266,26.126,46.019,13.942,0.0,26.126,113.909,48.052,145.998,20.683,46.019
INST0165_N15_N15_P012,7.201,26.126,20.176,7.201,64.45,26.126,18.283,7.201,126.352,0.0,126.352,27.111,18.229,71.779,17.254,26.126,18.229,18.229,0.0,7.201,18.283,0.0,71.779,18.229,26.126,0.0,126.352,27.111,127.166,17.254,71.779
INST0165_N15_N15_D012,119.262,113.909,109.689,119.262,104.379,113.909,122.278,119.262,0.0,126.352,0.0,153.371,110.207,95.428,132.815,113.909,110.207,110.207,126.352,119.262,122.278,126.352,95.428,110.207,113.909,126.352,0.0,153.371,252.84,132.815,95.428
INST0165_N15_N15_P013,34.294,48.052,46.06,34.294,81.232,48.052,35.653,34.294,153.371,27.111,153.371,0.0,44.646,93.371,28.616,48.052,44.646,44.646,27.111,34.294,35.653,27.111,93.371,44.646,48.052,27.111,153.371,0.0,100.108,28.616,93.371
INST0165_N15_N15_D013,134.365,145.998,145.919,134.365,165.945,145.998,131.141,134.365,252.84,127.166,252.84,100.108,144.673,187.822,125.319,145.998,144.673,144.673,127.166,134.365,131.141,127.166,187.822,144.673,145.998,127.166,252.84,100.108,0.0,125.319,187.822
INST0165_N15_N15_P014,19.671,20.683,23.353,19.671,81.17,20.683,35.534,19.671,132.815,17.254,132.815,28.616,23.461,64.86,0.0,20.683,23.461,23.461,17.254,19.671,35.534,17.254,64.86,23.461,20.683,17.254,132.815,28.616,125.319,0.0,64.86
INST0165_N15_N15_D014,66.32,46.019,52.8,66.32,107.477,46.019,82.833,66.32,95.428,71.779,95.428,93.371,55.435,0.0,64.86,46.019,55.435,55.435,71.779,66.32,82.833,71.779,0.0,55.435,46.019,71.779,95.428,93.371,187.822,64.86,0.0
