,depot,INST0138_N12_N18_P000,INST0138_N12_N18_D000,INST0138_N12_N18_P001,INST0138_N12_N18_D001,INST0138_N12_N18_P002,INST0138_N12_N18_D002,INST0138_N12_N18_P003,INST0138_N12_N18_D003,INST0138_N12_N18_P004,INST0138_N12_N18_D004,INST0138_N12_N18_P005,INST0138_N12_N18_D005,INST0138_N12_N18_P006,INST0138_N12_N18_D006,INST0138_N12_N18_P007,INST0138_N12_N18_D007,INST0138_N12_N18_P008,INST0138_N12_N18_D008,INST0138_N12_N18_P009,INST0138_N12_N18_D009,INST0138_N12_N18_P010,INST0138_N12_N18_D010,INST0138_N12_N18_P011,INST0138_N12_N18_D011
INST0138_N12_N18_P005,24.705,22.387,154.717,0.0,31.992,87.893,33.197,22.322,8.817,0.0,33.197,0.0,22.387,31.992,0.0,22.322,0.0,8.817,31.992,87.893,22.322,22.387,78.919,22.387,31.992
INST0138_N12_N18_D005,37.312,0.0,149.729,22.387,49.306,101.428,43.657,33.929,23.01,22.387,43.657,22.387,0.0,49.306,22.387,33.929,22.387,23.01,49.306,101.428,33.929,0.0,57.966,0.0,49.306
INST0138_N12_N18_P006,14.003,49.306,139.481,31.992,0.0,56.35,58.839,17.072,26.694,31.992,58.839,31.992,49.306,0.0,31.992,17.072,31.992,26.694,0.0,56.35,17.072,49.306,95.498,49.306,0.0
INST0138_N12_N18_D006,24.705,22.387,154.717,0.0,31.992,87.893,33.197,22.322,8.817,0.0,33.197,0.0,22.387,31.992,0.0,22.322,0.0,8.817,31.992,87.893,22.322,22.387,78.919,22.387,31.992
INST0138_N12_N18_P007,3.413,33.929,134.948,22.322,17.072,67.88,54.669,0.0,14.053,22.322,54.669,22.322,33.929,17.072,22.322,0.0,22.322,14.053,17.072,67.88,0.0,33.929,78.656,33.929,17.072
INST0138_N12_N18_D007,24.705,22.387,154.717,0.0,31.992,87.893,33.197,22.322,8.817,0.0,33.197,0.0,22.387,31.992,0.0,22.322,0.0,8.817,31.992,87.893,22.322,22.387,78.919,22.387,31.992
INST0138_N12_N18_P008,16.848,23.01,146.035,8.817,26.694,81.208,41.993,14.053,0.0,8.817,41.993,8.817,23.01,26.694,8.817,14.053,8.817,0.0,26.694,81.208,14.053,23.01,75.654,23.01,26.694
INST0138_N12_N18_D008,14.003,49.306,139.481,31.992,0.0,56.35,58.839,17.072,26.694,31.992,58.839,31.992,49.306,0.0,31.992,17.072,31.992,26.694,0.0,56.35,17.072,49.306,95.498,49.306,0.0
INST0138_N12_N18_P009,64.653,101.428,116.851,87.893,56.35,0.0,114.332,67.88,81.208,87.893,114.332,87.893,101.428,56.35,87.893,67.88,87.893,81.208,56.35,0.0,67.88,101.428,131.605,101.428,56.35
INST0138_N12_N18_D009,3.413,33.929,134.948,22.322,17.072,67.88,54.669,0.0,14.053,22.322,54.669,22.322,33.929,17.072,22.322,0.0,22.322,14.053,17.072,67.88,0.0,33.929,78.656,33.929,17.072
INST0138_N12_N18_P010,37.312,0.0,149.729,22.387,49.306,101.428,43.657,33.929,23.01,22.387,43.657,22.387,0.0,49.306,22.387,33.929,22.387,23.01,49.306,101.428,33.929,0.0,57.966,0.0,49.306
INST0138_N12_N18_D010,81.517,57.966,127.812,78.919,95.498,131.605,99.467,78.656,75.654,78.919,99.467,78.919,57.966,95.498,78.919,78.656,78.919,75.654,95.498,131.605,78.656,57.966,0.0,57.966,95.498
INST0138_N12_N18_P011,37.312,0.0,149.729,22.387,49.306,101.428,43.657,33.929,23.01,22.387,43.657,22.387,0.0,49.306,22.387,33.929,22.387,23.01,49.306,101.428,33.929,0.0,57.966,0.0,49.306
INST0138_N12_N18_D011,14.003,49.306,139.481,31.992,0.0,56.35,58.839,17.072,26.694,31.992,58.839,31.992,49.306,0.0,31.992,17.072,31.992,26.694,0.0,56.35,17.072,49.306,95.498,49.306,0.0
