,depot,INST0137_N12_S17_P000,INST0137_N12_S17_D000,INST0137_N12_S17_P001,INST0137_N12_S17_D001,INST0137_N12_S17_P002,INST0137_N12_S17_D002,INST0137_N12_S17_P003,INST0137_N12_S17_D003,INST0137_N12_S17_P004,INST0137_N12_S17_D004,INST0137_N12_S17_P005,INST0137_N12_S17_D005,INST0137_N12_S17_P006,INST0137_N12_S17_D006,INST0137_N12_S17_P007,INST0137_N12_S17_D007,INST0137_N12_S17_P008,INST0137_N12_S17_D008,INST0137_N12_S17_P009,INST0137_N12_S17_D009,INST0137_N12_S17_P010,INST0137_N12_S17_D010,INST0137_N12_S17_P011,INST0137_N12_S17_D011
INST0137_N12_S17_D004,72.268,67.566,72.268,126.125,80.145,126.125,67.228,72.268,126.125,72.268,0.0,71.658,46.181,139.086,183.928,67.228,46.181,72.268,126.125,0.0,126.125,139.086,138.993,67.228,0.0
INST0137_N12_S17_P005,29.68,6.707,29.68,61.135,8.581,61.135,51.136,29.68,61.135,29.68,71.658,0.0,32.455,74.382,117.194,51.136,32.455,29.68,61.135,71.658,61.135,74.382,77.018,51.136,71.658
INST0137_N12_S17_D005,26.348,26.3,26.348,80.067,39.549,80.067,30.556,26.348,80.067,26.348,46.181,32.455,0.0,92.948,137.848,30.556,0.0,26.348,80.067,46.181,80.067,92.948,108.949,30.556,46.181
INST0137_N12_S17_P006,67.557,75.176,67.557,13.307,66.815,13.307,83.129,67.557,13.307,67.557,139.086,74.382,92.948,0.0,44.98,83.129,92.948,67.557,13.307,139.086,13.307,0.0,94.398,83.129,139.086
INST0137_N12_S17_D006,112.533,118.85,112.533,57.803,109.068,57.803,127.137,112.533,57.803,112.533,183.928,117.194,137.848,44.98,0.0,127.137,137.848,112.533,57.803,183.928,57.803,44.98,114.428,127.137,183.928
INST0137_N12_S17_P007,23.863,44.645,23.863,72.248,54.293,72.248,0.0,23.863,72.248,23.863,67.228,51.136,30.556,83.129,127.137,0.0,30.556,23.863,72.248,67.228,72.248,83.129,125.848,0.0,67.228
INST0137_N12_S17_D007,26.348,26.3,26.348,80.067,39.549,80.067,30.556,26.348,80.067,26.348,46.181,32.455,0.0,92.948,137.848,30.556,0.0,26.348,80.067,46.181,80.067,92.948,108.949,30.556,46.181
INST0137_N12_S17_P008,0.0,24.036,0.0,55.105,31.149,55.105,23.863,0.0,55.105,0.0,72.268,29.68,26.348,67.557,112.533,23.863,26.348,0.0,55.105,72.268,55.105,67.557,102.142,23.863,72.268
INST0137_N12_S17_D008,55.105,61.869,55.105,0.0,53.679,0.0,72.248,55.105,0.0,55.105,126.125,61.135,80.067,13.307,57.803,72.248,80.067,55.105,0.0,126.125,0.0,13.307,87.998,72.248,126.125
INST0137_N12_S17_P009,72.268,67.566,72.268,126.125,80.145,126.125,67.228,72.268,126.125,72.268,0.0,71.658,46.181,139.086,183.928,67.228,46.181,72.268,126.125,0.0,126.125,139.086,138.993,67.228,0.0
INST0137_N12_S17_D009,55.105,61.869,55.105,0.0,53.679,0.0,72.248,55.105,0.0,55.105,126.125,61.135,80.067,13.307,57.803,72.248,80.067,55.105,0.0,126.125,0.0,13.307,87.998,72.248,126.125
INST0137_N12_S17_P010,67.557,75.176,67.557,13.307,66.815,13.307,83.129,67.557,13.307,67.557,139.086,74.382,92.948,0.0,44.98,83.129,92.948,67.557,13.307,139.086,13.307,0.0,94.398,83.129,139.086
INST0137_N12_S17_D010,102.142,83.656,102.142,87.998,71.877,87.998,125.848,102.142,87.998,102.142,138.993,77.018,108.949,94.398,114.428,125.848,108.949,102.142,87.998,138.993,87.998,94.398,0.0,125.848,138.993
INST0137_N12_S17_P011,23.863,44.645,23.863,72.248,54.293,72.248,0.0,23.863,72.248,23.863,67.228,51.136,30.556,83.129,127.137,0.0,30.556,23.863,72.248,67.228,72.248,83.129,125.848,0.0,67.228
INST0137_N12_S17_D011,72.268,67.566,72.268,126.125,80.145,126.125,67.228,72.268,126.125,72.268,0.0,71.658,46.181,139.086,183.928,67.228,46.181,72.268,126.125,0.0,126.125,139.086,138.993,67.228,0.0
