,depot,INST0146_N12_S26_P000,INST0146_N12_S26_D000,INST0146_N12_S26_P001,INST0146_N12_S26_D001,INST0146_N12_S26_P002,INST0146_N12_S26_D002,INST0146_N12_S26_P003,INST0146_N12_S26_D003,INST0146_N12_S26_P004,INST0146_N12_S26_D004,INST0146_N12_S26_P005,INST0146_N12_S26_D005,INST0146_N12_S26_P006,INST0146_N12_S26_D006,INST0146_N12_S26_P007,INST0146_N12_S26_D007,INST0146_N12_S26_P008,INST0146_N12_S26_D008,INST0146_N12_S26_P009,INST0146_N12_S26_D009,INST0146_N12_S26_P010,INST0146_N12_S26_D010,INST0146_N12_S26_P011,INST0146_N12_S26_D011
INST0146_N12_S26_D004,112.576,47.206,150.208,89.072,93.449,103.829,112.576,103.829,36.733,47.206,0.0,150.208,93.449,91.902,89.072,97.061,103.829,89.072,33.969,91.902,0.0,150.208,112.576,47.206,95.708
INST0146_N12_S26_P005,37.715,103.002,0.0,65.452,113.511,54.903,37.715,54.903,113.587,103.002,150.208,0.0,113.511,59.019,65.452,55.179,54.903,65.452,183.035,59.019,150.208,0.0,37.715,103.002,58.521
INST0146_N12_S26_D005,88.975,71.865,113.511,58.699,0.0,102.776,88.975,102.776,77.092,71.865,93.449,113.511,0.0,83.416,58.699,68.319,102.776,58.699,123.443,83.416,93.449,113.511,88.975,71.865,62.898
INST0146_N12_S26_P006,21.517,45.002,59.019,25.439,83.416,19.488,21.517,19.488,55.171,45.002,91.902,59.019,83.416,0.0,25.439,19.629,19.488,25.439,124.222,0.0,91.902,59.019,21.517,45.002,24.239
INST0146_N12_S26_D006,32.298,43.838,65.452,0.0,58.699,44.339,32.298,44.339,54.565,43.838,89.072,65.452,58.699,25.439,0.0,10.881,44.339,0.0,122.952,25.439,89.072,65.452,32.298,43.838,7.008
INST0146_N12_S26_P007,21.478,50.526,55.179,10.881,68.319,36.46,21.478,36.46,61.394,50.526,97.061,55.179,68.319,19.629,10.881,0.0,36.46,10.881,130.689,19.629,97.061,55.179,21.478,50.526,5.477
INST0146_N12_S26_D007,24.954,59.003,54.903,44.339,102.776,0.0,24.954,0.0,67.889,59.003,103.829,54.903,102.776,19.488,44.339,36.46,0.0,44.339,134.327,19.488,103.829,54.903,24.954,59.003,41.761
INST0146_N12_S26_P008,32.298,43.838,65.452,0.0,58.699,44.339,32.298,44.339,54.565,43.838,89.072,65.452,58.699,25.439,0.0,10.881,44.339,0.0,122.952,25.439,89.072,65.452,32.298,43.838,7.008
INST0146_N12_S26_D008,145.321,80.368,183.035,122.952,123.443,134.327,145.321,134.327,69.589,80.368,33.969,183.035,123.443,124.222,122.952,130.689,134.327,122.952,0.0,124.222,33.969,183.035,145.321,80.368,129.526
INST0146_N12_S26_P009,21.517,45.002,59.019,25.439,83.416,19.488,21.517,19.488,55.171,45.002,91.902,59.019,83.416,0.0,25.439,19.629,19.488,25.439,124.222,0.0,91.902,59.019,21.517,45.002,24.239
INST0146_N12_S26_D009,112.576,47.206,150.208,89.072,93.449,103.829,112.576,103.829,36.733,47.206,0.0,150.208,93.449,91.902,89.072,97.061,103.829,89.072,33.969,91.902,0.0,150.208,112.576,47.206,95.708
INST0146_N12_S26_P010,37.715,103.002,0.0,65.452,113.511,54.903,37.715,54.903,113.587,103.002,150.208,0.0,113.511,59.019,65.452,55.179,54.903,65.452,183.035,59.019,150.208,0.0,37.715,103.002,58.521
INST0146_N12_S26_D010,0.0,65.388,37.715,32.298,88.975,24.954,0.0,24.954,75.908,65.388,112.576,37.715,88.975,21.517,32.298,21.478,24.954,32.298,145.321,21.517,112.576,37.715,0.0,65.388,26.505
INST0146_N12_S26_P011,65.388,0.0,103.002,43.838,71.865,59.003,65.388,59.003,10.867,0.0,47.206,103.002,71.865,45.002,43.838,50.526,59.003,43.838,80.368,45.002,47.206,103.002,65.388,0.0,49.927
INST0146_N12_S26_D011,26.505,49.927,58.521,7.008,62.898,41.761,26.505,41.761,60.745,49.927,95.708,58.521,62.898,24.239,7.008,5.477,41.761,7.008,129.526,24.239,95.708,58.521,26.505,49.927,0.0
