,depot,INST0266_N22_S26_P000,INST0266_N22_S26_D000,INST0266_N22_S26_P001,INST0266_N22_S26_D001,INST0266_N22_S26_P002,INST0266_N22_S26_D002,INST0266_N22_S26_P003,INST0266_N22_S26_D003,INST0266_N22_S26_P004,INST0266_N22_S26_D004,INST0266_N22_S26_P005,INST0266_N22_S26_D005,INST0266_N22_S26_P006,INST0266_N22_S26_D006,INST0266_N22_S26_P007,INST0266_N22_S26_D007,INST0266_N22_S26_P008,INST0266_N22_S26_D008,INST0266_N22_S26_P009,INST0266_N22_S26_D009,INST0266_N22_S26_P010,INST0266_N22_S26_D010,INST0266_N22_S26_P011,INST0266_N22_S26_D011,INST0266_N22_S26_P012,INST0266_N22_S26_D012,INST0266_N22_S26_P013,INST0266_N22_S26_D013,INST0266_N22_S26_P014,INST0266_N22_S26_D014,INST0266_N22_S26_P015,INST0266_N22_S26_D015,INST0266_N22_S26_P016,INST0266_N22_S26_D016,INST0266_N22_S26_P017,INST0266_N22_S26_D017,INST0266_N22_S26_P018,INST0266_N22_S26_D018,INST0266_N22_S26_P019,INST0266_N22_S26_D019,INST0266_N22_S26_P020,INST0266_N22_S26_D020,INST0266_N22_S26_P021,INST0266_N22_S26_D021
INST0266_N22_S26_D004,21.517,45.002,25.439,24.239,21.517,21.517,91.902,55.171,25.439,45.002,0.0,45.002,19.488,0.0,91.902,19.488,0.0,19.629,45.002,55.171,124.222,55.171,19.488,0.0,83.416,19.629,21.517,45.002,19.488,21.517,45.002,19.488,24.239,24.239,55.171,59.019,19.488,24.239,19.488,0.0,55.171,24.239,55.171,25.439,19.629
INST0266_N22_S26_P005,65.388,0.0,43.838,49.927,65.388,65.388,47.206,10.867,43.838,0.0,45.002,0.0,59.003,45.002,47.206,59.003,45.002,50.526,0.0,10.867,80.368,10.867,59.003,45.002,71.865,50.526,65.388,0.0,59.003,65.388,0.0,59.003,49.927,49.927,10.867,103.002,59.003,49.927,59.003,45.002,10.867,49.927,10.867,43.838,50.526
INST0266_N22_S26_D005,24.954,59.003,44.339,41.761,24.954,24.954,103.829,67.889,44.339,59.003,19.488,59.003,0.0,19.488,103.829,0.0,19.488,36.46,59.003,67.889,134.327,67.889,0.0,19.488,102.776,36.46,24.954,59.003,0.0,24.954,59.003,0.0,41.761,41.761,67.889,54.903,0.0,41.761,0.0,19.488,67.889,41.761,67.889,44.339,36.46
INST0266_N22_S26_P006,21.517,45.002,25.439,24.239,21.517,21.517,91.902,55.171,25.439,45.002,0.0,45.002,19.488,0.0,91.902,19.488,0.0,19.629,45.002,55.171,124.222,55.171,19.488,0.0,83.416,19.629,21.517,45.002,19.488,21.517,45.002,19.488,24.239,24.239,55.171,59.019,19.488,24.239,19.488,0.0,55.171,24.239,55.171,25.439,19.629
INST0266_N22_S26_D006,112.576,47.206,89.072,95.708,112.576,112.576,0.0,36.733,89.072,47.206,91.902,47.206,103.829,91.902,0.0,103.829,91.902,97.061,47.206,36.733,33.969,36.733,103.829,91.902,93.449,97.061,112.576,47.206,103.829,112.576,47.206,103.829,95.708,95.708,36.733,150.208,103.829,95.708,103.829,91.902,36.733,95.708,36.733,89.072,97.061
INST0266_N22_S26_P007,24.954,59.003,44.339,41.761,24.954,24.954,103.829,67.889,44.339,59.003,19.488,59.003,0.0,19.488,103.829,0.0,19.488,36.46,59.003,67.889,134.327,67.889,0.0,19.488,102.776,36.46,24.954,59.003,0.0,24.954,59.003,0.0,41.761,41.761,67.889,54.903,0.0,41.761,0.0,19.488,67.889,41.761,67.889,44.339,36.46
INST0266_N22_S26_D007,21.517,45.002,25.439,24.239,21.517,21.517,91.902,55.171,25.439,45.002,0.0,45.002,19.488,0.0,91.902,19.488,0.0,19.629,45.002,55.171,124.222,55.171,19.488,0.0,83.416,19.629,21.517,45.002,19.488,21.517,45.002,19.488,24.239,24.239,55.171,59.019,19.488,24.239,19.488,0.0,55.171,24.239,55.171,25.439,19.629
INST0266_N22_S26_P008,21.478,50.526,10.881,5.477,21.478,21.478,97.061,61.394,10.881,50.526,19.629,50.526,36.46,19.629,97.061,36.46,19.629,0.0,50.526,61.394,130.689,61.394,36.46,19.629,68.319,0.0,21.478,50.526,36.46,21.478,50.526,36.46,5.477,5.477,61.394,55.179,36.46,5.477,36.46,19.629,61.394,5.477,61.394,10.881,0.0
INST0266_N22_S26_D008,65.388,0.0,43.838,49.927,65.388,65.388,47.206,10.867,43.838,0.0,45.002,0.0,59.003,45.002,47.206,59.003,45.002,50.526,0.0,10.867,80.368,10.867,59.003,45.002,71.865,50.526,65.388,0.0,59.003,65.388,0.0,59.003,49.927,49.927,10.867,103.002,59.003,49.927,59.003,45.002,10.867,49.927,10.867,43.838,50.526
INST0266_N22_S26_P009,75.908,10.867,54.565,60.745,75.908,75.908,36.733,0.0,54.565,10.867,55.171,10.867,67.889,55.171,36.733,67.889,55.171,61.394,10.867,0.0,69.589,0.0,67.889,55.171,77.092,61.394,75.908,10.867,67.889,75.908,10.867,67.889,60.745,60.745,0.0,113.587,67.889,60.745,67.889,55.171,0.0,60.745,0.0,54.565,61.394
INST0266_N22_S26_D009,145.321,80.368,122.952,129.526,145.321,145.321,33.969,69.589,122.952,80.368,124.222,80.368,134.327,124.222,33.969,134.327,124.222,130.689,80.368,69.589,0.0,69.589,134.327,124.222,123.443,130.689,145.321,80.368,134.327,145.321,80.368,134.327,129.526,129.526,69.589,183.035,134.327,129.526,134.327,124.222,69.589,129.526,69.589,122.952,130.689
INST0266_N22_S26_P010,75.908,10.867,54.565,60.745,75.908,75.908,36.733,0.0,54.565,10.867,55.171,10.867,67.889,55.171,36.733,67.889,55.171,61.394,10.867,0.0,69.589,0.0,67.889,55.171,77.092,61.394,75.908,10.867,67.889,75.908,10.867,67.889,60.745,60.745,0.0,113.587,67.889,60.745,67.889,55.171,0.0,60.745,0.0,54.565,61.394
INST0266_N22_S26_D010,24.954,59.003,44.339,41.761,24.954,24.954,103.829,67.889,44.339,59.003,19.488,59.003,0.0,19.488,103.829,0.0,19.488,36.46,59.003,67.889,134.327,67.889,0.0,19.488,102.776,36.46,24.954,59.003,0.0,24.954,59.003,0.0,41.761,41.761,67.889,54.903,0.0,41.761,0.0,19.488,67.889,41.761,67.889,44.339,36.46
INST0266_N22_S26_P011,21.517,45.002,25.439,24.239,21.517,21.517,91.902,55.171,25.439,45.002,0.0,45.002,19.488,0.0,91.902,19.488,0.0,19.629,45.002,55.171,124.222,55.171,19.488,0.0,83.416,19.629,21.517,45.002,19.488,21.517,45.002,19.488,24.239,24.239,55.171,59.019,19.488,24.239,19.488,0.0,55.171,24.239,55.171,25.439,19.629
INST0266_N22_S26_D011,88.975,71.865,58.699,62.898,88.975,88.975,93.449,77.092,58.699,71.865,83.416,71.865,102.776,83.416,93.449,102.776,83.416,68.319,71.865,77.092,123.443,77.092,102.776,83.416,0.0,68.319,88.975,71.865,102.776,88.975,71.865,102.776,62.898,62.898,77.092,113.511,102.776,62.898,102.776,83.416,77.092,62.898,77.092,58.699,68.319
INST0266_N22_S26_P012,21.478,50.526,10.881,5.477,21.478,21.478,97.061,61.394,10.881,50.526,19.629,50.526,36.46,19.629,97.061,36.46,19.629,0.0,50.526,61.394,130.689,61.394,36.46,19.629,68.319,0.0,21.478,50.526,36.46,21.478,50.526,36.46,5.477,5.477,61.394,55.179,36.46,5.477,36.46,19.629,61.394,5.477,61.394,10.881,0.0
INST0266_N22_S26_D012,0.0,65.388,32.298,26.505,0.0,0.0,112.576,75.908,32.298,65.388,21.517,65.388,24.954,21.517,112.576,24.954,21.517,21.478,65.388,75.908,145.321,75.908,24.954,21.517,88.975,21.478,0.0,65.388,24.954,0.0,65.388,24.954,26.505,26.505,75.908,37.715,24.954,26.505,24.954,21.517,75.908,26.505,75.908,32.298,21.478
INST0266_N22_S26_P013,65.388,0.0,43.838,49.927,65.388,65.388,47.206,10.867,43.838,0.0,45.002,0.0,59.003,45.002,47.206,59.003,45.002,50.526,0.0,10.867,80.368,10.867,59.003,45.002,71.865,50.526,65.388,0.0,59.003,65.388,0.0,59.003,49.927,49.927,10.867,103.002,59.003,49.927,59.003,45.002,10.867,49.927,10.867,43.838,50.526
INST0266_N22_S26_D013,24.954,59.003,44.339,41.761,24.954,24.954,103.829,67.889,44.339,59.003,19.488,59.003,0.0,19.488,103.829,0.0,19.488,36.46,59.003,67.889,134.327,67.889,0.0,19.488,102.776,36.46,24.954,59.003,0.0,24.954,59.003,0.0,41.761,41.761,67.889,54.903,0.0,41.761,0.0,19.488,67.889,41.761,67.889,44.339,36.46
INST0266_N22_S26_P014,0.0,65.388,32.298,26.505,0.0,0.0,112.576,75.908,32.298,65.388,21.517,65.388,24.954,21.517,112.576,24.954,21.517,21.478,65.388,75.908,145.321,75.908,24.954,21.517,88.975,21.478,0.0,65.388,24.954,0.0,65.388,24.954,26.505,26.505,75.908,37.715,24.954,26.505,24.954,21.517,75.908,26.505,75.908,32.298,21.478
INST0266_N22_S26_D014,65.388,0.0,43.838,49.927,65.388,65.388,47.206,10.867,43.838,0.0,45.002,0.0,59.003,45.002,47.206,59.003,45.002,50.526,0.0,10.867,80.368,10.867,59.003,45.002,71.865,50.526,65.388,0.0,59.003,65.388,0.0,59.003,49.927,49.927,10.867,103.002,59.003,49.927,59.003,45.002,10.867,49.927,10.867,43.838,50.526
INST0266_N22_S26_P015,24.954,59.003,44.339,41.761,24.954,24.954,103.829,67.889,44.339,59.003,19.488,59.003,0.0,19.488,103.829,0.0,19.488,36.46,59.003,67.889,134.327,67.889,0.0,19.488,102.776,36.46,24.954,59.003,0.0,24.954,59.003,0.0,41.761,41.761,67.889,54.903,0.0,41.761,0.0,19.488,67.889,41.761,67.889,44.339,36.46
INST0266_N22_S26_D015,26.505,49.927,7.008,0.0,26.505,26.505,95.708,60.745,7.008,49.927,24.239,49.927,41.761,24.239,95.708,41.761,24.239,5.477,49.927,60.745,129.526,60.745,41.761,24.239,62.898,5.477,26.505,49.927,41.761,26.505,49.927,41.761,0.0,0.0,60.745,58.521,41.761,0.0,41.761,24.239,60.745,0.0,60.745,7.008,5.477
INST0266_N22_S26_P016,26.505,49.927,7.008,0.0,26.505,26.505,95.708,60.745,7.008,49.927,24.239,49.927,41.761,24.239,95.708,41.761,24.239,5.477,49.927,60.745,129.526,60.745,41.761,24.239,62.898,5.477,26.505,49.927,41.761,26.505,49.927,41.761,0.0,0.0,60.745,58.521,41.761,0.0,41.761,24.239,60.745,0.0,60.745,7.008,5.477
INST0266_N22_S26_D016,75.908,10.867,54.565,60.745,75.908,75.908,36.733,0.0,54.565,10.867,55.171,10.867,67.889,55.171,36.733,67.889,55.171,61.394,10.867,0.0,69.589,0.0,67.889,55.171,77.092,61.394,75.908,10.867,67.889,75.908,10.867,67.889,60.745,60.745,0.0,113.587,67.889,60.745,67.889,55.171,0.0,60.745,0.0,54.565,61.394
INST0266_N22_S26_P017,37.715,103.002,65.452,58.521,37.715,37.715,150.208,113.587,65.452,103.002,59.019,103.002,54.903,59.019,150.208,54.903,59.019,55.179,103.002,113.587,183.035,113.587,54.903,59.019,113.511,55.179,37.715,103.002,54.903,37.715,103.002,54.903,58.521,58.521,113.587,0.0,54.903,58.521,54.903,59.019,113.587,58.521,113.587,65.452,55.179
INST0266_N22_S26_D017,24.954,59.003,44.339,41.761,24.954,24.954,103.829,67.889,44.339,59.003,19.488,59.003,0.0,19.488,103.829,0.0,19.488,36.46,59.003,67.889,134.327,67.889,0.0,19.488,102.776,36.46,24.954,59.003,0.0,24.954,59.003,0.0,41.761,41.761,67.889,54.903,0.0,41.761,0.0,19.488,67.889,41.761,67.889,44.339,36.46
INST0266_N22_S26_P018,26.505,49.927,7.008,0.0,26.505,26.505,95.708,60.745,7.008,49.927,24.239,49.927,41.761,24.239,95.708,41.761,24.239,5.477,49.927,60.745,129.526,60.745,41.761,24.239,62.898,5.477,26.505,49.927,41.761,26.505,49.927,41.761,0.0,0.0,60.745,58.521,41.761,0.0,41.761,24.239,60.745,0.0,60.745,7.008,5.477
INST0266_N22_S26_D018,24.954,59.003,44.339,41.761,24.954,24.954,103.829,67.889,44.339,59.003,19.488,59.003,0.0,19.488,103.829,0.0,19.488,36.46,59.003,67.889,134.327,67.889,0.0,19.488,102.776,36.46,24.954,59.003,0.0,24.954,59.003,0.0,41.761,41.761,67.889,54.903,0.0,41.761,0.0,19.488,67.889,41.761,67.889,44.339,36.46
INST0266_N22_S26_P019,21.517,45.002,25.439,24.239,21.517,21.517,91.902,55.171,25.439,45.002,0.0,45.002,19.488,0.0,91.902,19.488,0.0,19.629,45.002,55.171,124.222,55.171,19.488,0.0,83.416,19.629,21.517,45.002,19.488,21.517,45.002,19.488,24.239,24.239,55.171,59.019,19.488,24.239,19.488,0.0,55.171,24.239,55.171,25.439,19.629
INST0266_N22_S26_D019,75.908,10.867,54.565,60.745,75.908,75.908,36.733,0.0,54.565,10.867,55.171,10.867,67.889,55.171,36.733,67.889,55.171,61.394,10.867,0.0,69.589,0.0,67.889,55.171,77.092,61.394,75.908,10.867,67.889,75.908,10.867,67.889,60.745,60.745,0.0,113.587,67.889,60.745,67.889,55.171,0.0,60.745,0.0,54.565,61.394
INST0266_N22_S26_P020,26.505,49.927,7.008,0.0,26.505,26.505,95.708,60.745,7.008,49.927,24.239,49.927,41.761,24.239,95.708,41.761,24.239,5.477,49.927,60.745,129.526,60.745,41.761,24.239,62.898,5.477,26.505,49.927,41.761,26.505,49.927,41.761,0.0,0.0,60.745,58.521,41.761,0.0,41.761,24.239,60.745,0.0,60.745,7.008,5.477
INST0266_N22_S26_D020,75.908,10.867,54.565,60.745,75.908,75.908,36.733,0.0,54.565,10.867,55.171,10.867,67.889,55.171,36.733,67.889,55.171,61.394,10.867,0.0,69.589,0.0,67.889,55.171,77.092,61.394,75.908,10.867,67.889,75.908,10.867,67.889,60.745,60.745,0.0,113.587,67.889,60.745,67.889,55.171,0.0,60.745,0.0,54.565,61.394
INST0266_N22_S26_P021,32.298,43.838,0.0,7.008,32.298,32.298,89.072,54.565,0.0,43.838,25.439,43.838,44.339,25.439,89.072,44.339,25.439,10.881,43.838,54.565,122.952,54.565,44.339,25.439,58.699,10.881,32.298,43.838,44.339,32.298,43.838,44.339,7.008,7.008,54.565,65.452,44.339,7.008,44.339,25.439,54.565,7.008,54.565,0.0,10.881
INST0266_N22_S26_D021,21.478,50.526,10.881,5.477,21.478,21.478,97.061,61.394,10.881,50.526,19.629,50.526,36.46,19.629,97.061,36.46,19.629,0.0,50.526,61.394,130.689,61.394,36.46,19.629,68.319,0.0,21.478,50.526,36.46,21.478,50.526,36.46,5.477,5.477,61.394,55.179,36.46,5.477,36.46,19.629,61.394,5.477,61.394,10.881,0.0
