,depot,INST0145_N12_W25_P000,INST0145_N12_W25_D000,INST0145_N12_W25_P001,INST0145_N12_W25_D001,INST0145_N12_W25_P002,INST0145_N12_W25_D002,INST0145_N12_W25_P003,INST0145_N12_W25_D003,INST0145_N12_W25_P004,INST0145_N12_W25_D004,INST0145_N12_W25_P005,INST0145_N12_W25_D005,INST0145_N12_W25_P006,INST0145_N12_W25_D006,INST0145_N12_W25_P007,INST0145_N12_W25_D007,INST0145_N12_W25_P008,INST0145_N12_W25_D008,INST0145_N12_W25_P009,INST0145_N12_W25_D009,INST0145_N12_W25_P010,INST0145_N12_W25_D010,INST0145_N12_W25_P011,INST0145_N12_W25_D011
INST0145_N12_W25_D006,36.098,43.098,162.13,56.961,97.602,12.767,25.201,0.0,49.056,36.098,43.098,43.098,49.056,56.961,0.0,27.496,43.098,36.098,97.602,25.201,43.098,0.0,49.056,49.056,29.878
INST0145_N12_W25_P007,63.48,61.972,159.2,68.471,70.637,40.204,50.631,27.496,24.909,63.48,61.972,61.972,24.909,68.471,27.496,0.0,61.972,63.48,70.637,50.631,61.972,27.496,24.909,24.909,53.818
INST0145_N12_W25_D007,35.228,0.0,133.358,92.961,129.907,36.679,50.317,43.098,86.82,35.228,0.0,0.0,86.82,92.961,43.098,61.972,0.0,35.228,129.907,50.317,0.0,43.098,86.82,86.82,17.435
INST0145_N12_W25_P008,0.0,35.228,168.582,64.294,133.671,23.331,22.951,36.098,84.648,0.0,35.228,35.228,84.648,64.294,36.098,63.48,35.228,0.0,133.671,22.951,35.228,36.098,84.648,84.648,20.02
INST0145_N12_W25_D008,133.671,129.907,187.182,115.643,0.0,110.354,117.595,97.602,50.015,133.671,129.907,129.907,50.015,115.643,97.602,70.637,129.907,133.671,0.0,117.595,129.907,97.602,50.015,50.015,124.166
INST0145_N12_W25_P009,22.951,50.317,180.319,43.046,117.595,17.238,0.0,25.201,67.612,22.951,50.317,50.317,67.612,43.046,25.201,50.631,50.317,22.951,117.595,0.0,50.317,25.201,67.612,67.612,32.905
INST0145_N12_W25_D009,35.228,0.0,133.358,92.961,129.907,36.679,50.317,43.098,86.82,35.228,0.0,0.0,86.82,92.961,43.098,61.972,0.0,35.228,129.907,50.317,0.0,43.098,86.82,86.82,17.435
INST0145_N12_W25_P010,36.098,43.098,162.13,56.961,97.602,12.767,25.201,0.0,49.056,36.098,43.098,43.098,49.056,56.961,0.0,27.496,43.098,36.098,97.602,25.201,43.098,0.0,49.056,49.056,29.878
INST0145_N12_W25_D010,84.648,86.82,176.253,70.587,50.015,61.567,67.612,49.056,0.0,84.648,86.82,86.82,0.0,70.587,49.056,24.909,86.82,84.648,50.015,67.612,86.82,49.056,0.0,0.0,77.687
INST0145_N12_W25_P011,84.648,86.82,176.253,70.587,50.015,61.567,67.612,49.056,0.0,84.648,86.82,86.82,0.0,70.587,49.056,24.909,86.82,84.648,50.015,67.612,86.82,49.056,0.0,0.0,77.687
INST0145_N12_W25_D011,20.02,17.435,149.638,75.699,124.166,20.56,32.905,29.878,77.687,20.02,17.435,17.435,77.687,75.699,29.878,53.818,17.435,20.02,124.166,32.905,17.435,29.878,77.687,77.687,0.0
