,depot,INST0156_N15_N06_P000,INST0156_N15_N06_D000,INST0156_N15_N06_P001,INST0156_N15_N06_D001,INST0156_N15_N06_P002,INST0156_N15_N06_D002,INST0156_N15_N06_P003,INST0156_N15_N06_D003,INST0156_N15_N06_P004,INST0156_N15_N06_D004,INST0156_N15_N06_P005,INST0156_N15_N06_D005,INST0156_N15_N06_P006,INST0156_N15_N06_D006,INST0156_N15_N06_P007,INST0156_N15_N06_D007,INST0156_N15_N06_P008,INST0156_N15_N06_D008,INST0156_N15_N06_P009,INST0156_N15_N06_D009,INST0156_N15_N06_P010,INST0156_N15_N06_D010,INST0156_N15_N06_P011,INST0156_N15_N06_D011,INST0156_N15_N06_P012,INST0156_N15_N06_D012,INST0156_N15_N06_P013,INST0156_N15_N06_D013,INST0156_N15_N06_P014,INST0156_N15_N06_D014
INST0156_N15_N06_D007,35.041,58.839,0.0,33.197,99.467,58.839,35.041,35.041,134.941,0.0,56.4,56.4,99.467,114.332,56.4,114.332,0.0,33.197,0.0,0.0,56.4,0.0,149.69,35.041,0.0,41.993,149.69,33.197,54.669,54.669,33.197
INST0156_N15_N06_P008,21.127,31.992,33.197,0.0,78.919,31.992,21.127,21.127,156.702,33.197,24.705,24.705,78.919,87.893,24.705,87.893,33.197,0.0,33.197,33.197,24.705,33.197,116.493,21.127,33.197,8.817,116.493,0.0,22.322,22.322,0.0
INST0156_N15_N06_D008,35.041,58.839,0.0,33.197,99.467,58.839,35.041,35.041,134.941,0.0,56.4,56.4,99.467,114.332,56.4,114.332,0.0,33.197,0.0,0.0,56.4,0.0,149.69,35.041,0.0,41.993,149.69,33.197,54.669,54.669,33.197
INST0156_N15_N06_P009,35.041,58.839,0.0,33.197,99.467,58.839,35.041,35.041,134.941,0.0,56.4,56.4,99.467,114.332,56.4,114.332,0.0,33.197,0.0,0.0,56.4,0.0,149.69,35.041,0.0,41.993,149.69,33.197,54.669,54.669,33.197
INST0156_N15_N06_D009,28.595,14.003,56.4,24.705,81.517,14.003,28.595,28.595,166.496,56.4,0.0,0.0,81.517,64.653,0.0,64.653,56.4,24.705,56.4,56.4,0.0,56.4,94.965,28.595,56.4,16.848,94.965,24.705,3.413,3.413,24.705
INST0156_N15_N06_P010,35.041,58.839,0.0,33.197,99.467,58.839,35.041,35.041,134.941,0.0,56.4,56.4,99.467,114.332,56.4,114.332,0.0,33.197,0.0,0.0,56.4,0.0,149.69,35.041,0.0,41.993,149.69,33.197,54.669,54.669,33.197
INST0156_N15_N06_D010,122.983,99.415,149.69,116.493,104.211,99.415,122.983,122.983,253.32,149.69,94.965,94.965,104.211,79.694,94.965,79.694,149.69,116.493,149.69,149.69,94.965,149.69,0.0,122.983,149.69,107.703,0.0,116.493,95.867,95.867,116.493
INST0156_N15_N06_P011,0.0,25.326,35.041,21.127,99.392,25.326,0.0,0.0,139.347,35.041,28.595,28.595,99.392,79.42,28.595,79.42,35.041,21.127,35.041,35.041,28.595,35.041,122.983,0.0,35.041,24.088,122.983,21.127,28.727,28.727,21.127
INST0156_N15_N06_D011,35.041,58.839,0.0,33.197,99.467,58.839,35.041,35.041,134.941,0.0,56.4,56.4,99.467,114.332,56.4,114.332,0.0,33.197,0.0,0.0,56.4,0.0,149.69,35.041,0.0,41.993,149.69,33.197,54.669,54.669,33.197
INST0156_N15_N06_P012,24.088,26.694,41.993,8.817,75.654,26.694,24.088,24.088,162.641,41.993,16.848,16.848,75.654,81.208,16.848,81.208,41.993,8.817,41.993,41.993,16.848,41.993,107.703,24.088,41.993,0.0,107.703,8.817,14.053,14.053,8.817
INST0156_N15_N06_D012,122.983,99.415,149.69,116.493,104.211,99.415,122.983,122.983,253.32,149.69,94.965,94.965,104.211,79.694,94.965,79.694,149.69,116.493,149.69,149.69,94.965,149.69,0.0,122.983,149.69,107.703,0.0,116.493,95.867,95.867,116.493
INST0156_N15_N06_P013,21.127,31.992,33.197,0.0,78.919,31.992,21.127,21.127,156.702,33.197,24.705,24.705,78.919,87.893,24.705,87.893,33.197,0.0,33.197,33.197,24.705,33.197,116.493,21.127,33.197,8.817,116.493,0.0,22.322,22.322,0.0
INST0156_N15_N06_D013,28.727,17.072,54.669,22.322,78.656,17.072,28.727,28.727,167.44,54.669,3.413,3.413,78.656,67.88,3.413,67.88,54.669,22.322,54.669,54.669,3.413,54.669,95.867,28.727,54.669,14.053,95.867,22.322,0.0,0.0,22.322
INST0156_N15_N06_P014,28.727,17.072,54.669,22.322,78.656,17.072,28.727,28.727,167.44,54.669,3.413,3.413,78.656,67.88,3.413,67.88,54.669,22.322,54.669,54.669,3.413,54.669,95.867,28.727,54.669,14.053,95.867,22.322,0.0,0.0,22.322
INST0156_N15_N06_D014,21.127,31.992,33.197,0.0,78.919,31.992,21.127,21.127,156.702,33.197,24.705,24.705,78.919,87.893,24.705,87.893,33.197,0.0,33.197,33.197,24.705,33.197,116.493,21.127,33.197,8.817,116.493,0.0,22.322,22.322,0.0
