,depot,INST0147_N12_N27_P000,INST0147_N12_N27_D000,INST0147_N12_N27_P001,INST0147_N12_N27_D001,INST0147_N12_N27_P002,INST0147_N12_N27_D002,INST0147_N12_N27_P003,INST0147_N12_N27_D003,INST0147_N12_N27_P004,INST0147_N12_N27_D004,INST0147_N12_N27_P005,INST0147_N12_N27_D005,INST0147_N12_N27_P006,INST0147_N12_N27_D006,INST0147_N12_N27_P007,INST0147_N12_N27_D007,INST0147_N12_N27_P008,INST0147_N12_N27_D008,INST0147_N12_N27_P009,INST0147_N12_N27_D009,INST0147_N12_N27_P010,INST0147_N12_N27_D010,INST0147_N12_N27_P011,INST0147_N12_N27_D011
INST0147_N12_N27_P005,23.01,26.694,8.817,0.0,24.088,8.817,41.993,8.817,26.694,26.694,107.703,0.0,14.053,41.993,107.703,14.053,24.088,8.817,81.208,0.0,14.053,26.694,41.993,14.053,81.208
INST0147_N12_N27_D005,33.929,17.072,22.322,14.053,28.727,22.322,54.669,22.322,17.072,17.072,95.867,14.053,0.0,54.669,95.867,0.0,28.727,22.322,67.88,14.053,0.0,17.072,54.669,0.0,67.88
INST0147_N12_N27_P006,43.657,58.839,33.197,41.993,35.041,33.197,0.0,33.197,58.839,58.839,149.69,41.993,54.669,0.0,149.69,54.669,35.041,33.197,114.332,41.993,54.669,58.839,0.0,54.669,114.332
INST0147_N12_N27_D006,114.14,99.415,116.493,107.703,122.983,116.493,149.69,116.493,99.415,99.415,0.0,107.703,95.867,149.69,0.0,95.867,122.983,116.493,79.694,107.703,95.867,99.415,149.69,95.867,79.694
INST0147_N12_N27_P007,33.929,17.072,22.322,14.053,28.727,22.322,54.669,22.322,17.072,17.072,95.867,14.053,0.0,54.669,95.867,0.0,28.727,22.322,67.88,14.053,0.0,17.072,54.669,0.0,67.88
INST0147_N12_N27_D007,43.511,25.326,21.127,24.088,0.0,21.127,35.041,21.127,25.326,25.326,122.983,24.088,28.727,35.041,122.983,28.727,0.0,21.127,79.42,24.088,28.727,25.326,35.041,28.727,79.42
INST0147_N12_N27_P008,22.387,31.992,0.0,8.817,21.127,0.0,33.197,0.0,31.992,31.992,116.493,8.817,22.322,33.197,116.493,22.322,21.127,0.0,87.893,8.817,22.322,31.992,33.197,22.322,87.893
INST0147_N12_N27_D008,101.428,56.35,87.893,81.208,79.42,87.893,114.332,87.893,56.35,56.35,79.694,81.208,67.88,114.332,79.694,67.88,79.42,87.893,0.0,81.208,67.88,56.35,114.332,67.88,0.0
INST0147_N12_N27_P009,23.01,26.694,8.817,0.0,24.088,8.817,41.993,8.817,26.694,26.694,107.703,0.0,14.053,41.993,107.703,14.053,24.088,8.817,81.208,0.0,14.053,26.694,41.993,14.053,81.208
INST0147_N12_N27_D009,33.929,17.072,22.322,14.053,28.727,22.322,54.669,22.322,17.072,17.072,95.867,14.053,0.0,54.669,95.867,0.0,28.727,22.322,67.88,14.053,0.0,17.072,54.669,0.0,67.88
INST0147_N12_N27_P010,49.306,0.0,31.992,26.694,25.326,31.992,58.839,31.992,0.0,0.0,99.415,26.694,17.072,58.839,99.415,17.072,25.326,31.992,56.35,26.694,17.072,0.0,58.839,17.072,56.35
INST0147_N12_N27_D010,43.657,58.839,33.197,41.993,35.041,33.197,0.0,33.197,58.839,58.839,149.69,41.993,54.669,0.0,149.69,54.669,35.041,33.197,114.332,41.993,54.669,58.839,0.0,54.669,114.332
INST0147_N12_N27_P011,33.929,17.072,22.322,14.053,28.727,22.322,54.669,22.322,17.072,17.072,95.867,14.053,0.0,54.669,95.867,0.0,28.727,22.322,67.88,14.053,0.0,17.072,54.669,0.0,67.88
INST0147_N12_N27_D011,101.428,56.35,87.893,81.208,79.42,87.893,114.332,87.893,56.35,56.35,79.694,81.208,67.88,114.332,79.694,67.88,79.42,87.893,0.0,81.208,67.88,56.35,114.332,67.88,0.0
