,depot,INST0129_N12_N09_P000,INST0129_N12_N09_D000,INST0129_N12_N09_P001,INST0129_N12_N09_D001,INST0129_N12_N09_P002,INST0129_N12_N09_D002,INST0129_N12_N09_P003,INST0129_N12_N09_D003,INST0129_N12_N09_P004,INST0129_N12_N09_D004,INST0129_N12_N09_P005,INST0129_N12_N09_D005,INST0129_N12_N09_P006,INST0129_N12_N09_D006,INST0129_N12_N09_P007,INST0129_N12_N09_D007,INST0129_N12_N09_P008,INST0129_N12_N09_D008,INST0129_N12_N09_P009,INST0129_N12_N09_D009,INST0129_N12_N09_P010,INST0129_N12_N09_D010,INST0129_N12_N09_P011,INST0129_N12_N09_D011
INST0129_N12_N09_D004,99.467,57.966,95.498,78.656,99.467,99.392,78.919,75.654,99.467,99.392,0.0,81.517,78.919,75.654,78.656,95.498,233.468,78.656,104.211,81.517,127.812,78.656,75.654,78.656,104.211
INST0129_N12_N09_P005,56.4,37.312,14.003,3.413,56.4,28.595,24.705,16.848,56.4,28.595,81.517,0.0,24.705,16.848,3.413,14.003,166.496,3.413,94.965,0.0,134.313,3.413,16.848,3.413,94.965
INST0129_N12_N09_D005,33.197,22.387,31.992,22.322,33.197,21.127,0.0,8.817,33.197,21.127,78.919,24.705,0.0,8.817,22.322,31.992,156.702,22.322,116.493,24.705,154.717,22.322,8.817,22.322,116.493
INST0129_N12_N09_P006,41.993,23.01,26.694,14.053,41.993,24.088,8.817,0.0,41.993,24.088,75.654,16.848,8.817,0.0,14.053,26.694,162.641,14.053,107.703,16.848,146.035,14.053,0.0,14.053,107.703
INST0129_N12_N09_D006,54.669,33.929,17.072,0.0,54.669,28.727,22.322,14.053,54.669,28.727,78.656,3.413,22.322,14.053,0.0,17.072,167.44,0.0,95.867,3.413,134.948,0.0,14.053,0.0,95.867
INST0129_N12_N09_P007,58.839,49.306,0.0,17.072,58.839,25.326,31.992,26.694,58.839,25.326,95.498,14.003,31.992,26.694,17.072,0.0,157.017,17.072,99.415,14.003,139.481,17.072,26.694,17.072,99.415
INST0129_N12_N09_D007,134.941,175.714,157.017,167.44,134.941,139.347,156.702,162.641,134.941,139.347,233.468,166.496,156.702,162.641,167.44,157.017,0.0,167.44,253.32,166.496,293.481,167.44,162.641,167.44,253.32
INST0129_N12_N09_P008,54.669,33.929,17.072,0.0,54.669,28.727,22.322,14.053,54.669,28.727,78.656,3.413,22.322,14.053,0.0,17.072,167.44,0.0,95.867,3.413,134.948,0.0,14.053,0.0,95.867
INST0129_N12_N09_D008,149.69,114.14,99.415,95.867,149.69,122.983,116.493,107.703,149.69,122.983,104.211,94.965,116.493,107.703,95.867,99.415,253.32,95.867,0.0,94.965,40.266,95.867,107.703,95.867,0.0
INST0129_N12_N09_P009,56.4,37.312,14.003,3.413,56.4,28.595,24.705,16.848,56.4,28.595,81.517,0.0,24.705,16.848,3.413,14.003,166.496,3.413,94.965,0.0,134.313,3.413,16.848,3.413,94.965
INST0129_N12_N09_D009,187.802,149.729,139.481,134.948,187.802,162.63,154.717,146.035,187.802,162.63,127.812,134.313,154.717,146.035,134.948,139.481,293.481,134.948,40.266,134.313,0.0,134.948,146.035,134.948,40.266
INST0129_N12_N09_P010,54.669,33.929,17.072,0.0,54.669,28.727,22.322,14.053,54.669,28.727,78.656,3.413,22.322,14.053,0.0,17.072,167.44,0.0,95.867,3.413,134.948,0.0,14.053,0.0,95.867
INST0129_N12_N09_D010,41.993,23.01,26.694,14.053,41.993,24.088,8.817,0.0,41.993,24.088,75.654,16.848,8.817,0.0,14.053,26.694,162.641,14.053,107.703,16.848,146.035,14.053,0.0,14.053,107.703
INST0129_N12_N09_P011,54.669,33.929,17.072,0.0,54.669,28.727,22.322,14.053,54.669,28.727,78.656,3.413,22.322,14.053,0.0,17.072,167.44,0.0,95.867,3.413,134.948,0.0,14.053,0.0,95.867
INST0129_N12_N09_D011,149.69,114.14,99.415,95.867,149.69,122.983,116.493,107.703,149.69,122.983,104.211,94.965,116.493,107.703,95.867,99.415,253.32,95.867,0.0,94.965,40.266,95.867,107.703,95.867,0.0
