,depot,INST0140_N12_S20_P000,INST0140_N12_S20_D000,INST0140_N12_S20_P001,INST0140_N12_S20_D001,INST0140_N12_S20_P002,INST0140_N12_S20_D002,INST0140_N12_S20_P003,INST0140_N12_S20_D003,INST0140_N12_S20_P004,INST0140_N12_S20_D004,INST0140_N12_S20_P005,INST0140_N12_S20_D005,INST0140_N12_S20_P006,INST0140_N12_S20_D006,INST0140_N12_S20_P007,INST0140_N12_S20_D007,INST0140_N12_S20_P008,INST0140_N12_S20_D008,INST0140_N12_S20_P009,INST0140_N12_S20_D009,INST0140_N12_S20_P010,INST0140_N12_S20_D010,INST0140_N12_S20_P011,INST0140_N12_S20_D011
INST0140_N12_S20_D004,0.0,44.645,26.3,61.869,83.656,24.036,160.028,6.707,67.566,83.656,0.0,26.3,0.0,83.656,26.3,24.036,6.707,75.176,67.566,6.707,44.645,83.656,67.566,26.3,83.656
INST0140_N12_S20_P005,26.3,30.556,0.0,80.067,108.949,26.348,177.944,32.455,46.181,108.949,26.3,0.0,26.3,108.949,0.0,26.348,32.455,92.948,46.181,32.455,30.556,108.949,46.181,0.0,108.949
INST0140_N12_S20_D005,0.0,44.645,26.3,61.869,83.656,24.036,160.028,6.707,67.566,83.656,0.0,26.3,0.0,83.656,26.3,24.036,6.707,75.176,67.566,6.707,44.645,83.656,67.566,26.3,83.656
INST0140_N12_S20_P006,83.656,125.848,108.949,87.998,0.0,102.142,151.155,77.018,138.993,0.0,83.656,108.949,83.656,0.0,108.949,102.142,77.018,94.398,138.993,77.018,125.848,0.0,138.993,108.949,0.0
INST0140_N12_S20_D006,26.3,30.556,0.0,80.067,108.949,26.348,177.944,32.455,46.181,108.949,26.3,0.0,26.3,108.949,0.0,26.348,32.455,92.948,46.181,32.455,30.556,108.949,46.181,0.0,108.949
INST0140_N12_S20_P007,24.036,23.863,26.348,55.105,102.142,0.0,152.108,29.68,72.268,102.142,24.036,26.348,24.036,102.142,26.348,0.0,29.68,67.557,72.268,29.68,23.863,102.142,72.268,26.348,102.142
INST0140_N12_S20_D007,6.707,51.136,32.455,61.135,77.018,29.68,158.604,0.0,71.658,77.018,6.707,32.455,6.707,77.018,32.455,29.68,0.0,74.382,71.658,0.0,51.136,77.018,71.658,32.455,77.018
INST0140_N12_S20_P008,75.176,83.129,92.948,13.307,94.398,67.557,85.211,74.382,139.086,94.398,75.176,92.948,75.176,94.398,92.948,67.557,74.382,0.0,139.086,74.382,83.129,94.398,139.086,92.948,94.398
INST0140_N12_S20_D008,67.566,67.228,46.181,126.125,138.993,72.268,224.124,71.658,0.0,138.993,67.566,46.181,67.566,138.993,46.181,72.268,71.658,139.086,0.0,71.658,67.228,138.993,0.0,46.181,138.993
INST0140_N12_S20_P009,6.707,51.136,32.455,61.135,77.018,29.68,158.604,0.0,71.658,77.018,6.707,32.455,6.707,77.018,32.455,29.68,0.0,74.382,71.658,0.0,51.136,77.018,71.658,32.455,77.018
INST0140_N12_S20_D009,44.645,0.0,30.556,72.248,125.848,23.863,164.482,51.136,67.228,125.848,44.645,30.556,44.645,125.848,30.556,23.863,51.136,83.129,67.228,51.136,0.0,125.848,67.228,30.556,125.848
INST0140_N12_S20_P010,83.656,125.848,108.949,87.998,0.0,102.142,151.155,77.018,138.993,0.0,83.656,108.949,83.656,0.0,108.949,102.142,77.018,94.398,138.993,77.018,125.848,0.0,138.993,108.949,0.0
INST0140_N12_S20_D010,67.566,67.228,46.181,126.125,138.993,72.268,224.124,71.658,0.0,138.993,67.566,46.181,67.566,138.993,46.181,72.268,71.658,139.086,0.0,71.658,67.228,138.993,0.0,46.181,138.993
INST0140_N12_S20_P011,26.3,30.556,0.0,80.067,108.949,26.348,177.944,32.455,46.181,108.949,26.3,0.0,26.3,108.949,0.0,26.348,32.455,92.948,46.181,32.455,30.556,108.949,46.181,0.0,108.949
INST0140_N12_S20_D011,83.656,125.848,108.949,87.998,0.0,102.142,151.155,77.018,138.993,0.0,83.656,108.949,83.656,0.0,108.949,102.142,77.018,94.398,138.993,77.018,125.848,0.0,138.993,108.949,0.0
