,depot,INST0126_N12_N06_P000,INST0126_N12_N06_D000,INST0126_N12_N06_P001,INST0126_N12_N06_D001,INST0126_N12_N06_P002,INST0126_N12_N06_D002,INST0126_N12_N06_P003,INST0126_N12_N06_D003,INST0126_N12_N06_P004,INST0126_N12_N06_D004,INST0126_N12_N06_P005,INST0126_N12_N06_D005,INST0126_N12_N06_P006,INST0126_N12_N06_D006,INST0126_N12_N06_P007,INST0126_N12_N06_D007,INST0126_N12_N06_P008,INST0126_N12_N06_D008,INST0126_N12_N06_P009,INST0126_N12_N06_D009,INST0126_N12_N06_P010,INST0126_N12_N06_D010,INST0126_N12_N06_P011,INST0126_N12_N06_D011
INST0126_N12_N06_D004,28.595,24.705,0.0,14.003,16.848,16.848,28.595,14.003,94.965,24.705,0.0,28.595,56.4,16.848,64.653,28.595,178.677,37.312,14.003,28.595,0.0,28.595,0.0,14.003,3.413
INST0126_N12_N06_P005,0.0,21.127,28.595,25.326,24.088,24.088,0.0,25.326,122.983,21.127,28.595,0.0,35.041,24.088,79.42,0.0,153.452,43.511,25.326,0.0,28.595,0.0,28.595,25.326,28.727
INST0126_N12_N06_D005,35.041,33.197,56.4,58.839,41.993,41.993,35.041,58.839,149.69,33.197,56.4,35.041,0.0,41.993,114.332,35.041,122.582,43.657,58.839,35.041,56.4,35.041,56.4,58.839,54.669
INST0126_N12_N06_P006,24.088,8.817,16.848,26.694,0.0,0.0,24.088,26.694,107.703,8.817,16.848,24.088,41.993,0.0,81.208,24.088,164.529,23.01,26.694,24.088,16.848,24.088,16.848,26.694,14.053
INST0126_N12_N06_D006,79.42,87.893,64.653,56.35,81.208,81.208,79.42,56.35,79.694,87.893,64.653,79.42,114.332,81.208,0.0,79.42,229.986,101.428,56.35,79.42,64.653,79.42,64.653,56.35,67.88
INST0126_N12_N06_P007,0.0,21.127,28.595,25.326,24.088,24.088,0.0,25.326,122.983,21.127,28.595,0.0,35.041,24.088,79.42,0.0,153.452,43.511,25.326,0.0,28.595,0.0,28.595,25.326,28.727
INST0126_N12_N06_D007,153.452,155.714,178.677,178.773,164.529,164.529,153.452,178.773,272.117,155.714,178.677,153.452,122.582,164.529,229.986,153.452,0.0,160.581,178.773,153.452,178.677,153.452,178.677,178.773,177.15
INST0126_N12_N06_P008,43.511,22.387,37.312,49.306,23.01,23.01,43.511,49.306,114.14,22.387,37.312,43.511,43.657,23.01,101.428,43.511,160.581,0.0,49.306,43.511,37.312,43.511,37.312,49.306,33.929
INST0126_N12_N06_D008,25.326,31.992,14.003,0.0,26.694,26.694,25.326,0.0,99.415,31.992,14.003,25.326,58.839,26.694,56.35,25.326,178.773,49.306,0.0,25.326,14.003,25.326,14.003,0.0,17.072
INST0126_N12_N06_P009,0.0,21.127,28.595,25.326,24.088,24.088,0.0,25.326,122.983,21.127,28.595,0.0,35.041,24.088,79.42,0.0,153.452,43.511,25.326,0.0,28.595,0.0,28.595,25.326,28.727
INST0126_N12_N06_D009,28.595,24.705,0.0,14.003,16.848,16.848,28.595,14.003,94.965,24.705,0.0,28.595,56.4,16.848,64.653,28.595,178.677,37.312,14.003,28.595,0.0,28.595,0.0,14.003,3.413
INST0126_N12_N06_P010,0.0,21.127,28.595,25.326,24.088,24.088,0.0,25.326,122.983,21.127,28.595,0.0,35.041,24.088,79.42,0.0,153.452,43.511,25.326,0.0,28.595,0.0,28.595,25.326,28.727
INST0126_N12_N06_D010,28.595,24.705,0.0,14.003,16.848,16.848,28.595,14.003,94.965,24.705,0.0,28.595,56.4,16.848,64.653,28.595,178.677,37.312,14.003,28.595,0.0,28.595,0.0,14.003,3.413
INST0126_N12_N06_P011,25.326,31.992,14.003,0.0,26.694,26.694,25.326,0.0,99.415,31.992,14.003,25.326,58.839,26.694,56.35,25.326,178.773,49.306,0.0,25.326,14.003,25.326,14.003,0.0,17.072
INST0126_N12_N06_D011,28.727,22.322,3.413,17.072,14.053,14.053,28.727,17.072,95.867,22.322,3.413,28.727,54.669,14.053,67.88,28.727,177.15,33.929,17.072,28.727,3.413,28.727,3.413,17.072,0.0
