,depot,INST0141_N12_N21_P000,INST0141_N12_N21_D000,INST0141_N12_N21_P001,INST0141_N12_N21_D001,INST0141_N12_N21_P002,INST0141_N12_N21_D002,INST0141_N12_N21_P003,INST0141_N12_N21_D003,INST0141_N12_N21_P004,INST0141_N12_N21_D004,INST0141_N12_N21_P005,INST0141_N12_N21_D005,INST0141_N12_N21_P006,INST0141_N12_N21_D006,INST0141_N12_N21_P007,INST0141_N12_N21_D007,INST0141_N12_N21_P008,INST0141_N12_N21_D008,INST0141_N12_N21_P009,INST0141_N12_N21_D009,INST0141_N12_N21_P010,INST0141_N12_N21_D010,INST0141_N12_N21_P011,INST0141_N12_N21_D011
INST0141_N12_N21_D004,23.461,13.942,78.292,0.0,44.646,18.229,110.207,18.229,144.673,55.435,0.0,2.788,44.646,27.709,0.0,23.461,0.0,13.942,55.435,11.477,2.788,0.0,13.942,13.942,0.0
INST0141_N12_N21_P005,23.353,11.436,77.555,2.788,46.06,20.176,109.689,20.176,145.919,52.8,2.788,0.0,46.06,30.471,2.788,23.353,2.788,11.436,52.8,13.759,0.0,2.788,11.436,11.436,2.788
INST0141_N12_N21_D005,28.616,48.052,122.247,44.646,0.0,27.111,153.371,27.111,100.108,93.371,44.646,46.06,0.0,35.653,44.646,28.616,44.646,48.052,93.371,34.294,46.06,44.646,48.052,48.052,44.646
INST0141_N12_N21_P006,35.534,40.266,93.214,27.709,35.653,18.283,122.278,18.283,131.141,82.833,27.709,30.471,35.653,0.0,27.709,35.534,27.709,40.266,82.833,18.791,30.471,27.709,40.266,40.266,27.709
INST0141_N12_N21_D006,23.461,13.942,78.292,0.0,44.646,18.229,110.207,18.229,144.673,55.435,0.0,2.788,44.646,27.709,0.0,23.461,0.0,13.942,55.435,11.477,2.788,0.0,13.942,13.942,0.0
INST0141_N12_N21_P007,0.0,20.683,100.436,23.461,28.616,17.254,132.815,17.254,125.319,64.86,23.461,23.353,28.616,35.534,23.461,0.0,23.461,20.683,64.86,19.671,23.353,23.461,20.683,20.683,23.461
INST0141_N12_N21_D007,23.461,13.942,78.292,0.0,44.646,18.229,110.207,18.229,144.673,55.435,0.0,2.788,44.646,27.709,0.0,23.461,0.0,13.942,55.435,11.477,2.788,0.0,13.942,13.942,0.0
INST0141_N12_N21_P008,20.683,0.0,81.189,13.942,48.052,26.126,113.909,26.126,145.998,46.019,13.942,11.436,48.052,40.266,13.942,20.683,13.942,0.0,46.019,21.8,11.436,13.942,0.0,0.0,13.942
INST0141_N12_N21_D008,64.86,46.019,65.084,55.435,93.371,71.779,95.428,71.779,187.822,0.0,55.435,52.8,93.371,82.833,55.435,64.86,55.435,46.019,0.0,66.32,52.8,55.435,46.019,46.019,55.435
INST0141_N12_N21_P009,19.671,21.8,87.958,11.477,34.294,7.201,119.262,7.201,134.365,66.32,11.477,13.759,34.294,18.791,11.477,19.671,11.477,21.8,66.32,0.0,13.759,11.477,21.8,21.8,11.477
INST0141_N12_N21_D009,23.353,11.436,77.555,2.788,46.06,20.176,109.689,20.176,145.919,52.8,2.788,0.0,46.06,30.471,2.788,23.353,2.788,11.436,52.8,13.759,0.0,2.788,11.436,11.436,2.788
INST0141_N12_N21_P010,23.461,13.942,78.292,0.0,44.646,18.229,110.207,18.229,144.673,55.435,0.0,2.788,44.646,27.709,0.0,23.461,0.0,13.942,55.435,11.477,2.788,0.0,13.942,13.942,0.0
INST0141_N12_N21_D010,20.683,0.0,81.189,13.942,48.052,26.126,113.909,26.126,145.998,46.019,13.942,11.436,48.052,40.266,13.942,20.683,13.942,0.0,46.019,21.8,11.436,13.942,0.0,0.0,13.942
INST0141_N12_N21_P011,20.683,0.0,81.189,13.942,48.052,26.126,113.909,26.126,145.998,46.019,13.942,11.436,48.052,40.266,13.942,20.683,13.942,0.0,46.019,21.8,11.436,13.942,0.0,0.0,13.942
INST0141_N12_N21_D011,23.461,13.942,78.292,0.0,44.646,18.229,110.207,18.229,144.673,55.435,0.0,2.788,44.646,27.709,0.0,23.461,0.0,13.942,55.435,11.477,2.788,0.0,13.942,13.942,0.0
