,depot,INST0201_N18_N21_P000,INST0201_N18_N21_D000,INST0201_N18_N21_P001,INST0201_N18_N21_D001,INST0201_N18_N21_P002,INST0201_N18_N21_D002,INST0201_N18_N21_P003,INST0201_N18_N21_D003,INST0201_N18_N21_P004,INST0201_N18_N21_D004,INST0201_N18_N21_P005,INST0201_N18_N21_D005,INST0201_N18_N21_P006,INST0201_N18_N21_D006,INST0201_N18_N21_P007,INST0201_N18_N21_D007,INST0201_N18_N21_P008,INST0201_N18_N21_D008,INST0201_N18_N21_P009,INST0201_N18_N21_D009,INST0201_N18_N21_P010,INST0201_N18_N21_D010,INST0201_N18_N21_P011,INST0201_N18_N21_D011,INST0201_N18_N21_P012,INST0201_N18_N21_D012,INST0201_N18_N21_P013,INST0201_N18_N21_D013,INST0201_N18_N21_P014,INST0201_N18_N21_D014,INST0201_N18_N21_P015,INST0201_N18_N21_D015,INST0201_N18_N21_P016,INST0201_N18_N21_D016,INST0201_N18_N21_P017,INST0201_N18_N21_D017
INST0201_N18_N21_P011,21.127,22.387,116.493,22.322,33.197,0.0,156.702,24.705,116.493,87.893,21.127,87.893,21.127,21.127,22.387,33.197,78.919,22.387,8.817,24.705,8.817,31.992,8.817,0.0,33.197,22.322,154.717,21.127,155.714,0.0,78.919,8.817,154.717,0.0,156.702,0.0,22.322
INST0201_N18_N21_D011,35.041,43.657,149.69,54.669,0.0,33.197,134.941,56.4,149.69,114.332,35.041,114.332,35.041,35.041,43.657,0.0,99.467,43.657,41.993,56.4,41.993,58.839,41.993,33.197,0.0,54.669,187.802,35.041,122.582,33.197,99.467,41.993,187.802,33.197,134.941,33.197,54.669
INST0201_N18_N21_P012,28.727,33.929,95.867,0.0,54.669,22.322,167.44,3.413,95.867,67.88,28.727,67.88,28.727,28.727,33.929,54.669,78.656,33.929,14.053,3.413,14.053,17.072,14.053,22.322,54.669,0.0,134.948,28.727,177.15,22.322,78.656,14.053,134.948,22.322,167.44,22.322,0.0
INST0201_N18_N21_D012,162.63,149.729,40.266,134.948,187.802,154.717,293.481,134.313,40.266,116.851,162.63,116.851,162.63,162.63,149.729,187.802,127.812,149.729,146.035,134.313,146.035,139.481,146.035,154.717,187.802,134.948,0.0,162.63,309.6,154.717,127.812,146.035,0.0,154.717,293.481,154.717,134.948
INST0201_N18_N21_P013,0.0,43.511,122.983,28.727,35.041,21.127,139.347,28.595,122.983,79.42,0.0,79.42,0.0,0.0,43.511,35.041,99.392,43.511,24.088,28.595,24.088,25.326,24.088,21.127,35.041,28.727,162.63,0.0,153.452,21.127,99.392,24.088,162.63,21.127,139.347,21.127,28.727
INST0201_N18_N21_D013,153.452,160.581,272.117,177.15,122.582,155.714,125.74,178.677,272.117,229.986,153.452,229.986,153.452,153.452,160.581,122.582,203.198,160.581,164.529,178.677,164.529,178.773,164.529,155.714,122.582,177.15,309.6,153.452,0.0,155.714,203.198,164.529,309.6,155.714,125.74,155.714,177.15
INST0201_N18_N21_P014,21.127,22.387,116.493,22.322,33.197,0.0,156.702,24.705,116.493,87.893,21.127,87.893,21.127,21.127,22.387,33.197,78.919,22.387,8.817,24.705,8.817,31.992,8.817,0.0,33.197,22.322,154.717,21.127,155.714,0.0,78.919,8.817,154.717,0.0,156.702,0.0,22.322
INST0201_N18_N21_D014,99.392,57.966,104.211,78.656,99.467,78.919,233.468,81.517,104.211,131.605,99.392,131.605,99.392,99.392,57.966,99.467,0.0,57.966,75.654,81.517,75.654,95.498,75.654,78.919,99.467,78.656,127.812,99.392,203.198,78.919,0.0,75.654,127.812,78.919,233.468,78.919,78.656
INST0201_N18_N21_P015,24.088,23.01,107.703,14.053,41.993,8.817,162.641,16.848,107.703,81.208,24.088,81.208,24.088,24.088,23.01,41.993,75.654,23.01,0.0,16.848,0.0,26.694,0.0,8.817,41.993,14.053,146.035,24.088,164.529,8.817,75.654,0.0,146.035,8.817,162.641,8.817,14.053
INST0201_N18_N21_D015,162.63,149.729,40.266,134.948,187.802,154.717,293.481,134.313,40.266,116.851,162.63,116.851,162.63,162.63,149.729,187.802,127.812,149.729,146.035,134.313,146.035,139.481,146.035,154.717,187.802,134.948,0.0,162.63,309.6,154.717,127.812,146.035,0.0,154.717,293.481,154.717,134.948
INST0201_N18_N21_P016,21.127,22.387,116.493,22.322,33.197,0.0,156.702,24.705,116.493,87.893,21.127,87.893,21.127,21.127,22.387,33.197,78.919,22.387,8.817,24.705,8.817,31.992,8.817,0.0,33.197,22.322,154.717,21.127,155.714,0.0,78.919,8.817,154.717,0.0,156.702,0.0,22.322
INST0201_N18_N21_D016,139.347,175.714,253.32,167.44,134.941,156.702,0.0,166.496,253.32,182.822,139.347,182.822,139.347,139.347,175.714,134.941,233.468,175.714,162.641,166.496,162.641,157.017,162.641,156.702,134.941,167.44,293.481,139.347,125.74,156.702,233.468,162.641,293.481,156.702,0.0,156.702,167.44
INST0201_N18_N21_P017,21.127,22.387,116.493,22.322,33.197,0.0,156.702,24.705,116.493,87.893,21.127,87.893,21.127,21.127,22.387,33.197,78.919,22.387,8.817,24.705,8.817,31.992,8.817,0.0,33.197,22.322,154.717,21.127,155.714,0.0,78.919,8.817,154.717,0.0,156.702,0.0,22.322
INST0201_N18_N21_D017,28.727,33.929,95.867,0.0,54.669,22.322,167.44,3.413,95.867,67.88,28.727,67.88,28.727,28.727,33.929,54.669,78.656,33.929,14.053,3.413,14.053,17.072,14.053,22.322,54.669,0.0,134.948,28.727,177.15,22.322,78.656,14.053,134.948,22.322,167.44,22.322,0.0
