,depot,INST0211_N20_W01_P000,INST0211_N20_W01_D000,INST0211_N20_W01_P001,INST0211_N20_W01_D001,INST0211_N20_W01_P002,INST0211_N20_W01_D002,INST0211_N20_W01_P003,INST0211_N20_W01_D003,INST0211_N20_W01_P004,INST0211_N20_W01_D004,INST0211_N20_W01_P005,INST0211_N20_W01_D005,INST0211_N20_W01_P006,INST0211_N20_W01_D006,INST0211_N20_W01_P007,INST0211_N20_W01_D007,INST0211_N20_W01_P008,INST0211_N20_W01_D008,INST0211_N20_W01_P009,INST0211_N20_W01_D009,INST0211_N20_W01_P010,INST0211_N20_W01_D010,INST0211_N20_W01_P011,INST0211_N20_W01_D011,INST0211_N20_W01_P012,INST0211_N20_W01_D012,INST0211_N20_W01_P013,INST0211_N20_W01_D013,INST0211_N20_W01_P014,INST0211_N20_W01_D014,INST0211_N20_W01_P015,INST0211_N20_W01_D015,INST0211_N20_W01_P016,INST0211_N20_W01_D016,INST0211_N20_W01_P017,INST0211_N20_W01_D017,INST0211_N20_W01_P018,INST0211_N20_W01_D018,INST0211_N20_W01_P019,INST0211_N20_W01_D019
INST0211_N20_W01_D004,17.238,61.567,17.238,36.679,0.0,36.679,40.204,36.679,127.423,17.238,0.0,33.728,12.767,61.567,33.728,20.56,40.204,20.56,57.051,40.204,17.238,17.238,40.204,57.051,17.238,17.238,33.728,17.238,57.051,36.679,61.567,61.567,12.767,12.767,23.331,23.331,33.728,36.679,23.331,40.204,12.767
INST0211_N20_W01_P005,37.156,94.929,37.156,28.407,33.728,28.407,72.151,28.407,160.194,37.156,33.728,0.0,45.89,94.929,0.0,20.081,72.151,20.081,78.578,72.151,37.156,37.156,72.151,78.578,37.156,37.156,0.0,37.156,78.578,28.407,94.929,94.929,45.89,45.89,14.369,14.369,0.0,28.407,14.369,72.151,45.89
INST0211_N20_W01_D005,25.201,49.056,25.201,43.098,12.767,43.098,27.496,43.098,114.719,25.201,12.767,45.89,0.0,49.056,45.89,29.878,27.496,29.878,56.961,27.496,25.201,25.201,27.496,56.961,25.201,25.201,45.89,25.201,56.961,43.098,49.056,49.056,0.0,0.0,36.098,36.098,45.89,43.098,36.098,27.496,0.0
INST0211_N20_W01_P006,67.612,0.0,67.612,86.82,61.567,86.82,24.909,86.82,66.284,67.612,61.567,94.929,49.056,0.0,94.929,77.687,24.909,77.687,70.587,24.909,67.612,67.612,24.909,70.587,67.612,67.612,94.929,67.612,70.587,86.82,0.0,0.0,49.056,49.056,84.648,84.648,94.929,86.82,84.648,24.909,49.056
INST0211_N20_W01_D006,37.156,94.929,37.156,28.407,33.728,28.407,72.151,28.407,160.194,37.156,33.728,0.0,45.89,94.929,0.0,20.081,72.151,20.081,78.578,72.151,37.156,37.156,72.151,78.578,37.156,37.156,0.0,37.156,78.578,28.407,94.929,94.929,45.89,45.89,14.369,14.369,0.0,28.407,14.369,72.151,45.89
INST0211_N20_W01_P007,32.905,77.687,32.905,17.435,20.56,17.435,53.818,17.435,141.804,32.905,20.56,20.081,29.878,77.687,20.081,0.0,53.818,0.0,75.699,53.818,32.905,32.905,53.818,75.699,32.905,32.905,20.081,32.905,75.699,17.435,77.687,77.687,29.878,29.878,20.02,20.02,20.081,17.435,20.02,53.818,29.878
INST0211_N20_W01_D007,50.631,24.909,50.631,61.972,40.204,61.972,0.0,61.972,88.095,50.631,40.204,72.151,27.496,24.909,72.151,53.818,0.0,53.818,68.471,0.0,50.631,50.631,0.0,68.471,50.631,50.631,72.151,50.631,68.471,61.972,24.909,24.909,27.496,27.496,63.48,63.48,72.151,61.972,63.48,0.0,27.496
INST0211_N20_W01_P008,32.905,77.687,32.905,17.435,20.56,17.435,53.818,17.435,141.804,32.905,20.56,20.081,29.878,77.687,20.081,0.0,53.818,0.0,75.699,53.818,32.905,32.905,53.818,75.699,32.905,32.905,20.081,32.905,75.699,17.435,77.687,77.687,29.878,29.878,20.02,20.02,20.081,17.435,20.02,53.818,29.878
INST0211_N20_W01_D008,43.046,70.587,43.046,92.961,57.051,92.961,68.471,92.961,128.123,43.046,57.051,78.578,56.961,70.587,78.578,75.699,68.471,75.699,0.0,68.471,43.046,43.046,68.471,0.0,43.046,43.046,78.578,43.046,0.0,92.961,70.587,70.587,56.961,56.961,64.294,64.294,78.578,92.961,64.294,68.471,56.961
INST0211_N20_W01_P009,50.631,24.909,50.631,61.972,40.204,61.972,0.0,61.972,88.095,50.631,40.204,72.151,27.496,24.909,72.151,53.818,0.0,53.818,68.471,0.0,50.631,50.631,0.0,68.471,50.631,50.631,72.151,50.631,68.471,61.972,24.909,24.909,27.496,27.496,63.48,63.48,72.151,61.972,63.48,0.0,27.496
INST0211_N20_W01_D009,0.0,67.612,0.0,50.317,17.238,50.317,50.631,50.317,133.769,0.0,17.238,37.156,25.201,67.612,37.156,32.905,50.631,32.905,43.046,50.631,0.0,0.0,50.631,43.046,0.0,0.0,37.156,0.0,43.046,50.317,67.612,67.612,25.201,25.201,22.951,22.951,37.156,50.317,22.951,50.631,25.201
INST0211_N20_W01_P010,0.0,67.612,0.0,50.317,17.238,50.317,50.631,50.317,133.769,0.0,17.238,37.156,25.201,67.612,37.156,32.905,50.631,32.905,43.046,50.631,0.0,0.0,50.631,43.046,0.0,0.0,37.156,0.0,43.046,50.317,67.612,67.612,25.201,25.201,22.951,22.951,37.156,50.317,22.951,50.631,25.201
INST0211_N20_W01_D010,50.631,24.909,50.631,61.972,40.204,61.972,0.0,61.972,88.095,50.631,40.204,72.151,27.496,24.909,72.151,53.818,0.0,53.818,68.471,0.0,50.631,50.631,0.0,68.471,50.631,50.631,72.151,50.631,68.471,61.972,24.909,24.909,27.496,27.496,63.48,63.48,72.151,61.972,63.48,0.0,27.496
INST0211_N20_W01_P011,43.046,70.587,43.046,92.961,57.051,92.961,68.471,92.961,128.123,43.046,57.051,78.578,56.961,70.587,78.578,75.699,68.471,75.699,0.0,68.471,43.046,43.046,68.471,0.0,43.046,43.046,78.578,43.046,0.0,92.961,70.587,70.587,56.961,56.961,64.294,64.294,78.578,92.961,64.294,68.471,56.961
INST0211_N20_W01_D011,0.0,67.612,0.0,50.317,17.238,50.317,50.631,50.317,133.769,0.0,17.238,37.156,25.201,67.612,37.156,32.905,50.631,32.905,43.046,50.631,0.0,0.0,50.631,43.046,0.0,0.0,37.156,0.0,43.046,50.317,67.612,67.612,25.201,25.201,22.951,22.951,37.156,50.317,22.951,50.631,25.201
INST0211_N20_W01_P012,0.0,67.612,0.0,50.317,17.238,50.317,50.631,50.317,133.769,0.0,17.238,37.156,25.201,67.612,37.156,32.905,50.631,32.905,43.046,50.631,0.0,0.0,50.631,43.046,0.0,0.0,37.156,0.0,43.046,50.317,67.612,67.612,25.201,25.201,22.951,22.951,37.156,50.317,22.951,50.631,25.201
INST0211_N20_W01_D012,37.156,94.929,37.156,28.407,33.728,28.407,72.151,28.407,160.194,37.156,33.728,0.0,45.89,94.929,0.0,20.081,72.151,20.081,78.578,72.151,37.156,37.156,72.151,78.578,37.156,37.156,0.0,37.156,78.578,28.407,94.929,94.929,45.89,45.89,14.369,14.369,0.0,28.407,14.369,72.151,45.89
INST0211_N20_W01_P013,0.0,67.612,0.0,50.317,17.238,50.317,50.631,50.317,133.769,0.0,17.238,37.156,25.201,67.612,37.156,32.905,50.631,32.905,43.046,50.631,0.0,0.0,50.631,43.046,0.0,0.0,37.156,0.0,43.046,50.317,67.612,67.612,25.201,25.201,22.951,22.951,37.156,50.317,22.951,50.631,25.201
INST0211_N20_W01_D013,43.046,70.587,43.046,92.961,57.051,92.961,68.471,92.961,128.123,43.046,57.051,78.578,56.961,70.587,78.578,75.699,68.471,75.699,0.0,68.471,43.046,43.046,68.471,0.0,43.046,43.046,78.578,43.046,0.0,92.961,70.587,70.587,56.961,56.961,64.294,64.294,78.578,92.961,64.294,68.471,56.961
INST0211_N20_W01_P014,50.317,86.82,50.317,0.0,36.679,0.0,61.972,0.0,147.866,50.317,36.679,28.407,43.098,86.82,28.407,17.435,61.972,17.435,92.961,61.972,50.317,50.317,61.972,92.961,50.317,50.317,28.407,50.317,92.961,0.0,86.82,86.82,43.098,43.098,35.228,35.228,28.407,0.0,35.228,61.972,43.098
INST0211_N20_W01_D014,67.612,0.0,67.612,86.82,61.567,86.82,24.909,86.82,66.284,67.612,61.567,94.929,49.056,0.0,94.929,77.687,24.909,77.687,70.587,24.909,67.612,67.612,24.909,70.587,67.612,67.612,94.929,67.612,70.587,86.82,0.0,0.0,49.056,49.056,84.648,84.648,94.929,86.82,84.648,24.909,49.056
INST0211_N20_W01_P015,67.612,0.0,67.612,86.82,61.567,86.82,24.909,86.82,66.284,67.612,61.567,94.929,49.056,0.0,94.929,77.687,24.909,77.687,70.587,24.909,67.612,67.612,24.909,70.587,67.612,67.612,94.929,67.612,70.587,86.82,0.0,0.0,49.056,49.056,84.648,84.648,94.929,86.82,84.648,24.909,49.056
INST0211_N20_W01_D015,25.201,49.056,25.201,43.098,12.767,43.098,27.496,43.098,114.719,25.201,12.767,45.89,0.0,49.056,45.89,29.878,27.496,29.878,56.961,27.496,25.201,25.201,27.496,56.961,25.201,25.201,45.89,25.201,56.961,43.098,49.056,49.056,0.0,0.0,36.098,36.098,45.89,43.098,36.098,27.496,0.0
INST0211_N20_W01_P016,25.201,49.056,25.201,43.098,12.767,43.098,27.496,43.098,114.719,25.201,12.767,45.89,0.0,49.056,45.89,29.878,27.496,29.878,56.961,27.496,25.201,25.201,27.496,56.961,25.201,25.201,45.89,25.201,56.961,43.098,49.056,49.056,0.0,0.0,36.098,36.098,45.89,43.098,36.098,27.496,0.0
INST0211_N20_W01_D016,22.951,84.648,22.951,35.228,23.331,35.228,63.48,35.228,150.679,22.951,23.331,14.369,36.098,84.648,14.369,20.02,63.48,20.02,64.294,63.48,22.951,22.951,63.48,64.294,22.951,22.951,14.369,22.951,64.294,35.228,84.648,84.648,36.098,36.098,0.0,0.0,14.369,35.228,0.0,63.48,36.098
INST0211_N20_W01_P017,22.951,84.648,22.951,35.228,23.331,35.228,63.48,35.228,150.679,22.951,23.331,14.369,36.098,84.648,14.369,20.02,63.48,20.02,64.294,63.48,22.951,22.951,63.48,64.294,22.951,22.951,14.369,22.951,64.294,35.228,84.648,84.648,36.098,36.098,0.0,0.0,14.369,35.228,0.0,63.48,36.098
INST0211_N20_W01_D017,37.156,94.929,37.156,28.407,33.728,28.407,72.151,28.407,160.194,37.156,33.728,0.0,45.89,94.929,0.0,20.081,72.151,20.081,78.578,72.151,37.156,37.156,72.151,78.578,37.156,37.156,0.0,37.156,78.578,28.407,94.929,94.929,45.89,45.89,14.369,14.369,0.0,28.407,14.369,72.151,45.89
INST0211_N20_W01_P018,50.317,86.82,50.317,0.0,36.679,0.0,61.972,0.0,147.866,50.317,36.679,28.407,43.098,86.82,28.407,17.435,61.972,17.435,92.961,61.972,50.317,50.317,61.972,92.961,50.317,50.317,28.407,50.317,92.961,0.0,86.82,86.82,43.098,43.098,35.228,35.228,28.407,0.0,35.228,61.972,43.098
INST0211_N20_W01_D018,22.951,84.648,22.951,35.228,23.331,35.228,63.48,35.228,150.679,22.951,23.331,14.369,36.098,84.648,14.369,20.02,63.48,20.02,64.294,63.48,22.951,22.951,63.48,64.294,22.951,22.951,14.369,22.951,64.294,35.228,84.648,84.648,36.098,36.098,0.0,0.0,14.369,35.228,0.0,63.48,36.098
INST0211_N20_W01_P019,50.631,24.909,50.631,61.972,40.204,61.972,0.0,61.972,88.095,50.631,40.204,72.151,27.496,24.909,72.151,53.818,0.0,53.818,68.471,0.0,50.631,50.631,0.0,68.471,50.631,50.631,72.151,50.631,68.471,61.972,24.909,24.909,27.496,27.496,63.48,63.48,72.151,61.972,63.48,0.0,27.496
INST0211_N20_W01_D019,25.201,49.056,25.201,43.098,12.767,43.098,27.496,43.098,114.719,25.201,12.767,45.89,0.0,49.056,45.89,29.878,27.496,29.878,56.961,27.496,25.201,25.201,27.496,56.961,25.201,25.201,45.89,25.201,56.961,43.098,49.056,49.056,0.0,0.0,36.098,36.098,45.89,43.098,36.098,27.496,0.0
