,depot,INST0131_N12_S11_P000,INST0131_N12_S11_D000,INST0131_N12_S11_P001,INST0131_N12_S11_D001,INST0131_N12_S11_P002,INST0131_N12_S11_D002,INST0131_N12_S11_P003,INST0131_N12_S11_D003,INST0131_N12_S11_P004,INST0131_N12_S11_D004,INST0131_N12_S11_P005,INST0131_N12_S11_D005,INST0131_N12_S11_P006,INST0131_N12_S11_D006,INST0131_N12_S11_P007,INST0131_N12_S11_D007,INST0131_N12_S11_P008,INST0131_N12_S11_D008,INST0131_N12_S11_P009,INST0131_N12_S11_D009,INST0131_N12_S11_P010,INST0131_N12_S11_D010,INST0131_N12_S11_P011,INST0131_N12_S11_D011
INST0131_N12_S11_D004,145.321,145.321,134.327,130.689,123.443,145.321,124.222,124.222,80.368,122.952,0.0,124.222,80.368,122.952,134.327,124.222,0.0,129.526,80.368,183.035,134.327,129.526,134.327,124.222,130.689
INST0131_N12_S11_P005,21.517,21.517,19.488,19.629,83.416,21.517,0.0,0.0,45.002,25.439,124.222,0.0,45.002,25.439,19.488,0.0,124.222,24.239,45.002,59.019,19.488,24.239,19.488,0.0,19.629
INST0131_N12_S11_D005,65.388,65.388,59.003,50.526,71.865,65.388,45.002,45.002,0.0,43.838,80.368,45.002,0.0,43.838,59.003,45.002,80.368,49.927,0.0,103.002,59.003,49.927,59.003,45.002,50.526
INST0131_N12_S11_P006,32.298,32.298,44.339,10.881,58.699,32.298,25.439,25.439,43.838,0.0,122.952,25.439,43.838,0.0,44.339,25.439,122.952,7.008,43.838,65.452,44.339,7.008,44.339,25.439,10.881
INST0131_N12_S11_D006,24.954,24.954,0.0,36.46,102.776,24.954,19.488,19.488,59.003,44.339,134.327,19.488,59.003,44.339,0.0,19.488,134.327,41.761,59.003,54.903,0.0,41.761,0.0,19.488,36.46
INST0131_N12_S11_P007,21.517,21.517,19.488,19.629,83.416,21.517,0.0,0.0,45.002,25.439,124.222,0.0,45.002,25.439,19.488,0.0,124.222,24.239,45.002,59.019,19.488,24.239,19.488,0.0,19.629
INST0131_N12_S11_D007,145.321,145.321,134.327,130.689,123.443,145.321,124.222,124.222,80.368,122.952,0.0,124.222,80.368,122.952,134.327,124.222,0.0,129.526,80.368,183.035,134.327,129.526,134.327,124.222,130.689
INST0131_N12_S11_P008,26.505,26.505,41.761,5.477,62.898,26.505,24.239,24.239,49.927,7.008,129.526,24.239,49.927,7.008,41.761,24.239,129.526,0.0,49.927,58.521,41.761,0.0,41.761,24.239,5.477
INST0131_N12_S11_D008,65.388,65.388,59.003,50.526,71.865,65.388,45.002,45.002,0.0,43.838,80.368,45.002,0.0,43.838,59.003,45.002,80.368,49.927,0.0,103.002,59.003,49.927,59.003,45.002,50.526
INST0131_N12_S11_P009,37.715,37.715,54.903,55.179,113.511,37.715,59.019,59.019,103.002,65.452,183.035,59.019,103.002,65.452,54.903,59.019,183.035,58.521,103.002,0.0,54.903,58.521,54.903,59.019,55.179
INST0131_N12_S11_D009,24.954,24.954,0.0,36.46,102.776,24.954,19.488,19.488,59.003,44.339,134.327,19.488,59.003,44.339,0.0,19.488,134.327,41.761,59.003,54.903,0.0,41.761,0.0,19.488,36.46
INST0131_N12_S11_P010,26.505,26.505,41.761,5.477,62.898,26.505,24.239,24.239,49.927,7.008,129.526,24.239,49.927,7.008,41.761,24.239,129.526,0.0,49.927,58.521,41.761,0.0,41.761,24.239,5.477
INST0131_N12_S11_D010,24.954,24.954,0.0,36.46,102.776,24.954,19.488,19.488,59.003,44.339,134.327,19.488,59.003,44.339,0.0,19.488,134.327,41.761,59.003,54.903,0.0,41.761,0.0,19.488,36.46
INST0131_N12_S11_P011,21.517,21.517,19.488,19.629,83.416,21.517,0.0,0.0,45.002,25.439,124.222,0.0,45.002,25.439,19.488,0.0,124.222,24.239,45.002,59.019,19.488,24.239,19.488,0.0,19.629
INST0131_N12_S11_D011,21.478,21.478,36.46,0.0,68.319,21.478,19.629,19.629,50.526,10.881,130.689,19.629,50.526,10.881,36.46,19.629,130.689,5.477,50.526,55.179,36.46,5.477,36.46,19.629,0.0
