,depot,INST0152_N15_S02_P000,INST0152_N15_S02_D000,INST0152_N15_S02_P001,INST0152_N15_S02_D001,INST0152_N15_S02_P002,INST0152_N15_S02_D002,INST0152_N15_S02_P003,INST0152_N15_S02_D003,INST0152_N15_S02_P004,INST0152_N15_S02_D004,INST0152_N15_S02_P005,INST0152_N15_S02_D005,INST0152_N15_S02_P006,INST0152_N15_S02_D006,INST0152_N15_S02_P007,INST0152_N15_S02_D007,INST0152_N15_S02_P008,INST0152_N15_S02_D008,INST0152_N15_S02_P009,INST0152_N15_S02_D009,INST0152_N15_S02_P010,INST0152_N15_S02_D010,INST0152_N15_S02_P011,INST0152_N15_S02_D011,INST0152_N15_S02_P012,INST0152_N15_S02_D012,INST0152_N15_S02_P013,INST0152_N15_S02_D013,INST0152_N15_S02_P014,INST0152_N15_S02_D014
INST0152_N15_S02_P005,55.171,0.0,75.908,75.908,77.092,67.889,75.908,60.745,77.092,61.394,67.889,0.0,67.889,113.587,67.889,113.587,61.394,61.394,77.092,113.587,61.394,75.908,36.733,0.0,36.733,61.394,54.565,54.565,10.867,61.394,36.733
INST0152_N15_S02_D005,19.488,67.889,24.954,24.954,102.776,0.0,24.954,41.761,102.776,36.46,0.0,67.889,0.0,54.903,0.0,54.903,36.46,36.46,102.776,54.903,36.46,24.954,103.829,67.889,103.829,36.46,44.339,44.339,59.003,36.46,103.829
INST0152_N15_S02_P006,59.019,113.587,37.715,37.715,113.511,54.903,37.715,58.521,113.511,55.179,54.903,113.587,54.903,0.0,54.903,0.0,55.179,55.179,113.511,0.0,55.179,37.715,150.208,113.587,150.208,55.179,65.452,65.452,103.002,55.179,150.208
INST0152_N15_S02_D006,19.488,67.889,24.954,24.954,102.776,0.0,24.954,41.761,102.776,36.46,0.0,67.889,0.0,54.903,0.0,54.903,36.46,36.46,102.776,54.903,36.46,24.954,103.829,67.889,103.829,36.46,44.339,44.339,59.003,36.46,103.829
INST0152_N15_S02_P007,59.019,113.587,37.715,37.715,113.511,54.903,37.715,58.521,113.511,55.179,54.903,113.587,54.903,0.0,54.903,0.0,55.179,55.179,113.511,0.0,55.179,37.715,150.208,113.587,150.208,55.179,65.452,65.452,103.002,55.179,150.208
INST0152_N15_S02_D007,19.629,61.394,21.478,21.478,68.319,36.46,21.478,5.477,68.319,0.0,36.46,61.394,36.46,55.179,36.46,55.179,0.0,0.0,68.319,55.179,0.0,21.478,97.061,61.394,97.061,0.0,10.881,10.881,50.526,0.0,97.061
INST0152_N15_S02_P008,19.629,61.394,21.478,21.478,68.319,36.46,21.478,5.477,68.319,0.0,36.46,61.394,36.46,55.179,36.46,55.179,0.0,0.0,68.319,55.179,0.0,21.478,97.061,61.394,97.061,0.0,10.881,10.881,50.526,0.0,97.061
INST0152_N15_S02_D008,83.416,77.092,88.975,88.975,0.0,102.776,88.975,62.898,0.0,68.319,102.776,77.092,102.776,113.511,102.776,113.511,68.319,68.319,0.0,113.511,68.319,88.975,93.449,77.092,93.449,68.319,58.699,58.699,71.865,68.319,93.449
INST0152_N15_S02_P009,59.019,113.587,37.715,37.715,113.511,54.903,37.715,58.521,113.511,55.179,54.903,113.587,54.903,0.0,54.903,0.0,55.179,55.179,113.511,0.0,55.179,37.715,150.208,113.587,150.208,55.179,65.452,65.452,103.002,55.179,150.208
INST0152_N15_S02_D009,19.629,61.394,21.478,21.478,68.319,36.46,21.478,5.477,68.319,0.0,36.46,61.394,36.46,55.179,36.46,55.179,0.0,0.0,68.319,55.179,0.0,21.478,97.061,61.394,97.061,0.0,10.881,10.881,50.526,0.0,97.061
INST0152_N15_S02_P010,21.517,75.908,0.0,0.0,88.975,24.954,0.0,26.505,88.975,21.478,24.954,75.908,24.954,37.715,24.954,37.715,21.478,21.478,88.975,37.715,21.478,0.0,112.576,75.908,112.576,21.478,32.298,32.298,65.388,21.478,112.576
INST0152_N15_S02_D010,91.902,36.733,112.576,112.576,93.449,103.829,112.576,95.708,93.449,97.061,103.829,36.733,103.829,150.208,103.829,150.208,97.061,97.061,93.449,150.208,97.061,112.576,0.0,36.733,0.0,97.061,89.072,89.072,47.206,97.061,0.0
INST0152_N15_S02_P011,55.171,0.0,75.908,75.908,77.092,67.889,75.908,60.745,77.092,61.394,67.889,0.0,67.889,113.587,67.889,113.587,61.394,61.394,77.092,113.587,61.394,75.908,36.733,0.0,36.733,61.394,54.565,54.565,10.867,61.394,36.733
INST0152_N15_S02_D011,91.902,36.733,112.576,112.576,93.449,103.829,112.576,95.708,93.449,97.061,103.829,36.733,103.829,150.208,103.829,150.208,97.061,97.061,93.449,150.208,97.061,112.576,0.0,36.733,0.0,97.061,89.072,89.072,47.206,97.061,0.0
INST0152_N15_S02_P012,19.629,61.394,21.478,21.478,68.319,36.46,21.478,5.477,68.319,0.0,36.46,61.394,36.46,55.179,36.46,55.179,0.0,0.0,68.319,55.179,0.0,21.478,97.061,61.394,97.061,0.0,10.881,10.881,50.526,0.0,97.061
INST0152_N15_S02_D012,25.439,54.565,32.298,32.298,58.699,44.339,32.298,7.008,58.699,10.881,44.339,54.565,44.339,65.452,44.339,65.452,10.881,10.881,58.699,65.452,10.881,32.298,89.072,54.565,89.072,10.881,0.0,0.0,43.838,10.881,89.072
INST0152_N15_S02_P013,25.439,54.565,32.298,32.298,58.699,44.339,32.298,7.008,58.699,10.881,44.339,54.565,44.339,65.452,44.339,65.452,10.881,10.881,58.699,65.452,10.881,32.298,89.072,54.565,89.072,10.881,0.0,0.0,43.838,10.881,89.072
INST0152_N15_S02_D013,45.002,10.867,65.388,65.388,71.865,59.003,65.388,49.927,71.865,50.526,59.003,10.867,59.003,103.002,59.003,103.002,50.526,50.526,71.865,103.002,50.526,65.388,47.206,10.867,47.206,50.526,43.838,43.838,0.0,50.526,47.206
INST0152_N15_S02_P014,19.629,61.394,21.478,21.478,68.319,36.46,21.478,5.477,68.319,0.0,36.46,61.394,36.46,55.179,36.46,55.179,0.0,0.0,68.319,55.179,0.0,21.478,97.061,61.394,97.061,0.0,10.881,10.881,50.526,0.0,97.061
INST0152_N15_S02_D014,91.902,36.733,112.576,112.576,93.449,103.829,112.576,95.708,93.449,97.061,103.829,36.733,103.829,150.208,103.829,150.208,97.061,97.061,93.449,150.208,97.061,112.576,0.0,36.733,0.0,97.061,89.072,89.072,47.206,97.061,0.0
