,depot,INST0136_N12_W16_P000,INST0136_N12_W16_D000,INST0136_N12_W16_P001,INST0136_N12_W16_D001,INST0136_N12_W16_P002,INST0136_N12_W16_D002,INST0136_N12_W16_P003,INST0136_N12_W16_D003,INST0136_N12_W16_P004,INST0136_N12_W16_D004,INST0136_N12_W16_P005,INST0136_N12_W16_D005,INST0136_N12_W16_P006,INST0136_N12_W16_D006,INST0136_N12_W16_P007,INST0136_N12_W16_D007,INST0136_N12_W16_P008,INST0136_N12_W16_D008,INST0136_N12_W16_P009,INST0136_N12_W16_D009,INST0136_N12_W16_P010,INST0136_N12_W16_D010,INST0136_N12_W16_P011,INST0136_N12_W16_D011
INST0136_N12_W16_P005,14.077,19.054,104.062,19.054,50.28,19.054,0.0,16.791,133.597,29.954,133.597,0.0,19.054,29.954,19.054,16.791,50.28,16.791,104.062,46.592,90.122,19.054,104.062,0.0,90.122
INST0136_N12_W16_D005,18.744,0.0,123.055,0.0,69.129,0.0,19.054,16.35,137.675,28.769,137.675,19.054,0.0,28.769,0.0,16.35,69.129,16.35,123.055,52.507,109.164,0.0,123.055,19.054,109.164
INST0136_N12_W16_P006,41.092,28.769,120.757,28.769,70.903,28.769,29.954,14.239,108.909,0.0,108.909,29.954,28.769,0.0,28.769,14.239,70.903,14.239,120.757,75.918,106.091,28.769,120.757,29.954,106.091
INST0136_N12_W16_D006,18.744,0.0,123.055,0.0,69.129,0.0,19.054,16.35,137.675,28.769,137.675,19.054,0.0,28.769,0.0,16.35,69.129,16.35,123.055,52.507,109.164,0.0,123.055,19.054,109.164
INST0136_N12_W16_P007,26.872,16.35,115.807,16.35,63.444,16.35,16.791,0.0,122.204,14.239,122.204,16.791,16.35,14.239,16.35,0.0,63.444,0.0,115.807,61.821,101.402,16.35,115.807,16.791,101.402
INST0136_N12_W16_D007,55.217,69.129,54.132,69.129,0.0,69.129,50.28,63.444,143.94,70.903,143.94,50.28,69.129,70.903,69.129,63.444,0.0,63.444,54.132,57.646,40.846,69.129,54.132,50.28,40.846
INST0136_N12_W16_P008,26.872,16.35,115.807,16.35,63.444,16.35,16.791,0.0,122.204,14.239,122.204,16.791,16.35,14.239,16.35,0.0,63.444,0.0,115.807,61.821,101.402,16.35,115.807,16.791,101.402
INST0136_N12_W16_D008,109.245,123.055,0.0,123.055,54.132,123.055,104.062,115.807,164.396,120.757,164.396,104.062,123.055,120.757,123.055,115.807,54.132,115.807,0.0,104.634,14.722,123.055,0.0,104.062,14.722
INST0136_N12_W16_P009,35.155,52.507,104.634,52.507,57.646,52.507,46.592,61.821,178.909,75.918,178.909,46.592,52.507,75.918,52.507,61.821,57.646,61.821,104.634,0.0,94.442,52.507,104.634,46.592,94.442
INST0136_N12_W16_D009,96.036,109.164,14.722,109.164,40.846,109.164,90.122,101.402,152.865,106.091,152.865,90.122,109.164,106.091,109.164,101.402,40.846,101.402,14.722,94.442,0.0,109.164,14.722,90.122,0.0
INST0136_N12_W16_P010,18.744,0.0,123.055,0.0,69.129,0.0,19.054,16.35,137.675,28.769,137.675,19.054,0.0,28.769,0.0,16.35,69.129,16.35,123.055,52.507,109.164,0.0,123.055,19.054,109.164
INST0136_N12_W16_D010,109.245,123.055,0.0,123.055,54.132,123.055,104.062,115.807,164.396,120.757,164.396,104.062,123.055,120.757,123.055,115.807,54.132,115.807,0.0,104.634,14.722,123.055,0.0,104.062,14.722
INST0136_N12_W16_P011,14.077,19.054,104.062,19.054,50.28,19.054,0.0,16.791,133.597,29.954,133.597,0.0,19.054,29.954,19.054,16.791,50.28,16.791,104.062,46.592,90.122,19.054,104.062,0.0,90.122
INST0136_N12_W16_D011,96.036,109.164,14.722,109.164,40.846,109.164,90.122,101.402,152.865,106.091,152.865,90.122,109.164,106.091,109.164,101.402,40.846,101.402,14.722,94.442,0.0,109.164,14.722,90.122,0.0
