,depot,INST0160_N15_W10_P000,INST0160_N15_W10_D000,INST0160_N15_W10_P001,INST0160_N15_W10_D001,INST0160_N15_W10_P002,INST0160_N15_W10_D002,INST0160_N15_W10_P003,INST0160_N15_W10_D003,INST0160_N15_W10_P004,INST0160_N15_W10_D004,INST0160_N15_W10_P005,INST0160_N15_W10_D005,INST0160_N15_W10_P006,INST0160_N15_W10_D006,INST0160_N15_W10_P007,INST0160_N15_W10_D007,INST0160_N15_W10_P008,INST0160_N15_W10_D008,INST0160_N15_W10_P009,INST0160_N15_W10_D009,INST0160_N15_W10_P010,INST0160_N15_W10_D010,INST0160_N15_W10_P011,INST0160_N15_W10_D011,INST0160_N15_W10_P012,INST0160_N15_W10_D012,INST0160_N15_W10_P013,INST0160_N15_W10_D013,INST0160_N15_W10_P014,INST0160_N15_W10_D014
INST0160_N15_W10_D006,11.735,27.544,0.0,27.544,11.735,27.544,116.61,58.923,27.544,30.344,27.544,77.525,11.735,30.344,0.0,0.0,16.399,0.0,23.199,64.172,116.61,11.735,116.61,0.0,37.477,64.172,11.735,64.172,130.825,23.199,116.61
INST0160_N15_W10_P007,11.735,27.544,0.0,27.544,11.735,27.544,116.61,58.923,27.544,30.344,27.544,77.525,11.735,30.344,0.0,0.0,16.399,0.0,23.199,64.172,116.61,11.735,116.61,0.0,37.477,64.172,11.735,64.172,130.825,23.199,116.61
INST0160_N15_W10_D007,16.35,16.791,16.399,16.791,16.35,16.791,101.402,43.952,16.791,26.872,16.791,63.444,16.35,26.872,16.399,16.399,0.0,16.399,14.239,61.821,101.402,16.35,101.402,16.399,24.4,61.821,16.35,61.821,115.807,14.239,101.402
INST0160_N15_W10_P008,11.735,27.544,0.0,27.544,11.735,27.544,116.61,58.923,27.544,30.344,27.544,77.525,11.735,30.344,0.0,0.0,16.399,0.0,23.199,64.172,116.61,11.735,116.61,0.0,37.477,64.172,11.735,64.172,130.825,23.199,116.61
INST0160_N15_W10_D008,28.769,29.954,23.199,29.954,28.769,29.954,106.091,50.611,29.954,41.092,29.954,70.903,28.769,41.092,23.199,23.199,14.239,23.199,0.0,75.918,106.091,28.769,106.091,23.199,35.196,75.918,28.769,75.918,120.757,0.0,106.091
INST0160_N15_W10_P009,52.507,46.592,64.172,46.592,52.507,46.592,94.442,55.918,46.592,35.155,46.592,57.646,52.507,35.155,64.172,64.172,61.821,64.172,75.918,0.0,94.442,52.507,94.442,64.172,46.518,0.0,52.507,0.0,104.634,75.918,94.442
INST0160_N15_W10_D009,109.164,90.122,116.61,90.122,109.164,90.122,0.0,57.687,90.122,96.036,90.122,40.846,109.164,96.036,116.61,116.61,101.402,116.61,106.091,94.442,0.0,109.164,0.0,116.61,79.708,94.442,109.164,94.442,14.722,106.091,0.0
INST0160_N15_W10_P010,0.0,19.054,11.735,19.054,0.0,19.054,109.164,51.842,19.054,18.744,19.054,69.129,0.0,18.744,11.735,11.735,16.35,11.735,28.769,52.507,109.164,0.0,109.164,11.735,29.48,52.507,0.0,52.507,123.055,28.769,109.164
INST0160_N15_W10_D010,109.164,90.122,116.61,90.122,109.164,90.122,0.0,57.687,90.122,96.036,90.122,40.846,109.164,96.036,116.61,116.61,101.402,116.61,106.091,94.442,0.0,109.164,0.0,116.61,79.708,94.442,109.164,94.442,14.722,106.091,0.0
INST0160_N15_W10_P011,11.735,27.544,0.0,27.544,11.735,27.544,116.61,58.923,27.544,30.344,27.544,77.525,11.735,30.344,0.0,0.0,16.399,0.0,23.199,64.172,116.61,11.735,116.61,0.0,37.477,64.172,11.735,64.172,130.825,23.199,116.61
INST0160_N15_W10_D011,29.48,10.426,37.477,10.426,29.48,10.426,79.708,22.455,10.426,20.581,10.426,40.063,29.48,20.581,37.477,37.477,24.4,37.477,35.196,46.518,79.708,29.48,79.708,37.477,0.0,46.518,29.48,46.518,93.687,35.196,79.708
INST0160_N15_W10_P012,52.507,46.592,64.172,46.592,52.507,46.592,94.442,55.918,46.592,35.155,46.592,57.646,52.507,35.155,64.172,64.172,61.821,64.172,75.918,0.0,94.442,52.507,94.442,64.172,46.518,0.0,52.507,0.0,104.634,75.918,94.442
INST0160_N15_W10_D012,0.0,19.054,11.735,19.054,0.0,19.054,109.164,51.842,19.054,18.744,19.054,69.129,0.0,18.744,11.735,11.735,16.35,11.735,28.769,52.507,109.164,0.0,109.164,11.735,29.48,52.507,0.0,52.507,123.055,28.769,109.164
INST0160_N15_W10_P013,52.507,46.592,64.172,46.592,52.507,46.592,94.442,55.918,46.592,35.155,46.592,57.646,52.507,35.155,64.172,64.172,61.821,64.172,75.918,0.0,94.442,52.507,94.442,64.172,46.518,0.0,52.507,0.0,104.634,75.918,94.442
INST0160_N15_W10_D013,123.055,104.062,130.825,104.062,123.055,104.062,14.722,71.944,104.062,109.245,104.062,54.132,123.055,109.245,130.825,130.825,115.807,130.825,120.757,104.634,14.722,123.055,14.722,130.825,93.687,104.634,123.055,104.634,0.0,120.757,14.722
INST0160_N15_W10_P014,28.769,29.954,23.199,29.954,28.769,29.954,106.091,50.611,29.954,41.092,29.954,70.903,28.769,41.092,23.199,23.199,14.239,23.199,0.0,75.918,106.091,28.769,106.091,23.199,35.196,75.918,28.769,75.918,120.757,0.0,106.091
INST0160_N15_W10_D014,109.164,90.122,116.61,90.122,109.164,90.122,0.0,57.687,90.122,96.036,90.122,40.846,109.164,96.036,116.61,116.61,101.402,116.61,106.091,94.442,0.0,109.164,0.0,116.61,79.708,94.442,109.164,94.442,14.722,106.091,0.0
