,depot,INST0176_N15_S26_P000,INST0176_N15_S26_D000,INST0176_N15_S26_P001,INST0176_N15_S26_D001,INST0176_N15_S26_P002,INST0176_N15_S26_D002,INST0176_N15_S26_P003,INST0176_N15_S26_D003,INST0176_N15_S26_P004,INST0176_N15_S26_D004,INST0176_N15_S26_P005,INST0176_N15_S26_D005,INST0176_N15_S26_P006,INST0176_N15_S26_D006,INST0176_N15_S26_P007,INST0176_N15_S26_D007,INST0176_N15_S26_P008,INST0176_N15_S26_D008,INST0176_N15_S26_P009,INST0176_N15_S26_D009,INST0176_N15_S26_P010,INST0176_N15_S26_D010,INST0176_N15_S26_P011,INST0176_N15_S26_D011,INST0176_N15_S26_P012,INST0176_N15_S26_D012,INST0176_N15_S26_P013,INST0176_N15_S26_D013,INST0176_N15_S26_P014,INST0176_N15_S26_D014
INST0176_N15_S26_D004,26.505,0.0,41.761,26.505,24.239,58.521,26.505,7.008,95.708,24.239,0.0,26.505,24.239,41.761,58.521,24.239,49.927,24.239,41.761,24.239,58.521,7.008,24.239,60.745,62.898,58.521,0.0,0.0,24.239,24.239,26.505
INST0176_N15_S26_P005,0.0,26.505,24.954,0.0,21.517,37.715,0.0,32.298,112.576,21.517,26.505,0.0,21.517,24.954,37.715,21.517,65.388,21.517,24.954,21.517,37.715,32.298,21.517,75.908,88.975,37.715,26.505,26.505,21.517,21.517,0.0
INST0176_N15_S26_D005,21.517,24.239,19.488,21.517,0.0,59.019,21.517,25.439,91.902,0.0,24.239,21.517,0.0,19.488,59.019,0.0,45.002,0.0,19.488,0.0,59.019,25.439,0.0,55.171,83.416,59.019,24.239,24.239,0.0,0.0,21.517
INST0176_N15_S26_P006,24.954,41.761,0.0,24.954,19.488,54.903,24.954,44.339,103.829,19.488,41.761,24.954,19.488,0.0,54.903,19.488,59.003,19.488,0.0,19.488,54.903,44.339,19.488,67.889,102.776,54.903,41.761,41.761,19.488,19.488,24.954
INST0176_N15_S26_D006,37.715,58.521,54.903,37.715,59.019,0.0,37.715,65.452,150.208,59.019,58.521,37.715,59.019,54.903,0.0,59.019,103.002,59.019,54.903,59.019,0.0,65.452,59.019,113.587,113.511,0.0,58.521,58.521,59.019,59.019,37.715
INST0176_N15_S26_P007,21.517,24.239,19.488,21.517,0.0,59.019,21.517,25.439,91.902,0.0,24.239,21.517,0.0,19.488,59.019,0.0,45.002,0.0,19.488,0.0,59.019,25.439,0.0,55.171,83.416,59.019,24.239,24.239,0.0,0.0,21.517
INST0176_N15_S26_D007,65.388,49.927,59.003,65.388,45.002,103.002,65.388,43.838,47.206,45.002,49.927,65.388,45.002,59.003,103.002,45.002,0.0,45.002,59.003,45.002,103.002,43.838,45.002,10.867,71.865,103.002,49.927,49.927,45.002,45.002,65.388
INST0176_N15_S26_P008,21.517,24.239,19.488,21.517,0.0,59.019,21.517,25.439,91.902,0.0,24.239,21.517,0.0,19.488,59.019,0.0,45.002,0.0,19.488,0.0,59.019,25.439,0.0,55.171,83.416,59.019,24.239,24.239,0.0,0.0,21.517
INST0176_N15_S26_D008,24.954,41.761,0.0,24.954,19.488,54.903,24.954,44.339,103.829,19.488,41.761,24.954,19.488,0.0,54.903,19.488,59.003,19.488,0.0,19.488,54.903,44.339,19.488,67.889,102.776,54.903,41.761,41.761,19.488,19.488,24.954
INST0176_N15_S26_P009,21.517,24.239,19.488,21.517,0.0,59.019,21.517,25.439,91.902,0.0,24.239,21.517,0.0,19.488,59.019,0.0,45.002,0.0,19.488,0.0,59.019,25.439,0.0,55.171,83.416,59.019,24.239,24.239,0.0,0.0,21.517
INST0176_N15_S26_D009,37.715,58.521,54.903,37.715,59.019,0.0,37.715,65.452,150.208,59.019,58.521,37.715,59.019,54.903,0.0,59.019,103.002,59.019,54.903,59.019,0.0,65.452,59.019,113.587,113.511,0.0,58.521,58.521,59.019,59.019,37.715
INST0176_N15_S26_P010,32.298,7.008,44.339,32.298,25.439,65.452,32.298,0.0,89.072,25.439,7.008,32.298,25.439,44.339,65.452,25.439,43.838,25.439,44.339,25.439,65.452,0.0,25.439,54.565,58.699,65.452,7.008,7.008,25.439,25.439,32.298
INST0176_N15_S26_D010,21.517,24.239,19.488,21.517,0.0,59.019,21.517,25.439,91.902,0.0,24.239,21.517,0.0,19.488,59.019,0.0,45.002,0.0,19.488,0.0,59.019,25.439,0.0,55.171,83.416,59.019,24.239,24.239,0.0,0.0,21.517
INST0176_N15_S26_P011,75.908,60.745,67.889,75.908,55.171,113.587,75.908,54.565,36.733,55.171,60.745,75.908,55.171,67.889,113.587,55.171,10.867,55.171,67.889,55.171,113.587,54.565,55.171,0.0,77.092,113.587,60.745,60.745,55.171,55.171,75.908
INST0176_N15_S26_D011,88.975,62.898,102.776,88.975,83.416,113.511,88.975,58.699,93.449,83.416,62.898,88.975,83.416,102.776,113.511,83.416,71.865,83.416,102.776,83.416,113.511,58.699,83.416,77.092,0.0,113.511,62.898,62.898,83.416,83.416,88.975
INST0176_N15_S26_P012,37.715,58.521,54.903,37.715,59.019,0.0,37.715,65.452,150.208,59.019,58.521,37.715,59.019,54.903,0.0,59.019,103.002,59.019,54.903,59.019,0.0,65.452,59.019,113.587,113.511,0.0,58.521,58.521,59.019,59.019,37.715
INST0176_N15_S26_D012,26.505,0.0,41.761,26.505,24.239,58.521,26.505,7.008,95.708,24.239,0.0,26.505,24.239,41.761,58.521,24.239,49.927,24.239,41.761,24.239,58.521,7.008,24.239,60.745,62.898,58.521,0.0,0.0,24.239,24.239,26.505
INST0176_N15_S26_P013,26.505,0.0,41.761,26.505,24.239,58.521,26.505,7.008,95.708,24.239,0.0,26.505,24.239,41.761,58.521,24.239,49.927,24.239,41.761,24.239,58.521,7.008,24.239,60.745,62.898,58.521,0.0,0.0,24.239,24.239,26.505
INST0176_N15_S26_D013,21.517,24.239,19.488,21.517,0.0,59.019,21.517,25.439,91.902,0.0,24.239,21.517,0.0,19.488,59.019,0.0,45.002,0.0,19.488,0.0,59.019,25.439,0.0,55.171,83.416,59.019,24.239,24.239,0.0,0.0,21.517
INST0176_N15_S26_P014,21.517,24.239,19.488,21.517,0.0,59.019,21.517,25.439,91.902,0.0,24.239,21.517,0.0,19.488,59.019,0.0,45.002,0.0,19.488,0.0,59.019,25.439,0.0,55.171,83.416,59.019,24.239,24.239,0.0,0.0,21.517
INST0176_N15_S26_D014,0.0,26.505,24.954,0.0,21.517,37.715,0.0,32.298,112.576,21.517,26.505,0.0,21.517,24.954,37.715,21.517,65.388,21.517,24.954,21.517,37.715,32.298,21.517,75.908,88.975,37.715,26.505,26.505,21.517,21.517,0.0
