,depot,INST0167_N15_S17_P000,INST0167_N15_S17_D000,INST0167_N15_S17_P001,INST0167_N15_S17_D001,INST0167_N15_S17_P002,INST0167_N15_S17_D002,INST0167_N15_S17_P003,INST0167_N15_S17_D003,INST0167_N15_S17_P004,INST0167_N15_S17_D004,INST0167_N15_S17_P005,INST0167_N15_S17_D005,INST0167_N15_S17_P006,INST0167_N15_S17_D006,INST0167_N15_S17_P007,INST0167_N15_S17_D007,INST0167_N15_S17_P008,INST0167_N15_S17_D008,INST0167_N15_S17_P009,INST0167_N15_S17_D009,INST0167_N15_S17_P010,INST0167_N15_S17_D010,INST0167_N15_S17_P011,INST0167_N15_S17_D011,INST0167_N15_S17_P012,INST0167_N15_S17_D012,INST0167_N15_S17_P013,INST0167_N15_S17_D013,INST0167_N15_S17_P014,INST0167_N15_S17_D014
INST0167_N15_S17_D007,24.239,5.477,49.927,5.477,26.505,41.761,5.477,49.927,26.505,24.239,49.927,58.521,41.761,5.477,24.239,60.745,0.0,49.927,62.898,7.008,129.526,7.008,5.477,0.0,62.898,49.927,41.761,60.745,49.927,41.761,26.505
INST0167_N15_S17_P008,45.002,50.526,0.0,50.526,65.388,59.003,50.526,0.0,65.388,45.002,0.0,103.002,59.003,50.526,45.002,10.867,49.927,0.0,71.865,43.838,80.368,43.838,50.526,49.927,71.865,0.0,59.003,10.867,0.0,59.003,65.388
INST0167_N15_S17_D008,83.416,68.319,71.865,68.319,88.975,102.776,68.319,71.865,88.975,83.416,71.865,113.511,102.776,68.319,83.416,77.092,62.898,71.865,0.0,58.699,123.443,58.699,68.319,62.898,0.0,71.865,102.776,77.092,71.865,102.776,88.975
INST0167_N15_S17_P009,25.439,10.881,43.838,10.881,32.298,44.339,10.881,43.838,32.298,25.439,43.838,65.452,44.339,10.881,25.439,54.565,7.008,43.838,58.699,0.0,122.952,0.0,10.881,7.008,58.699,43.838,44.339,54.565,43.838,44.339,32.298
INST0167_N15_S17_D009,124.222,130.689,80.368,130.689,145.321,134.327,130.689,80.368,145.321,124.222,80.368,183.035,134.327,130.689,124.222,69.589,129.526,80.368,123.443,122.952,0.0,122.952,130.689,129.526,123.443,80.368,134.327,69.589,80.368,134.327,145.321
INST0167_N15_S17_P010,25.439,10.881,43.838,10.881,32.298,44.339,10.881,43.838,32.298,25.439,43.838,65.452,44.339,10.881,25.439,54.565,7.008,43.838,58.699,0.0,122.952,0.0,10.881,7.008,58.699,43.838,44.339,54.565,43.838,44.339,32.298
INST0167_N15_S17_D010,19.629,0.0,50.526,0.0,21.478,36.46,0.0,50.526,21.478,19.629,50.526,55.179,36.46,0.0,19.629,61.394,5.477,50.526,68.319,10.881,130.689,10.881,0.0,5.477,68.319,50.526,36.46,61.394,50.526,36.46,21.478
INST0167_N15_S17_P011,24.239,5.477,49.927,5.477,26.505,41.761,5.477,49.927,26.505,24.239,49.927,58.521,41.761,5.477,24.239,60.745,0.0,49.927,62.898,7.008,129.526,7.008,5.477,0.0,62.898,49.927,41.761,60.745,49.927,41.761,26.505
INST0167_N15_S17_D011,83.416,68.319,71.865,68.319,88.975,102.776,68.319,71.865,88.975,83.416,71.865,113.511,102.776,68.319,83.416,77.092,62.898,71.865,0.0,58.699,123.443,58.699,68.319,62.898,0.0,71.865,102.776,77.092,71.865,102.776,88.975
INST0167_N15_S17_P012,45.002,50.526,0.0,50.526,65.388,59.003,50.526,0.0,65.388,45.002,0.0,103.002,59.003,50.526,45.002,10.867,49.927,0.0,71.865,43.838,80.368,43.838,50.526,49.927,71.865,0.0,59.003,10.867,0.0,59.003,65.388
INST0167_N15_S17_D012,19.488,36.46,59.003,36.46,24.954,0.0,36.46,59.003,24.954,19.488,59.003,54.903,0.0,36.46,19.488,67.889,41.761,59.003,102.776,44.339,134.327,44.339,36.46,41.761,102.776,59.003,0.0,67.889,59.003,0.0,24.954
INST0167_N15_S17_P013,55.171,61.394,10.867,61.394,75.908,67.889,61.394,10.867,75.908,55.171,10.867,113.587,67.889,61.394,55.171,0.0,60.745,10.867,77.092,54.565,69.589,54.565,61.394,60.745,77.092,10.867,67.889,0.0,10.867,67.889,75.908
INST0167_N15_S17_D013,45.002,50.526,0.0,50.526,65.388,59.003,50.526,0.0,65.388,45.002,0.0,103.002,59.003,50.526,45.002,10.867,49.927,0.0,71.865,43.838,80.368,43.838,50.526,49.927,71.865,0.0,59.003,10.867,0.0,59.003,65.388
INST0167_N15_S17_P014,19.488,36.46,59.003,36.46,24.954,0.0,36.46,59.003,24.954,19.488,59.003,54.903,0.0,36.46,19.488,67.889,41.761,59.003,102.776,44.339,134.327,44.339,36.46,41.761,102.776,59.003,0.0,67.889,59.003,0.0,24.954
INST0167_N15_S17_D014,21.517,21.478,65.388,21.478,0.0,24.954,21.478,65.388,0.0,21.517,65.388,37.715,24.954,21.478,21.517,75.908,26.505,65.388,88.975,32.298,145.321,32.298,21.478,26.505,88.975,65.388,24.954,75.908,65.388,24.954,0.0
