,depot,INST0151_N15_W01_P000,INST0151_N15_W01_D000,INST0151_N15_W01_P001,INST0151_N15_W01_D001,INST0151_N15_W01_P002,INST0151_N15_W01_D002,INST0151_N15_W01_P003,INST0151_N15_W01_D003,INST0151_N15_W01_P004,INST0151_N15_W01_D004,INST0151_N15_W01_P005,INST0151_N15_W01_D005,INST0151_N15_W01_P006,INST0151_N15_W01_D006,INST0151_N15_W01_P007,INST0151_N15_W01_D007,INST0151_N15_W01_P008,INST0151_N15_W01_D008,INST0151_N15_W01_P009,INST0151_N15_W01_D009,INST0151_N15_W01_P010,INST0151_N15_W01_D010,INST0151_N15_W01_P011,INST0151_N15_W01_D011,INST0151_N15_W01_P012,INST0151_N15_W01_D012,INST0151_N15_W01_P013,INST0151_N15_W01_D013,INST0151_N15_W01_P014,INST0151_N15_W01_D014
INST0151_N15_W01_D004,25.201,36.098,49.056,29.878,49.056,56.961,29.878,12.767,97.602,43.098,0.0,56.961,114.719,36.098,29.878,43.098,97.602,43.098,29.878,29.878,43.098,29.878,162.13,25.201,36.098,12.767,45.89,12.767,114.719,0.0,45.89
INST0151_N15_W01_P005,43.046,64.294,70.587,75.699,70.587,0.0,75.699,57.051,115.643,92.961,56.961,0.0,128.123,64.294,75.699,92.961,115.643,92.961,75.699,75.699,92.961,75.699,219.073,43.046,64.294,57.051,78.578,57.051,128.123,56.961,78.578
INST0151_N15_W01_D005,133.769,150.679,66.284,141.804,66.284,128.123,141.804,127.423,18.026,147.866,114.719,128.123,0.0,150.679,141.804,147.866,18.026,147.866,141.804,141.804,147.866,141.804,201.301,133.769,150.679,127.423,160.194,127.423,0.0,114.719,160.194
INST0151_N15_W01_P006,22.951,0.0,84.648,20.02,84.648,64.294,20.02,23.331,133.671,35.228,36.098,64.294,150.679,0.0,20.02,35.228,133.671,35.228,20.02,20.02,35.228,20.02,168.582,22.951,0.0,23.331,14.369,23.331,150.679,36.098,14.369
INST0151_N15_W01_D006,32.905,20.02,77.687,0.0,77.687,75.699,0.0,20.56,124.166,17.435,29.878,75.699,141.804,20.02,0.0,17.435,124.166,17.435,0.0,0.0,17.435,0.0,149.638,32.905,20.02,20.56,20.081,20.56,141.804,29.878,20.081
INST0151_N15_W01_P007,50.317,35.228,86.82,17.435,86.82,92.961,17.435,36.679,129.907,0.0,43.098,92.961,147.866,35.228,17.435,0.0,129.907,0.0,17.435,17.435,0.0,17.435,133.358,50.317,35.228,36.679,28.407,36.679,147.866,43.098,28.407
INST0151_N15_W01_D007,117.595,133.671,50.015,124.166,50.015,115.643,124.166,110.354,0.0,129.907,97.602,115.643,18.026,133.671,124.166,129.907,0.0,129.907,124.166,124.166,129.907,124.166,187.182,117.595,133.671,110.354,142.787,110.354,18.026,97.602,142.787
INST0151_N15_W01_P008,50.317,35.228,86.82,17.435,86.82,92.961,17.435,36.679,129.907,0.0,43.098,92.961,147.866,35.228,17.435,0.0,129.907,0.0,17.435,17.435,0.0,17.435,133.358,50.317,35.228,36.679,28.407,36.679,147.866,43.098,28.407
INST0151_N15_W01_D008,32.905,20.02,77.687,0.0,77.687,75.699,0.0,20.56,124.166,17.435,29.878,75.699,141.804,20.02,0.0,17.435,124.166,17.435,0.0,0.0,17.435,0.0,149.638,32.905,20.02,20.56,20.081,20.56,141.804,29.878,20.081
INST0151_N15_W01_P009,32.905,20.02,77.687,0.0,77.687,75.699,0.0,20.56,124.166,17.435,29.878,75.699,141.804,20.02,0.0,17.435,124.166,17.435,0.0,0.0,17.435,0.0,149.638,32.905,20.02,20.56,20.081,20.56,141.804,29.878,20.081
INST0151_N15_W01_D009,50.317,35.228,86.82,17.435,86.82,92.961,17.435,36.679,129.907,0.0,43.098,92.961,147.866,35.228,17.435,0.0,129.907,0.0,17.435,17.435,0.0,17.435,133.358,50.317,35.228,36.679,28.407,36.679,147.866,43.098,28.407
INST0151_N15_W01_P010,32.905,20.02,77.687,0.0,77.687,75.699,0.0,20.56,124.166,17.435,29.878,75.699,141.804,20.02,0.0,17.435,124.166,17.435,0.0,0.0,17.435,0.0,149.638,32.905,20.02,20.56,20.081,20.56,141.804,29.878,20.081
INST0151_N15_W01_D010,180.319,168.582,176.253,149.638,176.253,219.073,149.638,163.588,187.182,133.358,162.13,219.073,201.301,168.582,149.638,133.358,187.182,133.358,149.638,149.638,133.358,149.638,0.0,180.319,168.582,163.588,160.03,163.588,201.301,162.13,160.03
INST0151_N15_W01_P011,0.0,22.951,67.612,32.905,67.612,43.046,32.905,17.238,117.595,50.317,25.201,43.046,133.769,22.951,32.905,50.317,117.595,50.317,32.905,32.905,50.317,32.905,180.319,0.0,22.951,17.238,37.156,17.238,133.769,25.201,37.156
INST0151_N15_W01_D011,22.951,0.0,84.648,20.02,84.648,64.294,20.02,23.331,133.671,35.228,36.098,64.294,150.679,0.0,20.02,35.228,133.671,35.228,20.02,20.02,35.228,20.02,168.582,22.951,0.0,23.331,14.369,23.331,150.679,36.098,14.369
INST0151_N15_W01_P012,17.238,23.331,61.567,20.56,61.567,57.051,20.56,0.0,110.354,36.679,12.767,57.051,127.423,23.331,20.56,36.679,110.354,36.679,20.56,20.56,36.679,20.56,163.588,17.238,23.331,0.0,33.728,0.0,127.423,12.767,33.728
INST0151_N15_W01_D012,37.156,14.369,94.929,20.081,94.929,78.578,20.081,33.728,142.787,28.407,45.89,78.578,160.194,14.369,20.081,28.407,142.787,28.407,20.081,20.081,28.407,20.081,160.03,37.156,14.369,33.728,0.0,33.728,160.194,45.89,0.0
INST0151_N15_W01_P013,17.238,23.331,61.567,20.56,61.567,57.051,20.56,0.0,110.354,36.679,12.767,57.051,127.423,23.331,20.56,36.679,110.354,36.679,20.56,20.56,36.679,20.56,163.588,17.238,23.331,0.0,33.728,0.0,127.423,12.767,33.728
INST0151_N15_W01_D013,133.769,150.679,66.284,141.804,66.284,128.123,141.804,127.423,18.026,147.866,114.719,128.123,0.0,150.679,141.804,147.866,18.026,147.866,141.804,141.804,147.866,141.804,201.301,133.769,150.679,127.423,160.194,127.423,0.0,114.719,160.194
INST0151_N15_W01_P014,25.201,36.098,49.056,29.878,49.056,56.961,29.878,12.767,97.602,43.098,0.0,56.961,114.719,36.098,29.878,43.098,97.602,43.098,29.878,29.878,43.098,29.878,162.13,25.201,36.098,12.767,45.89,12.767,114.719,0.0,45.89
INST0151_N15_W01_D014,37.156,14.369,94.929,20.081,94.929,78.578,20.081,33.728,142.787,28.407,45.89,78.578,160.194,14.369,20.081,28.407,142.787,28.407,20.081,20.081,28.407,20.081,160.03,37.156,14.369,33.728,0.0,33.728,160.194,45.89,0.0
