,depot,INST0220_N20_W10_P000,INST0220_N20_W10_D000,INST0220_N20_W10_P001,INST0220_N20_W10_D001,INST0220_N20_W10_P002,INST0220_N20_W10_D002,INST0220_N20_W10_P003,INST0220_N20_W10_D003,INST0220_N20_W10_P004,INST0220_N20_W10_D004,INST0220_N20_W10_P005,INST0220_N20_W10_D005,INST0220_N20_W10_P006,INST0220_N20_W10_D006,INST0220_N20_W10_P007,INST0220_N20_W10_D007,INST0220_N20_W10_P008,INST0220_N20_W10_D008,INST0220_N20_W10_P009,INST0220_N20_W10_D009,INST0220_N20_W10_P010,INST0220_N20_W10_D010,INST0220_N20_W10_P011,INST0220_N20_W10_D011,INST0220_N20_W10_P012,INST0220_N20_W10_D012,INST0220_N20_W10_P013,INST0220_N20_W10_D013,INST0220_N20_W10_P014,INST0220_N20_W10_D014,INST0220_N20_W10_P015,INST0220_N20_W10_D015,INST0220_N20_W10_P016,INST0220_N20_W10_D016,INST0220_N20_W10_P017,INST0220_N20_W10_D017,INST0220_N20_W10_P018,INST0220_N20_W10_D018,INST0220_N20_W10_P019,INST0220_N20_W10_D019
INST0220_N20_W10_D004,16.35,26.872,14.239,61.821,115.807,0.0,63.444,26.872,0.0,63.444,0.0,63.444,24.4,16.399,0.0,16.35,24.4,24.4,16.399,16.791,0.0,16.791,101.402,61.821,26.872,24.4,16.35,61.821,26.872,26.872,43.952,0.0,61.821,0.0,24.4,16.791,0.0,63.444,16.399,24.4,63.444
INST0220_N20_W10_P005,69.129,55.217,70.903,57.646,54.132,63.444,0.0,55.217,63.444,0.0,63.444,0.0,40.063,77.525,63.444,69.129,40.063,40.063,77.525,50.28,63.444,50.28,40.846,57.646,55.217,40.063,69.129,57.646,55.217,55.217,20.342,63.444,57.646,63.444,40.063,50.28,63.444,0.0,77.525,40.063,0.0
INST0220_N20_W10_D005,29.48,20.581,35.196,46.518,93.687,24.4,40.063,20.581,24.4,40.063,24.4,40.063,0.0,37.477,24.4,29.48,0.0,0.0,37.477,10.426,24.4,10.426,79.708,46.518,20.581,0.0,29.48,46.518,20.581,20.581,22.455,24.4,46.518,24.4,0.0,10.426,24.4,40.063,37.477,0.0,40.063
INST0220_N20_W10_P006,11.735,30.344,23.199,64.172,130.825,16.399,77.525,30.344,16.399,77.525,16.399,77.525,37.477,0.0,16.399,11.735,37.477,37.477,0.0,27.544,16.399,27.544,116.61,64.172,30.344,37.477,11.735,64.172,30.344,30.344,58.923,16.399,64.172,16.399,37.477,27.544,16.399,77.525,0.0,37.477,77.525
INST0220_N20_W10_D006,16.35,26.872,14.239,61.821,115.807,0.0,63.444,26.872,0.0,63.444,0.0,63.444,24.4,16.399,0.0,16.35,24.4,24.4,16.399,16.791,0.0,16.791,101.402,61.821,26.872,24.4,16.35,61.821,26.872,26.872,43.952,0.0,61.821,0.0,24.4,16.791,0.0,63.444,16.399,24.4,63.444
INST0220_N20_W10_P007,0.0,18.744,28.769,52.507,123.055,16.35,69.129,18.744,16.35,69.129,16.35,69.129,29.48,11.735,16.35,0.0,29.48,29.48,11.735,19.054,16.35,19.054,109.164,52.507,18.744,29.48,0.0,52.507,18.744,18.744,51.842,16.35,52.507,16.35,29.48,19.054,16.35,69.129,11.735,29.48,69.129
INST0220_N20_W10_D007,29.48,20.581,35.196,46.518,93.687,24.4,40.063,20.581,24.4,40.063,24.4,40.063,0.0,37.477,24.4,29.48,0.0,0.0,37.477,10.426,24.4,10.426,79.708,46.518,20.581,0.0,29.48,46.518,20.581,20.581,22.455,24.4,46.518,24.4,0.0,10.426,24.4,40.063,37.477,0.0,40.063
INST0220_N20_W10_P008,29.48,20.581,35.196,46.518,93.687,24.4,40.063,20.581,24.4,40.063,24.4,40.063,0.0,37.477,24.4,29.48,0.0,0.0,37.477,10.426,24.4,10.426,79.708,46.518,20.581,0.0,29.48,46.518,20.581,20.581,22.455,24.4,46.518,24.4,0.0,10.426,24.4,40.063,37.477,0.0,40.063
INST0220_N20_W10_D008,11.735,30.344,23.199,64.172,130.825,16.399,77.525,30.344,16.399,77.525,16.399,77.525,37.477,0.0,16.399,11.735,37.477,37.477,0.0,27.544,16.399,27.544,116.61,64.172,30.344,37.477,11.735,64.172,30.344,30.344,58.923,16.399,64.172,16.399,37.477,27.544,16.399,77.525,0.0,37.477,77.525
INST0220_N20_W10_P009,19.054,14.077,29.954,46.592,104.062,16.791,50.28,14.077,16.791,50.28,16.791,50.28,10.426,27.544,16.791,19.054,10.426,10.426,27.544,0.0,16.791,0.0,90.122,46.592,14.077,10.426,19.054,46.592,14.077,14.077,32.833,16.791,46.592,16.791,10.426,0.0,16.791,50.28,27.544,10.426,50.28
INST0220_N20_W10_D009,16.35,26.872,14.239,61.821,115.807,0.0,63.444,26.872,0.0,63.444,0.0,63.444,24.4,16.399,0.0,16.35,24.4,24.4,16.399,16.791,0.0,16.791,101.402,61.821,26.872,24.4,16.35,61.821,26.872,26.872,43.952,0.0,61.821,0.0,24.4,16.791,0.0,63.444,16.399,24.4,63.444
INST0220_N20_W10_P010,19.054,14.077,29.954,46.592,104.062,16.791,50.28,14.077,16.791,50.28,16.791,50.28,10.426,27.544,16.791,19.054,10.426,10.426,27.544,0.0,16.791,0.0,90.122,46.592,14.077,10.426,19.054,46.592,14.077,14.077,32.833,16.791,46.592,16.791,10.426,0.0,16.791,50.28,27.544,10.426,50.28
INST0220_N20_W10_D010,109.164,96.036,106.091,94.442,14.722,101.402,40.846,96.036,101.402,40.846,101.402,40.846,79.708,116.61,101.402,109.164,79.708,79.708,116.61,90.122,101.402,90.122,0.0,94.442,96.036,79.708,109.164,94.442,96.036,96.036,57.687,101.402,94.442,101.402,79.708,90.122,101.402,40.846,116.61,79.708,40.846
INST0220_N20_W10_P011,52.507,35.155,75.918,0.0,104.634,61.821,57.646,35.155,61.821,57.646,61.821,57.646,46.518,64.172,61.821,52.507,46.518,46.518,64.172,46.592,61.821,46.592,94.442,0.0,35.155,46.518,52.507,0.0,35.155,35.155,55.918,61.821,0.0,61.821,46.518,46.592,61.821,57.646,64.172,46.518,57.646
INST0220_N20_W10_D011,18.744,0.0,41.092,35.155,109.245,26.872,55.217,0.0,26.872,55.217,26.872,55.217,20.581,30.344,26.872,18.744,20.581,20.581,30.344,14.077,26.872,14.077,96.036,35.155,0.0,20.581,18.744,35.155,0.0,0.0,41.349,26.872,35.155,26.872,20.581,14.077,26.872,55.217,30.344,20.581,55.217
INST0220_N20_W10_P012,29.48,20.581,35.196,46.518,93.687,24.4,40.063,20.581,24.4,40.063,24.4,40.063,0.0,37.477,24.4,29.48,0.0,0.0,37.477,10.426,24.4,10.426,79.708,46.518,20.581,0.0,29.48,46.518,20.581,20.581,22.455,24.4,46.518,24.4,0.0,10.426,24.4,40.063,37.477,0.0,40.063
INST0220_N20_W10_D012,0.0,18.744,28.769,52.507,123.055,16.35,69.129,18.744,16.35,69.129,16.35,69.129,29.48,11.735,16.35,0.0,29.48,29.48,11.735,19.054,16.35,19.054,109.164,52.507,18.744,29.48,0.0,52.507,18.744,18.744,51.842,16.35,52.507,16.35,29.48,19.054,16.35,69.129,11.735,29.48,69.129
INST0220_N20_W10_P013,52.507,35.155,75.918,0.0,104.634,61.821,57.646,35.155,61.821,57.646,61.821,57.646,46.518,64.172,61.821,52.507,46.518,46.518,64.172,46.592,61.821,46.592,94.442,0.0,35.155,46.518,52.507,0.0,35.155,35.155,55.918,61.821,0.0,61.821,46.518,46.592,61.821,57.646,64.172,46.518,57.646
INST0220_N20_W10_D013,18.744,0.0,41.092,35.155,109.245,26.872,55.217,0.0,26.872,55.217,26.872,55.217,20.581,30.344,26.872,18.744,20.581,20.581,30.344,14.077,26.872,14.077,96.036,35.155,0.0,20.581,18.744,35.155,0.0,0.0,41.349,26.872,35.155,26.872,20.581,14.077,26.872,55.217,30.344,20.581,55.217
INST0220_N20_W10_P014,18.744,0.0,41.092,35.155,109.245,26.872,55.217,0.0,26.872,55.217,26.872,55.217,20.581,30.344,26.872,18.744,20.581,20.581,30.344,14.077,26.872,14.077,96.036,35.155,0.0,20.581,18.744,35.155,0.0,0.0,41.349,26.872,35.155,26.872,20.581,14.077,26.872,55.217,30.344,20.581,55.217
INST0220_N20_W10_D014,51.842,41.349,50.611,55.918,71.944,43.952,20.342,41.349,43.952,20.342,43.952,20.342,22.455,58.923,43.952,51.842,22.455,22.455,58.923,32.833,43.952,32.833,57.687,55.918,41.349,22.455,51.842,55.918,41.349,41.349,0.0,43.952,55.918,43.952,22.455,32.833,43.952,20.342,58.923,22.455,20.342
INST0220_N20_W10_P015,16.35,26.872,14.239,61.821,115.807,0.0,63.444,26.872,0.0,63.444,0.0,63.444,24.4,16.399,0.0,16.35,24.4,24.4,16.399,16.791,0.0,16.791,101.402,61.821,26.872,24.4,16.35,61.821,26.872,26.872,43.952,0.0,61.821,0.0,24.4,16.791,0.0,63.444,16.399,24.4,63.444
INST0220_N20_W10_D015,52.507,35.155,75.918,0.0,104.634,61.821,57.646,35.155,61.821,57.646,61.821,57.646,46.518,64.172,61.821,52.507,46.518,46.518,64.172,46.592,61.821,46.592,94.442,0.0,35.155,46.518,52.507,0.0,35.155,35.155,55.918,61.821,0.0,61.821,46.518,46.592,61.821,57.646,64.172,46.518,57.646
INST0220_N20_W10_P016,16.35,26.872,14.239,61.821,115.807,0.0,63.444,26.872,0.0,63.444,0.0,63.444,24.4,16.399,0.0,16.35,24.4,24.4,16.399,16.791,0.0,16.791,101.402,61.821,26.872,24.4,16.35,61.821,26.872,26.872,43.952,0.0,61.821,0.0,24.4,16.791,0.0,63.444,16.399,24.4,63.444
INST0220_N20_W10_D016,29.48,20.581,35.196,46.518,93.687,24.4,40.063,20.581,24.4,40.063,24.4,40.063,0.0,37.477,24.4,29.48,0.0,0.0,37.477,10.426,24.4,10.426,79.708,46.518,20.581,0.0,29.48,46.518,20.581,20.581,22.455,24.4,46.518,24.4,0.0,10.426,24.4,40.063,37.477,0.0,40.063
INST0220_N20_W10_P017,19.054,14.077,29.954,46.592,104.062,16.791,50.28,14.077,16.791,50.28,16.791,50.28,10.426,27.544,16.791,19.054,10.426,10.426,27.544,0.0,16.791,0.0,90.122,46.592,14.077,10.426,19.054,46.592,14.077,14.077,32.833,16.791,46.592,16.791,10.426,0.0,16.791,50.28,27.544,10.426,50.28
INST0220_N20_W10_D017,16.35,26.872,14.239,61.821,115.807,0.0,63.444,26.872,0.0,63.444,0.0,63.444,24.4,16.399,0.0,16.35,24.4,24.4,16.399,16.791,0.0,16.791,101.402,61.821,26.872,24.4,16.35,61.821,26.872,26.872,43.952,0.0,61.821,0.0,24.4,16.791,0.0,63.444,16.399,24.4,63.444
INST0220_N20_W10_P018,69.129,55.217,70.903,57.646,54.132,63.444,0.0,55.217,63.444,0.0,63.444,0.0,40.063,77.525,63.444,69.129,40.063,40.063,77.525,50.28,63.444,50.28,40.846,57.646,55.217,40.063,69.129,57.646,55.217,55.217,20.342,63.444,57.646,63.444,40.063,50.28,63.444,0.0,77.525,40.063,0.0
INST0220_N20_W10_D018,11.735,30.344,23.199,64.172,130.825,16.399,77.525,30.344,16.399,77.525,16.399,77.525,37.477,0.0,16.399,11.735,37.477,37.477,0.0,27.544,16.399,27.544,116.61,64.172,30.344,37.477,11.735,64.172,30.344,30.344,58.923,16.399,64.172,16.399,37.477,27.544,16.399,77.525,0.0,37.477,77.525
INST0220_N20_W10_P019,29.48,20.581,35.196,46.518,93.687,24.4,40.063,20.581,24.4,40.063,24.4,40.063,0.0,37.477,24.4,29.48,0.0,0.0,37.477,10.426,24.4,10.426,79.708,46.518,20.581,0.0,29.48,46.518,20.581,20.581,22.455,24.4,46.518,24.4,0.0,10.426,24.4,40.063,37.477,0.0,40.063
INST0220_N20_W10_D019,69.129,55.217,70.903,57.646,54.132,63.444,0.0,55.217,63.444,0.0,63.444,0.0,40.063,77.525,63.444,69.129,40.063,40.063,77.525,50.28,63.444,50.28,40.846,57.646,55.217,40.063,69.129,57.646,55.217,55.217,20.342,63.444,57.646,63.444,40.063,50.28,63.444,0.0,77.525,40.063,0.0
