,depot,INST0132_N12_N12_P000,INST0132_N12_N12_D000,INST0132_N12_N12_P001,INST0132_N12_N12_D001,INST0132_N12_N12_P002,INST0132_N12_N12_D002,INST0132_N12_N12_P003,INST0132_N12_N12_D003,INST0132_N12_N12_P004,INST0132_N12_N12_D004,INST0132_N12_N12_P005,INST0132_N12_N12_D005,INST0132_N12_N12_P006,INST0132_N12_N12_D006,INST0132_N12_N12_P007,INST0132_N12_N12_D007,INST0132_N12_N12_P008,INST0132_N12_N12_D008,INST0132_N12_N12_P009,INST0132_N12_N12_D009,INST0132_N12_N12_P010,INST0132_N12_N12_D010,INST0132_N12_N12_P011,INST0132_N12_N12_D011
INST0132_N12_N12_D004,131.141,100.108,0.0,127.166,0.0,145.998,127.166,165.945,187.822,125.319,0.0,127.166,100.108,145.919,165.945,165.945,134.365,145.998,222.229,134.365,252.84,145.919,222.229,131.141,127.166
INST0132_N12_N12_P005,18.283,27.111,127.166,0.0,127.166,26.126,0.0,64.45,71.779,17.254,127.166,0.0,27.111,20.176,64.45,64.45,7.201,26.126,95.136,7.201,126.352,20.176,95.136,18.283,0.0
INST0132_N12_N12_D005,35.653,0.0,100.108,27.111,100.108,48.052,27.111,81.232,93.371,28.616,100.108,27.111,0.0,46.06,81.232,81.232,34.294,48.052,122.247,34.294,153.371,46.06,122.247,35.653,27.111
INST0132_N12_N12_P006,30.471,46.06,145.919,20.176,145.919,11.436,20.176,66.572,52.8,23.353,145.919,20.176,46.06,0.0,66.572,66.572,13.759,11.436,77.555,13.759,109.689,0.0,77.555,30.471,20.176
INST0132_N12_N12_D006,47.339,81.232,165.945,64.45,165.945,77.99,64.45,0.0,107.477,81.17,165.945,64.45,81.232,66.572,0.0,0.0,61.784,77.99,85.106,61.784,104.379,66.572,85.106,47.339,64.45
INST0132_N12_N12_P007,47.339,81.232,165.945,64.45,165.945,77.99,64.45,0.0,107.477,81.17,165.945,64.45,81.232,66.572,0.0,0.0,61.784,77.99,85.106,61.784,104.379,66.572,85.106,47.339,64.45
INST0132_N12_N12_D007,18.791,34.294,134.365,7.201,134.365,21.8,7.201,61.784,66.32,19.671,134.365,7.201,34.294,13.759,61.784,61.784,0.0,21.8,87.958,0.0,119.262,13.759,87.958,18.791,7.201
INST0132_N12_N12_P008,40.266,48.052,145.998,26.126,145.998,0.0,26.126,77.99,46.019,20.683,145.998,26.126,48.052,11.436,77.99,77.99,21.8,0.0,81.189,21.8,113.909,11.436,81.189,40.266,26.126
INST0132_N12_N12_D008,93.214,122.247,222.229,95.136,222.229,81.189,95.136,85.106,65.084,100.436,222.229,95.136,122.247,77.555,85.106,85.106,87.958,81.189,0.0,87.958,32.884,77.555,0.0,93.214,95.136
INST0132_N12_N12_P009,18.791,34.294,134.365,7.201,134.365,21.8,7.201,61.784,66.32,19.671,134.365,7.201,34.294,13.759,61.784,61.784,0.0,21.8,87.958,0.0,119.262,13.759,87.958,18.791,7.201
INST0132_N12_N12_D009,122.278,153.371,252.84,126.352,252.84,113.909,126.352,104.379,95.428,132.815,252.84,126.352,153.371,109.689,104.379,104.379,119.262,113.909,32.884,119.262,0.0,109.689,32.884,122.278,126.352
INST0132_N12_N12_P010,30.471,46.06,145.919,20.176,145.919,11.436,20.176,66.572,52.8,23.353,145.919,20.176,46.06,0.0,66.572,66.572,13.759,11.436,77.555,13.759,109.689,0.0,77.555,30.471,20.176
INST0132_N12_N12_D010,93.214,122.247,222.229,95.136,222.229,81.189,95.136,85.106,65.084,100.436,222.229,95.136,122.247,77.555,85.106,85.106,87.958,81.189,0.0,87.958,32.884,77.555,0.0,93.214,95.136
INST0132_N12_N12_P011,0.0,35.653,131.141,18.283,131.141,40.266,18.283,47.339,82.833,35.534,131.141,18.283,35.653,30.471,47.339,47.339,18.791,40.266,93.214,18.791,122.278,30.471,93.214,0.0,18.283
INST0132_N12_N12_D011,18.283,27.111,127.166,0.0,127.166,26.126,0.0,64.45,71.779,17.254,127.166,0.0,27.111,20.176,64.45,64.45,7.201,26.126,95.136,7.201,126.352,20.176,95.136,18.283,0.0
