,depot,INST0133_N12_W13_P000,INST0133_N12_W13_D000,INST0133_N12_W13_P001,INST0133_N12_W13_D001,INST0133_N12_W13_P002,INST0133_N12_W13_D002,INST0133_N12_W13_P003,INST0133_N12_W13_D003,INST0133_N12_W13_P004,INST0133_N12_W13_D004,INST0133_N12_W13_P005,INST0133_N12_W13_D005,INST0133_N12_W13_P006,INST0133_N12_W13_D006,INST0133_N12_W13_P007,INST0133_N12_W13_D007,INST0133_N12_W13_P008,INST0133_N12_W13_D008,INST0133_N12_W13_P009,INST0133_N12_W13_D009,INST0133_N12_W13_P010,INST0133_N12_W13_D010,INST0133_N12_W13_P011,INST0133_N12_W13_D011
INST0133_N12_W13_P006,50.015,49.056,50.015,66.284,84.648,0.0,67.612,0.0,66.284,0.0,66.284,49.056,70.587,0.0,70.587,0.0,86.82,24.909,50.015,49.056,70.587,50.015,49.056,24.909,67.612
INST0133_N12_W13_D006,115.643,56.961,115.643,128.123,64.294,70.587,43.046,70.587,128.123,70.587,128.123,56.961,0.0,70.587,0.0,70.587,92.961,68.471,115.643,56.961,0.0,115.643,56.961,68.471,43.046
INST0133_N12_W13_P007,50.015,49.056,50.015,66.284,84.648,0.0,67.612,0.0,66.284,0.0,66.284,49.056,70.587,0.0,70.587,0.0,86.82,24.909,50.015,49.056,70.587,50.015,49.056,24.909,67.612
INST0133_N12_W13_D007,129.907,43.098,129.907,147.866,35.228,86.82,50.317,86.82,147.866,86.82,147.866,43.098,92.961,86.82,92.961,86.82,0.0,61.972,129.907,43.098,92.961,129.907,43.098,61.972,50.317
INST0133_N12_W13_P008,70.637,27.496,70.637,88.095,63.48,24.909,50.631,24.909,88.095,24.909,88.095,27.496,68.471,24.909,68.471,24.909,61.972,0.0,70.637,27.496,68.471,70.637,27.496,0.0,50.631
INST0133_N12_W13_D008,0.0,97.602,0.0,18.026,133.671,50.015,117.595,50.015,18.026,50.015,18.026,97.602,115.643,50.015,115.643,50.015,129.907,70.637,0.0,97.602,115.643,0.0,97.602,70.637,117.595
INST0133_N12_W13_P009,97.602,0.0,97.602,114.719,36.098,49.056,25.201,49.056,114.719,49.056,114.719,0.0,56.961,49.056,56.961,49.056,43.098,27.496,97.602,0.0,56.961,97.602,0.0,27.496,25.201
INST0133_N12_W13_D009,115.643,56.961,115.643,128.123,64.294,70.587,43.046,70.587,128.123,70.587,128.123,56.961,0.0,70.587,0.0,70.587,92.961,68.471,115.643,56.961,0.0,115.643,56.961,68.471,43.046
INST0133_N12_W13_P010,0.0,97.602,0.0,18.026,133.671,50.015,117.595,50.015,18.026,50.015,18.026,97.602,115.643,50.015,115.643,50.015,129.907,70.637,0.0,97.602,115.643,0.0,97.602,70.637,117.595
INST0133_N12_W13_D010,97.602,0.0,97.602,114.719,36.098,49.056,25.201,49.056,114.719,49.056,114.719,0.0,56.961,49.056,56.961,49.056,43.098,27.496,97.602,0.0,56.961,97.602,0.0,27.496,25.201
INST0133_N12_W13_P011,70.637,27.496,70.637,88.095,63.48,24.909,50.631,24.909,88.095,24.909,88.095,27.496,68.471,24.909,68.471,24.909,61.972,0.0,70.637,27.496,68.471,70.637,27.496,0.0,50.631
INST0133_N12_W13_D011,117.595,25.201,117.595,133.769,22.951,67.612,0.0,67.612,133.769,67.612,133.769,25.201,43.046,67.612,43.046,67.612,50.317,50.631,117.595,25.201,43.046,117.595,25.201,50.631,0.0
