,depot,INST0130_N12_W10_P000,INST0130_N12_W10_D000,INST0130_N12_W10_P001,INST0130_N12_W10_D001,INST0130_N12_W10_P002,INST0130_N12_W10_D002,INST0130_N12_W10_P003,INST0130_N12_W10_D003,INST0130_N12_W10_P004,INST0130_N12_W10_D004,INST0130_N12_W10_P005,INST0130_N12_W10_D005,INST0130_N12_W10_P006,INST0130_N12_W10_D006,INST0130_N12_W10_P007,INST0130_N12_W10_D007,INST0130_N12_W10_P008,INST0130_N12_W10_D008,INST0130_N12_W10_P009,INST0130_N12_W10_D009,INST0130_N12_W10_P010,INST0130_N12_W10_D010,INST0130_N12_W10_P011,INST0130_N12_W10_D011
INST0130_N12_W10_D005,22.951,37.156,22.951,50.317,32.905,37.156,43.046,50.317,43.046,50.631,117.595,17.238,0.0,22.951,50.317,50.631,43.046,0.0,17.238,32.905,180.319,50.317,43.046,37.156,117.595
INST0130_N12_W10_P006,0.0,14.369,0.0,35.228,20.02,14.369,64.294,35.228,64.294,63.48,133.671,23.331,22.951,0.0,35.228,63.48,64.294,22.951,23.331,20.02,168.582,35.228,64.294,14.369,133.671
INST0130_N12_W10_D006,35.228,28.407,35.228,0.0,17.435,28.407,92.961,0.0,92.961,61.972,129.907,36.679,50.317,35.228,0.0,61.972,92.961,50.317,36.679,17.435,133.358,0.0,92.961,28.407,129.907
INST0130_N12_W10_P007,63.48,72.151,63.48,61.972,53.818,72.151,68.471,61.972,68.471,0.0,70.637,40.204,50.631,63.48,61.972,0.0,68.471,50.631,40.204,53.818,159.2,61.972,68.471,72.151,70.637
INST0130_N12_W10_D007,64.294,78.578,64.294,92.961,75.699,78.578,0.0,92.961,0.0,68.471,115.643,57.051,43.046,64.294,92.961,68.471,0.0,43.046,57.051,75.699,219.073,92.961,0.0,78.578,115.643
INST0130_N12_W10_P008,22.951,37.156,22.951,50.317,32.905,37.156,43.046,50.317,43.046,50.631,117.595,17.238,0.0,22.951,50.317,50.631,43.046,0.0,17.238,32.905,180.319,50.317,43.046,37.156,117.595
INST0130_N12_W10_D008,23.331,33.728,23.331,36.679,20.56,33.728,57.051,36.679,57.051,40.204,110.354,0.0,17.238,23.331,36.679,40.204,57.051,17.238,0.0,20.56,163.588,36.679,57.051,33.728,110.354
INST0130_N12_W10_P009,20.02,20.081,20.02,17.435,0.0,20.081,75.699,17.435,75.699,53.818,124.166,20.56,32.905,20.02,17.435,53.818,75.699,32.905,20.56,0.0,149.638,17.435,75.699,20.081,124.166
INST0130_N12_W10_D009,168.582,160.03,168.582,133.358,149.638,160.03,219.073,133.358,219.073,159.2,187.182,163.588,180.319,168.582,133.358,159.2,219.073,180.319,163.588,149.638,0.0,133.358,219.073,160.03,187.182
INST0130_N12_W10_P010,35.228,28.407,35.228,0.0,17.435,28.407,92.961,0.0,92.961,61.972,129.907,36.679,50.317,35.228,0.0,61.972,92.961,50.317,36.679,17.435,133.358,0.0,92.961,28.407,129.907
INST0130_N12_W10_D010,64.294,78.578,64.294,92.961,75.699,78.578,0.0,92.961,0.0,68.471,115.643,57.051,43.046,64.294,92.961,68.471,0.0,43.046,57.051,75.699,219.073,92.961,0.0,78.578,115.643
INST0130_N12_W10_P011,14.369,0.0,14.369,28.407,20.081,0.0,78.578,28.407,78.578,72.151,142.787,33.728,37.156,14.369,28.407,72.151,78.578,37.156,33.728,20.081,160.03,28.407,78.578,0.0,142.787
INST0130_N12_W10_D011,133.671,142.787,133.671,129.907,124.166,142.787,115.643,129.907,115.643,70.637,0.0,110.354,117.595,133.671,129.907,70.637,115.643,117.595,110.354,124.166,187.182,129.907,115.643,142.787,0.0
