,depot,INST0139_N12_W19_P000,INST0139_N12_W19_D000,INST0139_N12_W19_P001,INST0139_N12_W19_D001,INST0139_N12_W19_P002,INST0139_N12_W19_D002,INST0139_N12_W19_P003,INST0139_N12_W19_D003,INST0139_N12_W19_P004,INST0139_N12_W19_D004,INST0139_N12_W19_P005,INST0139_N12_W19_D005,INST0139_N12_W19_P006,INST0139_N12_W19_D006,INST0139_N12_W19_P007,INST0139_N12_W19_D007,INST0139_N12_W19_P008,INST0139_N12_W19_D008,INST0139_N12_W19_P009,INST0139_N12_W19_D009,INST0139_N12_W19_P010,INST0139_N12_W19_D010,INST0139_N12_W19_P011,INST0139_N12_W19_D011
INST0139_N12_W19_D004,133.769,67.612,133.769,50.631,133.769,50.631,0.0,117.595,50.317,50.631,0.0,117.595,0.0,133.769,22.951,117.595,133.769,50.631,50.317,133.769,50.631,117.595,133.769,117.595,50.317
INST0139_N12_W19_P005,18.026,50.015,18.026,70.637,18.026,70.637,117.595,0.0,129.907,70.637,117.595,0.0,117.595,18.026,133.671,0.0,18.026,70.637,129.907,18.026,70.637,0.0,18.026,0.0,129.907
INST0139_N12_W19_D005,133.769,67.612,133.769,50.631,133.769,50.631,0.0,117.595,50.317,50.631,0.0,117.595,0.0,133.769,22.951,117.595,133.769,50.631,50.317,133.769,50.631,117.595,133.769,117.595,50.317
INST0139_N12_W19_P006,0.0,66.284,0.0,88.095,0.0,88.095,133.769,18.026,147.866,88.095,133.769,18.026,133.769,0.0,150.679,18.026,0.0,88.095,147.866,0.0,88.095,18.026,0.0,18.026,147.866
INST0139_N12_W19_D006,150.679,84.648,150.679,63.48,150.679,63.48,22.951,133.671,35.228,63.48,22.951,133.671,22.951,150.679,0.0,133.671,150.679,63.48,35.228,150.679,63.48,133.671,150.679,133.671,35.228
INST0139_N12_W19_P007,18.026,50.015,18.026,70.637,18.026,70.637,117.595,0.0,129.907,70.637,117.595,0.0,117.595,18.026,133.671,0.0,18.026,70.637,129.907,18.026,70.637,0.0,18.026,0.0,129.907
INST0139_N12_W19_D007,0.0,66.284,0.0,88.095,0.0,88.095,133.769,18.026,147.866,88.095,133.769,18.026,133.769,0.0,150.679,18.026,0.0,88.095,147.866,0.0,88.095,18.026,0.0,18.026,147.866
INST0139_N12_W19_P008,88.095,24.909,88.095,0.0,88.095,0.0,50.631,70.637,61.972,0.0,50.631,70.637,50.631,88.095,63.48,70.637,88.095,0.0,61.972,88.095,0.0,70.637,88.095,70.637,61.972
INST0139_N12_W19_D008,147.866,86.82,147.866,61.972,147.866,61.972,50.317,129.907,0.0,61.972,50.317,129.907,50.317,147.866,35.228,129.907,147.866,61.972,0.0,147.866,61.972,129.907,147.866,129.907,0.0
INST0139_N12_W19_P009,0.0,66.284,0.0,88.095,0.0,88.095,133.769,18.026,147.866,88.095,133.769,18.026,133.769,0.0,150.679,18.026,0.0,88.095,147.866,0.0,88.095,18.026,0.0,18.026,147.866
INST0139_N12_W19_D009,88.095,24.909,88.095,0.0,88.095,0.0,50.631,70.637,61.972,0.0,50.631,70.637,50.631,88.095,63.48,70.637,88.095,0.0,61.972,88.095,0.0,70.637,88.095,70.637,61.972
INST0139_N12_W19_P010,18.026,50.015,18.026,70.637,18.026,70.637,117.595,0.0,129.907,70.637,117.595,0.0,117.595,18.026,133.671,0.0,18.026,70.637,129.907,18.026,70.637,0.0,18.026,0.0,129.907
INST0139_N12_W19_D010,0.0,66.284,0.0,88.095,0.0,88.095,133.769,18.026,147.866,88.095,133.769,18.026,133.769,0.0,150.679,18.026,0.0,88.095,147.866,0.0,88.095,18.026,0.0,18.026,147.866
INST0139_N12_W19_P011,18.026,50.015,18.026,70.637,18.026,70.637,117.595,0.0,129.907,70.637,117.595,0.0,117.595,18.026,133.671,0.0,18.026,70.637,129.907,18.026,70.637,0.0,18.026,0.0,129.907
INST0139_N12_W19_D011,147.866,86.82,147.866,61.972,147.866,61.972,50.317,129.907,0.0,61.972,50.317,129.907,50.317,147.866,35.228,129.907,147.866,61.972,0.0,147.866,61.972,129.907,147.866,129.907,0.0
