,depot,INST0278_N25_S08_P000,INST0278_N25_S08_D000,INST0278_N25_S08_P001,INST0278_N25_S08_D001,INST0278_N25_S08_P002,INST0278_N25_S08_D002,INST0278_N25_S08_P003,INST0278_N25_S08_D003,INST0278_N25_S08_P004,INST0278_N25_S08_D004,INST0278_N25_S08_P005,INST0278_N25_S08_D005,INST0278_N25_S08_P006,INST0278_N25_S08_D006,INST0278_N25_S08_P007,INST0278_N25_S08_D007,INST0278_N25_S08_P008,INST0278_N25_S08_D008,INST0278_N25_S08_P009,INST0278_N25_S08_D009,INST0278_N25_S08_P010,INST0278_N25_S08_D010,INST0278_N25_S08_P011,INST0278_N25_S08_D011,INST0278_N25_S08_P012,INST0278_N25_S08_D012,INST0278_N25_S08_P013,INST0278_N25_S08_D013,INST0278_N25_S08_P014,INST0278_N25_S08_D014,INST0278_N25_S08_P015,INST0278_N25_S08_D015,INST0278_N25_S08_P016,INST0278_N25_S08_D016,INST0278_N25_S08_P017,INST0278_N25_S08_D017,INST0278_N25_S08_P018,INST0278_N25_S08_D018,INST0278_N25_S08_P019,INST0278_N25_S08_D019,INST0278_N25_S08_P020,INST0278_N25_S08_D020,INST0278_N25_S08_P021,INST0278_N25_S08_D021,INST0278_N25_S08_P022,INST0278_N25_S08_D022,INST0278_N25_S08_P023,INST0278_N25_S08_D023,INST0278_N25_S08_P024,INST0278_N25_S08_D024
INST0278_N25_S08_D004,60.745,0.0,60.745,113.587,75.908,10.867,36.733,0.0,10.867,54.565,0.0,0.0,113.587,77.092,61.394,75.908,61.394,55.171,54.565,54.565,10.867,55.171,77.092,60.745,36.733,54.565,0.0,55.171,54.565,61.394,75.908,113.587,55.171,55.171,75.908,60.745,0.0,55.171,113.587,60.745,36.733,61.394,75.908,61.394,113.587,55.171,10.867,0.0,69.589,60.745,77.092
INST0278_N25_S08_P005,60.745,0.0,60.745,113.587,75.908,10.867,36.733,0.0,10.867,54.565,0.0,0.0,113.587,77.092,61.394,75.908,61.394,55.171,54.565,54.565,10.867,55.171,77.092,60.745,36.733,54.565,0.0,55.171,54.565,61.394,75.908,113.587,55.171,55.171,75.908,60.745,0.0,55.171,113.587,60.745,36.733,61.394,75.908,61.394,113.587,55.171,10.867,0.0,69.589,60.745,77.092
INST0278_N25_S08_D005,58.521,113.587,58.521,0.0,37.715,103.002,150.208,113.587,103.002,65.452,113.587,113.587,0.0,113.511,55.179,37.715,55.179,59.019,65.452,65.452,103.002,59.019,113.511,58.521,150.208,65.452,113.587,59.019,65.452,55.179,37.715,0.0,59.019,59.019,37.715,58.521,113.587,59.019,0.0,58.521,150.208,55.179,37.715,55.179,0.0,59.019,103.002,113.587,183.035,58.521,113.511
INST0278_N25_S08_P006,62.898,77.092,62.898,113.511,88.975,71.865,93.449,77.092,71.865,58.699,77.092,77.092,113.511,0.0,68.319,88.975,68.319,83.416,58.699,58.699,71.865,83.416,0.0,62.898,93.449,58.699,77.092,83.416,58.699,68.319,88.975,113.511,83.416,83.416,88.975,62.898,77.092,83.416,113.511,62.898,93.449,68.319,88.975,68.319,113.511,83.416,71.865,77.092,123.443,62.898,0.0
INST0278_N25_S08_D006,5.477,61.394,5.477,55.179,21.478,50.526,97.061,61.394,50.526,10.881,61.394,61.394,55.179,68.319,0.0,21.478,0.0,19.629,10.881,10.881,50.526,19.629,68.319,5.477,97.061,10.881,61.394,19.629,10.881,0.0,21.478,55.179,19.629,19.629,21.478,5.477,61.394,19.629,55.179,5.477,97.061,0.0,21.478,0.0,55.179,19.629,50.526,61.394,130.689,5.477,68.319
INST0278_N25_S08_P007,26.505,75.908,26.505,37.715,0.0,65.388,112.576,75.908,65.388,32.298,75.908,75.908,37.715,88.975,21.478,0.0,21.478,21.517,32.298,32.298,65.388,21.517,88.975,26.505,112.576,32.298,75.908,21.517,32.298,21.478,0.0,37.715,21.517,21.517,0.0,26.505,75.908,21.517,37.715,26.505,112.576,21.478,0.0,21.478,37.715,21.517,65.388,75.908,145.321,26.505,88.975
INST0278_N25_S08_D007,5.477,61.394,5.477,55.179,21.478,50.526,97.061,61.394,50.526,10.881,61.394,61.394,55.179,68.319,0.0,21.478,0.0,19.629,10.881,10.881,50.526,19.629,68.319,5.477,97.061,10.881,61.394,19.629,10.881,0.0,21.478,55.179,19.629,19.629,21.478,5.477,61.394,19.629,55.179,5.477,97.061,0.0,21.478,0.0,55.179,19.629,50.526,61.394,130.689,5.477,68.319
INST0278_N25_S08_P008,24.239,55.171,24.239,59.019,21.517,45.002,91.902,55.171,45.002,25.439,55.171,55.171,59.019,83.416,19.629,21.517,19.629,0.0,25.439,25.439,45.002,0.0,83.416,24.239,91.902,25.439,55.171,0.0,25.439,19.629,21.517,59.019,0.0,0.0,21.517,24.239,55.171,0.0,59.019,24.239,91.902,19.629,21.517,19.629,59.019,0.0,45.002,55.171,124.222,24.239,83.416
INST0278_N25_S08_D008,7.008,54.565,7.008,65.452,32.298,43.838,89.072,54.565,43.838,0.0,54.565,54.565,65.452,58.699,10.881,32.298,10.881,25.439,0.0,0.0,43.838,25.439,58.699,7.008,89.072,0.0,54.565,25.439,0.0,10.881,32.298,65.452,25.439,25.439,32.298,7.008,54.565,25.439,65.452,7.008,89.072,10.881,32.298,10.881,65.452,25.439,43.838,54.565,122.952,7.008,58.699
INST0278_N25_S08_P009,7.008,54.565,7.008,65.452,32.298,43.838,89.072,54.565,43.838,0.0,54.565,54.565,65.452,58.699,10.881,32.298,10.881,25.439,0.0,0.0,43.838,25.439,58.699,7.008,89.072,0.0,54.565,25.439,0.0,10.881,32.298,65.452,25.439,25.439,32.298,7.008,54.565,25.439,65.452,7.008,89.072,10.881,32.298,10.881,65.452,25.439,43.838,54.565,122.952,7.008,58.699
INST0278_N25_S08_D009,49.927,10.867,49.927,103.002,65.388,0.0,47.206,10.867,0.0,43.838,10.867,10.867,103.002,71.865,50.526,65.388,50.526,45.002,43.838,43.838,0.0,45.002,71.865,49.927,47.206,43.838,10.867,45.002,43.838,50.526,65.388,103.002,45.002,45.002,65.388,49.927,10.867,45.002,103.002,49.927,47.206,50.526,65.388,50.526,103.002,45.002,0.0,10.867,80.368,49.927,71.865
INST0278_N25_S08_P010,24.239,55.171,24.239,59.019,21.517,45.002,91.902,55.171,45.002,25.439,55.171,55.171,59.019,83.416,19.629,21.517,19.629,0.0,25.439,25.439,45.002,0.0,83.416,24.239,91.902,25.439,55.171,0.0,25.439,19.629,21.517,59.019,0.0,0.0,21.517,24.239,55.171,0.0,59.019,24.239,91.902,19.629,21.517,19.629,59.019,0.0,45.002,55.171,124.222,24.239,83.416
INST0278_N25_S08_D010,62.898,77.092,62.898,113.511,88.975,71.865,93.449,77.092,71.865,58.699,77.092,77.092,113.511,0.0,68.319,88.975,68.319,83.416,58.699,58.699,71.865,83.416,0.0,62.898,93.449,58.699,77.092,83.416,58.699,68.319,88.975,113.511,83.416,83.416,88.975,62.898,77.092,83.416,113.511,62.898,93.449,68.319,88.975,68.319,113.511,83.416,71.865,77.092,123.443,62.898,0.0
INST0278_N25_S08_P011,0.0,60.745,0.0,58.521,26.505,49.927,95.708,60.745,49.927,7.008,60.745,60.745,58.521,62.898,5.477,26.505,5.477,24.239,7.008,7.008,49.927,24.239,62.898,0.0,95.708,7.008,60.745,24.239,7.008,5.477,26.505,58.521,24.239,24.239,26.505,0.0,60.745,24.239,58.521,0.0,95.708,5.477,26.505,5.477,58.521,24.239,49.927,60.745,129.526,0.0,62.898
INST0278_N25_S08_D011,95.708,36.733,95.708,150.208,112.576,47.206,0.0,36.733,47.206,89.072,36.733,36.733,150.208,93.449,97.061,112.576,97.061,91.902,89.072,89.072,47.206,91.902,93.449,95.708,0.0,89.072,36.733,91.902,89.072,97.061,112.576,150.208,91.902,91.902,112.576,95.708,36.733,91.902,150.208,95.708,0.0,97.061,112.576,97.061,150.208,91.902,47.206,36.733,33.969,95.708,93.449
INST0278_N25_S08_P012,7.008,54.565,7.008,65.452,32.298,43.838,89.072,54.565,43.838,0.0,54.565,54.565,65.452,58.699,10.881,32.298,10.881,25.439,0.0,0.0,43.838,25.439,58.699,7.008,89.072,0.0,54.565,25.439,0.0,10.881,32.298,65.452,25.439,25.439,32.298,7.008,54.565,25.439,65.452,7.008,89.072,10.881,32.298,10.881,65.452,25.439,43.838,54.565,122.952,7.008,58.699
INST0278_N25_S08_D012,60.745,0.0,60.745,113.587,75.908,10.867,36.733,0.0,10.867,54.565,0.0,0.0,113.587,77.092,61.394,75.908,61.394,55.171,54.565,54.565,10.867,55.171,77.092,60.745,36.733,54.565,0.0,55.171,54.565,61.394,75.908,113.587,55.171,55.171,75.908,60.745,0.0,55.171,113.587,60.745,36.733,61.394,75.908,61.394,113.587,55.171,10.867,0.0,69.589,60.745,77.092
INST0278_N25_S08_P013,24.239,55.171,24.239,59.019,21.517,45.002,91.902,55.171,45.002,25.439,55.171,55.171,59.019,83.416,19.629,21.517,19.629,0.0,25.439,25.439,45.002,0.0,83.416,24.239,91.902,25.439,55.171,0.0,25.439,19.629,21.517,59.019,0.0,0.0,21.517,24.239,55.171,0.0,59.019,24.239,91.902,19.629,21.517,19.629,59.019,0.0,45.002,55.171,124.222,24.239,83.416
INST0278_N25_S08_D013,7.008,54.565,7.008,65.452,32.298,43.838,89.072,54.565,43.838,0.0,54.565,54.565,65.452,58.699,10.881,32.298,10.881,25.439,0.0,0.0,43.838,25.439,58.699,7.008,89.072,0.0,54.565,25.439,0.0,10.881,32.298,65.452,25.439,25.439,32.298,7.008,54.565,25.439,65.452,7.008,89.072,10.881,32.298,10.881,65.452,25.439,43.838,54.565,122.952,7.008,58.699
INST0278_N25_S08_P014,5.477,61.394,5.477,55.179,21.478,50.526,97.061,61.394,50.526,10.881,61.394,61.394,55.179,68.319,0.0,21.478,0.0,19.629,10.881,10.881,50.526,19.629,68.319,5.477,97.061,10.881,61.394,19.629,10.881,0.0,21.478,55.179,19.629,19.629,21.478,5.477,61.394,19.629,55.179,5.477,97.061,0.0,21.478,0.0,55.179,19.629,50.526,61.394,130.689,5.477,68.319
INST0278_N25_S08_D014,26.505,75.908,26.505,37.715,0.0,65.388,112.576,75.908,65.388,32.298,75.908,75.908,37.715,88.975,21.478,0.0,21.478,21.517,32.298,32.298,65.388,21.517,88.975,26.505,112.576,32.298,75.908,21.517,32.298,21.478,0.0,37.715,21.517,21.517,0.0,26.505,75.908,21.517,37.715,26.505,112.576,21.478,0.0,21.478,37.715,21.517,65.388,75.908,145.321,26.505,88.975
INST0278_N25_S08_P015,58.521,113.587,58.521,0.0,37.715,103.002,150.208,113.587,103.002,65.452,113.587,113.587,0.0,113.511,55.179,37.715,55.179,59.019,65.452,65.452,103.002,59.019,113.511,58.521,150.208,65.452,113.587,59.019,65.452,55.179,37.715,0.0,59.019,59.019,37.715,58.521,113.587,59.019,0.0,58.521,150.208,55.179,37.715,55.179,0.0,59.019,103.002,113.587,183.035,58.521,113.511
INST0278_N25_S08_D015,24.239,55.171,24.239,59.019,21.517,45.002,91.902,55.171,45.002,25.439,55.171,55.171,59.019,83.416,19.629,21.517,19.629,0.0,25.439,25.439,45.002,0.0,83.416,24.239,91.902,25.439,55.171,0.0,25.439,19.629,21.517,59.019,0.0,0.0,21.517,24.239,55.171,0.0,59.019,24.239,91.902,19.629,21.517,19.629,59.019,0.0,45.002,55.171,124.222,24.239,83.416
INST0278_N25_S08_P016,24.239,55.171,24.239,59.019,21.517,45.002,91.902,55.171,45.002,25.439,55.171,55.171,59.019,83.416,19.629,21.517,19.629,0.0,25.439,25.439,45.002,0.0,83.416,24.239,91.902,25.439,55.171,0.0,25.439,19.629,21.517,59.019,0.0,0.0,21.517,24.239,55.171,0.0,59.019,24.239,91.902,19.629,21.517,19.629,59.019,0.0,45.002,55.171,124.222,24.239,83.416
INST0278_N25_S08_D016,26.505,75.908,26.505,37.715,0.0,65.388,112.576,75.908,65.388,32.298,75.908,75.908,37.715,88.975,21.478,0.0,21.478,21.517,32.298,32.298,65.388,21.517,88.975,26.505,112.576,32.298,75.908,21.517,32.298,21.478,0.0,37.715,21.517,21.517,0.0,26.505,75.908,21.517,37.715,26.505,112.576,21.478,0.0,21.478,37.715,21.517,65.388,75.908,145.321,26.505,88.975
INST0278_N25_S08_P017,0.0,60.745,0.0,58.521,26.505,49.927,95.708,60.745,49.927,7.008,60.745,60.745,58.521,62.898,5.477,26.505,5.477,24.239,7.008,7.008,49.927,24.239,62.898,0.0,95.708,7.008,60.745,24.239,7.008,5.477,26.505,58.521,24.239,24.239,26.505,0.0,60.745,24.239,58.521,0.0,95.708,5.477,26.505,5.477,58.521,24.239,49.927,60.745,129.526,0.0,62.898
INST0278_N25_S08_D017,60.745,0.0,60.745,113.587,75.908,10.867,36.733,0.0,10.867,54.565,0.0,0.0,113.587,77.092,61.394,75.908,61.394,55.171,54.565,54.565,10.867,55.171,77.092,60.745,36.733,54.565,0.0,55.171,54.565,61.394,75.908,113.587,55.171,55.171,75.908,60.745,0.0,55.171,113.587,60.745,36.733,61.394,75.908,61.394,113.587,55.171,10.867,0.0,69.589,60.745,77.092
INST0278_N25_S08_P018,24.239,55.171,24.239,59.019,21.517,45.002,91.902,55.171,45.002,25.439,55.171,55.171,59.019,83.416,19.629,21.517,19.629,0.0,25.439,25.439,45.002,0.0,83.416,24.239,91.902,25.439,55.171,0.0,25.439,19.629,21.517,59.019,0.0,0.0,21.517,24.239,55.171,0.0,59.019,24.239,91.902,19.629,21.517,19.629,59.019,0.0,45.002,55.171,124.222,24.239,83.416
INST0278_N25_S08_D018,58.521,113.587,58.521,0.0,37.715,103.002,150.208,113.587,103.002,65.452,113.587,113.587,0.0,113.511,55.179,37.715,55.179,59.019,65.452,65.452,103.002,59.019,113.511,58.521,150.208,65.452,113.587,59.019,65.452,55.179,37.715,0.0,59.019,59.019,37.715,58.521,113.587,59.019,0.0,58.521,150.208,55.179,37.715,55.179,0.0,59.019,103.002,113.587,183.035,58.521,113.511
INST0278_N25_S08_P019,0.0,60.745,0.0,58.521,26.505,49.927,95.708,60.745,49.927,7.008,60.745,60.745,58.521,62.898,5.477,26.505,5.477,24.239,7.008,7.008,49.927,24.239,62.898,0.0,95.708,7.008,60.745,24.239,7.008,5.477,26.505,58.521,24.239,24.239,26.505,0.0,60.745,24.239,58.521,0.0,95.708,5.477,26.505,5.477,58.521,24.239,49.927,60.745,129.526,0.0,62.898
INST0278_N25_S08_D019,95.708,36.733,95.708,150.208,112.576,47.206,0.0,36.733,47.206,89.072,36.733,36.733,150.208,93.449,97.061,112.576,97.061,91.902,89.072,89.072,47.206,91.902,93.449,95.708,0.0,89.072,36.733,91.902,89.072,97.061,112.576,150.208,91.902,91.902,112.576,95.708,36.733,91.902,150.208,95.708,0.0,97.061,112.576,97.061,150.208,91.902,47.206,36.733,33.969,95.708,93.449
INST0278_N25_S08_P020,5.477,61.394,5.477,55.179,21.478,50.526,97.061,61.394,50.526,10.881,61.394,61.394,55.179,68.319,0.0,21.478,0.0,19.629,10.881,10.881,50.526,19.629,68.319,5.477,97.061,10.881,61.394,19.629,10.881,0.0,21.478,55.179,19.629,19.629,21.478,5.477,61.394,19.629,55.179,5.477,97.061,0.0,21.478,0.0,55.179,19.629,50.526,61.394,130.689,5.477,68.319
INST0278_N25_S08_D020,26.505,75.908,26.505,37.715,0.0,65.388,112.576,75.908,65.388,32.298,75.908,75.908,37.715,88.975,21.478,0.0,21.478,21.517,32.298,32.298,65.388,21.517,88.975,26.505,112.576,32.298,75.908,21.517,32.298,21.478,0.0,37.715,21.517,21.517,0.0,26.505,75.908,21.517,37.715,26.505,112.576,21.478,0.0,21.478,37.715,21.517,65.388,75.908,145.321,26.505,88.975
INST0278_N25_S08_P021,5.477,61.394,5.477,55.179,21.478,50.526,97.061,61.394,50.526,10.881,61.394,61.394,55.179,68.319,0.0,21.478,0.0,19.629,10.881,10.881,50.526,19.629,68.319,5.477,97.061,10.881,61.394,19.629,10.881,0.0,21.478,55.179,19.629,19.629,21.478,5.477,61.394,19.629,55.179,5.477,97.061,0.0,21.478,0.0,55.179,19.629,50.526,61.394,130.689,5.477,68.319
INST0278_N25_S08_D021,58.521,113.587,58.521,0.0,37.715,103.002,150.208,113.587,103.002,65.452,113.587,113.587,0.0,113.511,55.179,37.715,55.179,59.019,65.452,65.452,103.002,59.019,113.511,58.521,150.208,65.452,113.587,59.019,65.452,55.179,37.715,0.0,59.019,59.019,37.715,58.521,113.587,59.019,0.0,58.521,150.208,55.179,37.715,55.179,0.0,59.019,103.002,113.587,183.035,58.521,113.511
INST0278_N25_S08_P022,24.239,55.171,24.239,59.019,21.517,45.002,91.902,55.171,45.002,25.439,55.171,55.171,59.019,83.416,19.629,21.517,19.629,0.0,25.439,25.439,45.002,0.0,83.416,24.239,91.902,25.439,55.171,0.0,25.439,19.629,21.517,59.019,0.0,0.0,21.517,24.239,55.171,0.0,59.019,24.239,91.902,19.629,21.517,19.629,59.019,0.0,45.002,55.171,124.222,24.239,83.416
INST0278_N25_S08_D022,49.927,10.867,49.927,103.002,65.388,0.0,47.206,10.867,0.0,43.838,10.867,10.867,103.002,71.865,50.526,65.388,50.526,45.002,43.838,43.838,0.0,45.002,71.865,49.927,47.206,43.838,10.867,45.002,43.838,50.526,65.388,103.002,45.002,45.002,65.388,49.927,10.867,45.002,103.002,49.927,47.206,50.526,65.388,50.526,103.002,45.002,0.0,10.867,80.368,49.927,71.865
INST0278_N25_S08_P023,60.745,0.0,60.745,113.587,75.908,10.867,36.733,0.0,10.867,54.565,0.0,0.0,113.587,77.092,61.394,75.908,61.394,55.171,54.565,54.565,10.867,55.171,77.092,60.745,36.733,54.565,0.0,55.171,54.565,61.394,75.908,113.587,55.171,55.171,75.908,60.745,0.0,55.171,113.587,60.745,36.733,61.394,75.908,61.394,113.587,55.171,10.867,0.0,69.589,60.745,77.092
INST0278_N25_S08_D023,129.526,69.589,129.526,183.035,145.321,80.368,33.969,69.589,80.368,122.952,69.589,69.589,183.035,123.443,130.689,145.321,130.689,124.222,122.952,122.952,80.368,124.222,123.443,129.526,33.969,122.952,69.589,124.222,122.952,130.689,145.321,183.035,124.222,124.222,145.321,129.526,69.589,124.222,183.035,129.526,33.969,130.689,145.321,130.689,183.035,124.222,80.368,69.589,0.0,129.526,123.443
INST0278_N25_S08_P024,0.0,60.745,0.0,58.521,26.505,49.927,95.708,60.745,49.927,7.008,60.745,60.745,58.521,62.898,5.477,26.505,5.477,24.239,7.008,7.008,49.927,24.239,62.898,0.0,95.708,7.008,60.745,24.239,7.008,5.477,26.505,58.521,24.239,24.239,26.505,0.0,60.745,24.239,58.521,0.0,95.708,5.477,26.505,5.477,58.521,24.239,49.927,60.745,129.526,0.0,62.898
INST0278_N25_S08_D024,62.898,77.092,62.898,113.511,88.975,71.865,93.449,77.092,71.865,58.699,77.092,77.092,113.511,0.0,68.319,88.975,68.319,83.416,58.699,58.699,71.865,83.416,0.0,62.898,93.449,58.699,77.092,83.416,58.699,68.319,88.975,113.511,83.416,83.416,88.975,62.898,77.092,83.416,113.511,62.898,93.449,68.319,88.975,68.319,113.511,83.416,71.865,77.092,123.443,62.898,0.0
