,depot,INST0197_N18_S17_P000,INST0197_N18_S17_D000,INST0197_N18_S17_P001,INST0197_N18_S17_D001,INST0197_N18_S17_P002,INST0197_N18_S17_D002,INST0197_N18_S17_P003,INST0197_N18_S17_D003,INST0197_N18_S17_P004,INST0197_N18_S17_D004,INST0197_N18_S17_P005,INST0197_N18_S17_D005,INST0197_N18_S17_P006,INST0197_N18_S17_D006,INST0197_N18_S17_P007,INST0197_N18_S17_D007,INST0197_N18_S17_P008,INST0197_N18_S17_D008,INST0197_N18_S17_P009,INST0197_N18_S17_D009,INST0197_N18_S17_P010,INST0197_N18_S17_D010,INST0197_N18_S17_P011,INST0197_N18_S17_D011,INST0197_N18_S17_P012,INST0197_N18_S17_D012,INST0197_N18_S17_P013,INST0197_N18_S17_D013,INST0197_N18_S17_P014,INST0197_N18_S17_D014,INST0197_N18_S17_P015,INST0197_N18_S17_D015,INST0197_N18_S17_P016,INST0197_N18_S17_D016,INST0197_N18_S17_P017,INST0197_N18_S17_D017
INST0197_N18_S17_D004,72.268,71.658,67.228,71.658,46.181,126.125,72.268,67.228,71.658,46.181,0.0,126.125,72.268,67.566,80.145,80.145,67.228,72.268,224.124,67.566,0.0,139.086,183.928,72.268,46.181,80.145,67.566,126.125,138.993,67.228,71.658,46.181,183.928,126.125,72.268,139.086,71.658
INST0197_N18_S17_P005,55.105,61.135,72.248,61.135,80.067,0.0,55.105,72.248,61.135,80.067,126.125,0.0,55.105,61.869,53.679,53.679,72.248,55.105,98.41,61.869,126.125,13.307,57.803,55.105,80.067,53.679,61.869,0.0,87.998,72.248,61.135,80.067,57.803,0.0,55.105,13.307,61.135
INST0197_N18_S17_D005,0.0,29.68,23.863,29.68,26.348,55.105,0.0,23.863,29.68,26.348,72.268,55.105,0.0,24.036,31.149,31.149,23.863,0.0,152.108,24.036,72.268,67.557,112.533,0.0,26.348,31.149,24.036,55.105,102.142,23.863,29.68,26.348,112.533,55.105,0.0,67.557,29.68
INST0197_N18_S17_P006,24.036,6.707,44.645,6.707,26.3,61.869,24.036,44.645,6.707,26.3,67.566,61.869,24.036,0.0,13.324,13.324,44.645,24.036,160.028,0.0,67.566,75.176,118.85,24.036,26.3,13.324,0.0,61.869,83.656,44.645,6.707,26.3,118.85,61.869,24.036,75.176,6.707
INST0197_N18_S17_D006,31.149,8.581,54.293,8.581,39.549,53.679,31.149,54.293,8.581,39.549,80.145,53.679,31.149,13.324,0.0,0.0,54.293,31.149,150.553,13.324,80.145,66.815,109.068,31.149,39.549,0.0,13.324,53.679,71.877,54.293,8.581,39.549,109.068,53.679,31.149,66.815,8.581
INST0197_N18_S17_P007,31.149,8.581,54.293,8.581,39.549,53.679,31.149,54.293,8.581,39.549,80.145,53.679,31.149,13.324,0.0,0.0,54.293,31.149,150.553,13.324,80.145,66.815,109.068,31.149,39.549,0.0,13.324,53.679,71.877,54.293,8.581,39.549,109.068,53.679,31.149,66.815,8.581
INST0197_N18_S17_D007,23.863,51.136,0.0,51.136,30.556,72.248,23.863,0.0,51.136,30.556,67.228,72.248,23.863,44.645,54.293,54.293,0.0,23.863,164.482,44.645,67.228,83.129,127.137,23.863,30.556,54.293,44.645,72.248,125.848,0.0,51.136,30.556,127.137,72.248,23.863,83.129,51.136
INST0197_N18_S17_P008,0.0,29.68,23.863,29.68,26.348,55.105,0.0,23.863,29.68,26.348,72.268,55.105,0.0,24.036,31.149,31.149,23.863,0.0,152.108,24.036,72.268,67.557,112.533,0.0,26.348,31.149,24.036,55.105,102.142,23.863,29.68,26.348,112.533,55.105,0.0,67.557,29.68
INST0197_N18_S17_D008,152.108,158.604,164.482,158.604,177.944,98.41,152.108,164.482,158.604,177.944,224.124,98.41,152.108,160.028,150.553,150.553,164.482,152.108,0.0,160.028,224.124,85.211,41.594,152.108,177.944,150.553,160.028,98.41,151.155,164.482,158.604,177.944,41.594,98.41,152.108,85.211,158.604
INST0197_N18_S17_P009,24.036,6.707,44.645,6.707,26.3,61.869,24.036,44.645,6.707,26.3,67.566,61.869,24.036,0.0,13.324,13.324,44.645,24.036,160.028,0.0,67.566,75.176,118.85,24.036,26.3,13.324,0.0,61.869,83.656,44.645,6.707,26.3,118.85,61.869,24.036,75.176,6.707
INST0197_N18_S17_D009,72.268,71.658,67.228,71.658,46.181,126.125,72.268,67.228,71.658,46.181,0.0,126.125,72.268,67.566,80.145,80.145,67.228,72.268,224.124,67.566,0.0,139.086,183.928,72.268,46.181,80.145,67.566,126.125,138.993,67.228,71.658,46.181,183.928,126.125,72.268,139.086,71.658
INST0197_N18_S17_P010,67.557,74.382,83.129,74.382,92.948,13.307,67.557,83.129,74.382,92.948,139.086,13.307,67.557,75.176,66.815,66.815,83.129,67.557,85.211,75.176,139.086,0.0,44.98,67.557,92.948,66.815,75.176,13.307,94.398,83.129,74.382,92.948,44.98,13.307,67.557,0.0,74.382
INST0197_N18_S17_D010,112.533,117.194,127.137,117.194,137.848,57.803,112.533,127.137,117.194,137.848,183.928,57.803,112.533,118.85,109.068,109.068,127.137,112.533,41.594,118.85,183.928,44.98,0.0,112.533,137.848,109.068,118.85,57.803,114.428,127.137,117.194,137.848,0.0,57.803,112.533,44.98,117.194
INST0197_N18_S17_P011,0.0,29.68,23.863,29.68,26.348,55.105,0.0,23.863,29.68,26.348,72.268,55.105,0.0,24.036,31.149,31.149,23.863,0.0,152.108,24.036,72.268,67.557,112.533,0.0,26.348,31.149,24.036,55.105,102.142,23.863,29.68,26.348,112.533,55.105,0.0,67.557,29.68
INST0197_N18_S17_D011,26.348,32.455,30.556,32.455,0.0,80.067,26.348,30.556,32.455,0.0,46.181,80.067,26.348,26.3,39.549,39.549,30.556,26.348,177.944,26.3,46.181,92.948,137.848,26.348,0.0,39.549,26.3,80.067,108.949,30.556,32.455,0.0,137.848,80.067,26.348,92.948,32.455
INST0197_N18_S17_P012,31.149,8.581,54.293,8.581,39.549,53.679,31.149,54.293,8.581,39.549,80.145,53.679,31.149,13.324,0.0,0.0,54.293,31.149,150.553,13.324,80.145,66.815,109.068,31.149,39.549,0.0,13.324,53.679,71.877,54.293,8.581,39.549,109.068,53.679,31.149,66.815,8.581
INST0197_N18_S17_D012,24.036,6.707,44.645,6.707,26.3,61.869,24.036,44.645,6.707,26.3,67.566,61.869,24.036,0.0,13.324,13.324,44.645,24.036,160.028,0.0,67.566,75.176,118.85,24.036,26.3,13.324,0.0,61.869,83.656,44.645,6.707,26.3,118.85,61.869,24.036,75.176,6.707
INST0197_N18_S17_P013,55.105,61.135,72.248,61.135,80.067,0.0,55.105,72.248,61.135,80.067,126.125,0.0,55.105,61.869,53.679,53.679,72.248,55.105,98.41,61.869,126.125,13.307,57.803,55.105,80.067,53.679,61.869,0.0,87.998,72.248,61.135,80.067,57.803,0.0,55.105,13.307,61.135
INST0197_N18_S17_D013,102.142,77.018,125.848,77.018,108.949,87.998,102.142,125.848,77.018,108.949,138.993,87.998,102.142,83.656,71.877,71.877,125.848,102.142,151.155,83.656,138.993,94.398,114.428,102.142,108.949,71.877,83.656,87.998,0.0,125.848,77.018,108.949,114.428,87.998,102.142,94.398,77.018
INST0197_N18_S17_P014,23.863,51.136,0.0,51.136,30.556,72.248,23.863,0.0,51.136,30.556,67.228,72.248,23.863,44.645,54.293,54.293,0.0,23.863,164.482,44.645,67.228,83.129,127.137,23.863,30.556,54.293,44.645,72.248,125.848,0.0,51.136,30.556,127.137,72.248,23.863,83.129,51.136
INST0197_N18_S17_D014,29.68,0.0,51.136,0.0,32.455,61.135,29.68,51.136,0.0,32.455,71.658,61.135,29.68,6.707,8.581,8.581,51.136,29.68,158.604,6.707,71.658,74.382,117.194,29.68,32.455,8.581,6.707,61.135,77.018,51.136,0.0,32.455,117.194,61.135,29.68,74.382,0.0
INST0197_N18_S17_P015,26.348,32.455,30.556,32.455,0.0,80.067,26.348,30.556,32.455,0.0,46.181,80.067,26.348,26.3,39.549,39.549,30.556,26.348,177.944,26.3,46.181,92.948,137.848,26.348,0.0,39.549,26.3,80.067,108.949,30.556,32.455,0.0,137.848,80.067,26.348,92.948,32.455
INST0197_N18_S17_D015,112.533,117.194,127.137,117.194,137.848,57.803,112.533,127.137,117.194,137.848,183.928,57.803,112.533,118.85,109.068,109.068,127.137,112.533,41.594,118.85,183.928,44.98,0.0,112.533,137.848,109.068,118.85,57.803,114.428,127.137,117.194,137.848,0.0,57.803,112.533,44.98,117.194
INST0197_N18_S17_P016,55.105,61.135,72.248,61.135,80.067,0.0,55.105,72.248,61.135,80.067,126.125,0.0,55.105,61.869,53.679,53.679,72.248,55.105,98.41,61.869,126.125,13.307,57.803,55.105,80.067,53.679,61.869,0.0,87.998,72.248,61.135,80.067,57.803,0.0,55.105,13.307,61.135
INST0197_N18_S17_D016,0.0,29.68,23.863,29.68,26.348,55.105,0.0,23.863,29.68,26.348,72.268,55.105,0.0,24.036,31.149,31.149,23.863,0.0,152.108,24.036,72.268,67.557,112.533,0.0,26.348,31.149,24.036,55.105,102.142,23.863,29.68,26.348,112.533,55.105,0.0,67.557,29.68
INST0197_N18_S17_P017,67.557,74.382,83.129,74.382,92.948,13.307,67.557,83.129,74.382,92.948,139.086,13.307,67.557,75.176,66.815,66.815,83.129,67.557,85.211,75.176,139.086,0.0,44.98,67.557,92.948,66.815,75.176,13.307,94.398,83.129,74.382,92.948,44.98,13.307,67.557,0.0,74.382
INST0197_N18_S17_D017,29.68,0.0,51.136,0.0,32.455,61.135,29.68,51.136,0.0,32.455,71.658,61.135,29.68,6.707,8.581,8.581,51.136,29.68,158.604,6.707,71.658,74.382,117.194,29.68,32.455,8.581,6.707,61.135,77.018,51.136,0.0,32.455,117.194,61.135,29.68,74.382,0.0
