,depot,INST0127_N12_W07_P000,INST0127_N12_W07_D000,INST0127_N12_W07_P001,INST0127_N12_W07_D001,INST0127_N12_W07_P002,INST0127_N12_W07_D002,INST0127_N12_W07_P003,INST0127_N12_W07_D003,INST0127_N12_W07_P004,INST0127_N12_W07_D004,INST0127_N12_W07_P005,INST0127_N12_W07_D005,INST0127_N12_W07_P006,INST0127_N12_W07_D006,INST0127_N12_W07_P007,INST0127_N12_W07_D007,INST0127_N12_W07_P008,INST0127_N12_W07_D008,INST0127_N12_W07_P009,INST0127_N12_W07_D009,INST0127_N12_W07_P010,INST0127_N12_W07_D010,INST0127_N12_W07_P011,INST0127_N12_W07_D011
INST0127_N12_W07_P005,20.56,40.204,127.423,57.051,33.728,12.767,61.567,12.767,33.728,0.0,20.56,0.0,23.331,61.567,36.679,33.728,17.238,61.567,33.728,61.567,12.767,17.238,40.204,17.238,127.423
INST0127_N12_W07_D005,20.02,63.48,150.679,64.294,14.369,36.098,84.648,36.098,14.369,23.331,20.02,23.331,0.0,84.648,35.228,14.369,22.951,84.648,14.369,84.648,36.098,22.951,63.48,22.951,150.679
INST0127_N12_W07_P006,77.687,24.909,66.284,70.587,94.929,49.056,0.0,49.056,94.929,61.567,77.687,61.567,84.648,0.0,86.82,94.929,67.612,0.0,94.929,0.0,49.056,67.612,24.909,67.612,66.284
INST0127_N12_W07_D006,17.435,61.972,147.866,92.961,28.407,43.098,86.82,43.098,28.407,36.679,17.435,36.679,35.228,86.82,0.0,28.407,50.317,86.82,28.407,86.82,43.098,50.317,61.972,50.317,147.866
INST0127_N12_W07_P007,20.081,72.151,160.194,78.578,0.0,45.89,94.929,45.89,0.0,33.728,20.081,33.728,14.369,94.929,28.407,0.0,37.156,94.929,0.0,94.929,45.89,37.156,72.151,37.156,160.194
INST0127_N12_W07_D007,32.905,50.631,133.769,43.046,37.156,25.201,67.612,25.201,37.156,17.238,32.905,17.238,22.951,67.612,50.317,37.156,0.0,67.612,37.156,67.612,25.201,0.0,50.631,0.0,133.769
INST0127_N12_W07_P008,77.687,24.909,66.284,70.587,94.929,49.056,0.0,49.056,94.929,61.567,77.687,61.567,84.648,0.0,86.82,94.929,67.612,0.0,94.929,0.0,49.056,67.612,24.909,67.612,66.284
INST0127_N12_W07_D008,20.081,72.151,160.194,78.578,0.0,45.89,94.929,45.89,0.0,33.728,20.081,33.728,14.369,94.929,28.407,0.0,37.156,94.929,0.0,94.929,45.89,37.156,72.151,37.156,160.194
INST0127_N12_W07_P009,77.687,24.909,66.284,70.587,94.929,49.056,0.0,49.056,94.929,61.567,77.687,61.567,84.648,0.0,86.82,94.929,67.612,0.0,94.929,0.0,49.056,67.612,24.909,67.612,66.284
INST0127_N12_W07_D009,29.878,27.496,114.719,56.961,45.89,0.0,49.056,0.0,45.89,12.767,29.878,12.767,36.098,49.056,43.098,45.89,25.201,49.056,45.89,49.056,0.0,25.201,27.496,25.201,114.719
INST0127_N12_W07_P010,32.905,50.631,133.769,43.046,37.156,25.201,67.612,25.201,37.156,17.238,32.905,17.238,22.951,67.612,50.317,37.156,0.0,67.612,37.156,67.612,25.201,0.0,50.631,0.0,133.769
INST0127_N12_W07_D010,53.818,0.0,88.095,68.471,72.151,27.496,24.909,27.496,72.151,40.204,53.818,40.204,63.48,24.909,61.972,72.151,50.631,24.909,72.151,24.909,27.496,50.631,0.0,50.631,88.095
INST0127_N12_W07_P011,32.905,50.631,133.769,43.046,37.156,25.201,67.612,25.201,37.156,17.238,32.905,17.238,22.951,67.612,50.317,37.156,0.0,67.612,37.156,67.612,25.201,0.0,50.631,0.0,133.769
INST0127_N12_W07_D011,141.804,88.095,0.0,128.123,160.194,114.719,66.284,114.719,160.194,127.423,141.804,127.423,150.679,66.284,147.866,160.194,133.769,66.284,160.194,66.284,114.719,133.769,88.095,133.769,0.0
