,depot,INST0227_N20_S17_P000,INST0227_N20_S17_D000,INST0227_N20_S17_P001,INST0227_N20_S17_D001,INST0227_N20_S17_P002,INST0227_N20_S17_D002,INST0227_N20_S17_P003,INST0227_N20_S17_D003,INST0227_N20_S17_P004,INST0227_N20_S17_D004,INST0227_N20_S17_P005,INST0227_N20_S17_D005,INST0227_N20_S17_P006,INST0227_N20_S17_D006,INST0227_N20_S17_P007,INST0227_N20_S17_D007,INST0227_N20_S17_P008,INST0227_N20_S17_D008,INST0227_N20_S17_P009,INST0227_N20_S17_D009,INST0227_N20_S17_P010,INST0227_N20_S17_D010,INST0227_N20_S17_P011,INST0227_N20_S17_D011,INST0227_N20_S17_P012,INST0227_N20_S17_D012,INST0227_N20_S17_P013,INST0227_N20_S17_D013,INST0227_N20_S17_P014,INST0227_N20_S17_D014,INST0227_N20_S17_P015,INST0227_N20_S17_D015,INST0227_N20_S17_P016,INST0227_N20_S17_D016,INST0227_N20_S17_P017,INST0227_N20_S17_D017,INST0227_N20_S17_P018,INST0227_N20_S17_D018,INST0227_N20_S17_P019,INST0227_N20_S17_D019
INST0227_N20_S17_D004,24.239,5.477,7.008,7.008,62.898,5.477,26.505,41.761,58.521,26.505,0.0,24.239,129.526,0.0,41.761,0.0,129.526,58.521,49.927,58.521,0.0,24.239,5.477,41.761,5.477,5.477,60.745,41.761,24.239,0.0,41.761,7.008,95.708,26.505,49.927,0.0,24.239,41.761,7.008,58.521,0.0
INST0227_N20_S17_P005,0.0,19.629,25.439,25.439,83.416,19.629,21.517,19.488,59.019,21.517,24.239,0.0,124.222,24.239,19.488,24.239,124.222,59.019,45.002,59.019,24.239,0.0,19.629,19.488,19.629,19.629,55.171,19.488,0.0,24.239,19.488,25.439,91.902,21.517,45.002,24.239,0.0,19.488,25.439,59.019,24.239
INST0227_N20_S17_D005,124.222,130.689,122.952,122.952,123.443,130.689,145.321,134.327,183.035,145.321,129.526,124.222,0.0,129.526,134.327,129.526,0.0,183.035,80.368,183.035,129.526,124.222,130.689,134.327,130.689,130.689,69.589,134.327,124.222,129.526,134.327,122.952,33.969,145.321,80.368,129.526,124.222,134.327,122.952,183.035,129.526
INST0227_N20_S17_P006,24.239,5.477,7.008,7.008,62.898,5.477,26.505,41.761,58.521,26.505,0.0,24.239,129.526,0.0,41.761,0.0,129.526,58.521,49.927,58.521,0.0,24.239,5.477,41.761,5.477,5.477,60.745,41.761,24.239,0.0,41.761,7.008,95.708,26.505,49.927,0.0,24.239,41.761,7.008,58.521,0.0
INST0227_N20_S17_D006,19.488,36.46,44.339,44.339,102.776,36.46,24.954,0.0,54.903,24.954,41.761,19.488,134.327,41.761,0.0,41.761,134.327,54.903,59.003,54.903,41.761,19.488,36.46,0.0,36.46,36.46,67.889,0.0,19.488,41.761,0.0,44.339,103.829,24.954,59.003,41.761,19.488,0.0,44.339,54.903,41.761
INST0227_N20_S17_P007,24.239,5.477,7.008,7.008,62.898,5.477,26.505,41.761,58.521,26.505,0.0,24.239,129.526,0.0,41.761,0.0,129.526,58.521,49.927,58.521,0.0,24.239,5.477,41.761,5.477,5.477,60.745,41.761,24.239,0.0,41.761,7.008,95.708,26.505,49.927,0.0,24.239,41.761,7.008,58.521,0.0
INST0227_N20_S17_D007,124.222,130.689,122.952,122.952,123.443,130.689,145.321,134.327,183.035,145.321,129.526,124.222,0.0,129.526,134.327,129.526,0.0,183.035,80.368,183.035,129.526,124.222,130.689,134.327,130.689,130.689,69.589,134.327,124.222,129.526,134.327,122.952,33.969,145.321,80.368,129.526,124.222,134.327,122.952,183.035,129.526
INST0227_N20_S17_P008,59.019,55.179,65.452,65.452,113.511,55.179,37.715,54.903,0.0,37.715,58.521,59.019,183.035,58.521,54.903,58.521,183.035,0.0,103.002,0.0,58.521,59.019,55.179,54.903,55.179,55.179,113.587,54.903,59.019,58.521,54.903,65.452,150.208,37.715,103.002,58.521,59.019,54.903,65.452,0.0,58.521
INST0227_N20_S17_D008,45.002,50.526,43.838,43.838,71.865,50.526,65.388,59.003,103.002,65.388,49.927,45.002,80.368,49.927,59.003,49.927,80.368,103.002,0.0,103.002,49.927,45.002,50.526,59.003,50.526,50.526,10.867,59.003,45.002,49.927,59.003,43.838,47.206,65.388,0.0,49.927,45.002,59.003,43.838,103.002,49.927
INST0227_N20_S17_P009,59.019,55.179,65.452,65.452,113.511,55.179,37.715,54.903,0.0,37.715,58.521,59.019,183.035,58.521,54.903,58.521,183.035,0.0,103.002,0.0,58.521,59.019,55.179,54.903,55.179,55.179,113.587,54.903,59.019,58.521,54.903,65.452,150.208,37.715,103.002,58.521,59.019,54.903,65.452,0.0,58.521
INST0227_N20_S17_D009,24.239,5.477,7.008,7.008,62.898,5.477,26.505,41.761,58.521,26.505,0.0,24.239,129.526,0.0,41.761,0.0,129.526,58.521,49.927,58.521,0.0,24.239,5.477,41.761,5.477,5.477,60.745,41.761,24.239,0.0,41.761,7.008,95.708,26.505,49.927,0.0,24.239,41.761,7.008,58.521,0.0
INST0227_N20_S17_P010,0.0,19.629,25.439,25.439,83.416,19.629,21.517,19.488,59.019,21.517,24.239,0.0,124.222,24.239,19.488,24.239,124.222,59.019,45.002,59.019,24.239,0.0,19.629,19.488,19.629,19.629,55.171,19.488,0.0,24.239,19.488,25.439,91.902,21.517,45.002,24.239,0.0,19.488,25.439,59.019,24.239
INST0227_N20_S17_D010,19.629,0.0,10.881,10.881,68.319,0.0,21.478,36.46,55.179,21.478,5.477,19.629,130.689,5.477,36.46,5.477,130.689,55.179,50.526,55.179,5.477,19.629,0.0,36.46,0.0,0.0,61.394,36.46,19.629,5.477,36.46,10.881,97.061,21.478,50.526,5.477,19.629,36.46,10.881,55.179,5.477
INST0227_N20_S17_P011,19.488,36.46,44.339,44.339,102.776,36.46,24.954,0.0,54.903,24.954,41.761,19.488,134.327,41.761,0.0,41.761,134.327,54.903,59.003,54.903,41.761,19.488,36.46,0.0,36.46,36.46,67.889,0.0,19.488,41.761,0.0,44.339,103.829,24.954,59.003,41.761,19.488,0.0,44.339,54.903,41.761
INST0227_N20_S17_D011,19.629,0.0,10.881,10.881,68.319,0.0,21.478,36.46,55.179,21.478,5.477,19.629,130.689,5.477,36.46,5.477,130.689,55.179,50.526,55.179,5.477,19.629,0.0,36.46,0.0,0.0,61.394,36.46,19.629,5.477,36.46,10.881,97.061,21.478,50.526,5.477,19.629,36.46,10.881,55.179,5.477
INST0227_N20_S17_P012,19.629,0.0,10.881,10.881,68.319,0.0,21.478,36.46,55.179,21.478,5.477,19.629,130.689,5.477,36.46,5.477,130.689,55.179,50.526,55.179,5.477,19.629,0.0,36.46,0.0,0.0,61.394,36.46,19.629,5.477,36.46,10.881,97.061,21.478,50.526,5.477,19.629,36.46,10.881,55.179,5.477
INST0227_N20_S17_D012,55.171,61.394,54.565,54.565,77.092,61.394,75.908,67.889,113.587,75.908,60.745,55.171,69.589,60.745,67.889,60.745,69.589,113.587,10.867,113.587,60.745,55.171,61.394,67.889,61.394,61.394,0.0,67.889,55.171,60.745,67.889,54.565,36.733,75.908,10.867,60.745,55.171,67.889,54.565,113.587,60.745
INST0227_N20_S17_P013,19.488,36.46,44.339,44.339,102.776,36.46,24.954,0.0,54.903,24.954,41.761,19.488,134.327,41.761,0.0,41.761,134.327,54.903,59.003,54.903,41.761,19.488,36.46,0.0,36.46,36.46,67.889,0.0,19.488,41.761,0.0,44.339,103.829,24.954,59.003,41.761,19.488,0.0,44.339,54.903,41.761
INST0227_N20_S17_D013,0.0,19.629,25.439,25.439,83.416,19.629,21.517,19.488,59.019,21.517,24.239,0.0,124.222,24.239,19.488,24.239,124.222,59.019,45.002,59.019,24.239,0.0,19.629,19.488,19.629,19.629,55.171,19.488,0.0,24.239,19.488,25.439,91.902,21.517,45.002,24.239,0.0,19.488,25.439,59.019,24.239
INST0227_N20_S17_P014,24.239,5.477,7.008,7.008,62.898,5.477,26.505,41.761,58.521,26.505,0.0,24.239,129.526,0.0,41.761,0.0,129.526,58.521,49.927,58.521,0.0,24.239,5.477,41.761,5.477,5.477,60.745,41.761,24.239,0.0,41.761,7.008,95.708,26.505,49.927,0.0,24.239,41.761,7.008,58.521,0.0
INST0227_N20_S17_D014,19.488,36.46,44.339,44.339,102.776,36.46,24.954,0.0,54.903,24.954,41.761,19.488,134.327,41.761,0.0,41.761,134.327,54.903,59.003,54.903,41.761,19.488,36.46,0.0,36.46,36.46,67.889,0.0,19.488,41.761,0.0,44.339,103.829,24.954,59.003,41.761,19.488,0.0,44.339,54.903,41.761
INST0227_N20_S17_P015,25.439,10.881,0.0,0.0,58.699,10.881,32.298,44.339,65.452,32.298,7.008,25.439,122.952,7.008,44.339,7.008,122.952,65.452,43.838,65.452,7.008,25.439,10.881,44.339,10.881,10.881,54.565,44.339,25.439,7.008,44.339,0.0,89.072,32.298,43.838,7.008,25.439,44.339,0.0,65.452,7.008
INST0227_N20_S17_D015,91.902,97.061,89.072,89.072,93.449,97.061,112.576,103.829,150.208,112.576,95.708,91.902,33.969,95.708,103.829,95.708,33.969,150.208,47.206,150.208,95.708,91.902,97.061,103.829,97.061,97.061,36.733,103.829,91.902,95.708,103.829,89.072,0.0,112.576,47.206,95.708,91.902,103.829,89.072,150.208,95.708
INST0227_N20_S17_P016,21.517,21.478,32.298,32.298,88.975,21.478,0.0,24.954,37.715,0.0,26.505,21.517,145.321,26.505,24.954,26.505,145.321,37.715,65.388,37.715,26.505,21.517,21.478,24.954,21.478,21.478,75.908,24.954,21.517,26.505,24.954,32.298,112.576,0.0,65.388,26.505,21.517,24.954,32.298,37.715,26.505
INST0227_N20_S17_D016,45.002,50.526,43.838,43.838,71.865,50.526,65.388,59.003,103.002,65.388,49.927,45.002,80.368,49.927,59.003,49.927,80.368,103.002,0.0,103.002,49.927,45.002,50.526,59.003,50.526,50.526,10.867,59.003,45.002,49.927,59.003,43.838,47.206,65.388,0.0,49.927,45.002,59.003,43.838,103.002,49.927
INST0227_N20_S17_P017,24.239,5.477,7.008,7.008,62.898,5.477,26.505,41.761,58.521,26.505,0.0,24.239,129.526,0.0,41.761,0.0,129.526,58.521,49.927,58.521,0.0,24.239,5.477,41.761,5.477,5.477,60.745,41.761,24.239,0.0,41.761,7.008,95.708,26.505,49.927,0.0,24.239,41.761,7.008,58.521,0.0
INST0227_N20_S17_D017,0.0,19.629,25.439,25.439,83.416,19.629,21.517,19.488,59.019,21.517,24.239,0.0,124.222,24.239,19.488,24.239,124.222,59.019,45.002,59.019,24.239,0.0,19.629,19.488,19.629,19.629,55.171,19.488,0.0,24.239,19.488,25.439,91.902,21.517,45.002,24.239,0.0,19.488,25.439,59.019,24.239
INST0227_N20_S17_P018,19.488,36.46,44.339,44.339,102.776,36.46,24.954,0.0,54.903,24.954,41.761,19.488,134.327,41.761,0.0,41.761,134.327,54.903,59.003,54.903,41.761,19.488,36.46,0.0,36.46,36.46,67.889,0.0,19.488,41.761,0.0,44.339,103.829,24.954,59.003,41.761,19.488,0.0,44.339,54.903,41.761
INST0227_N20_S17_D018,25.439,10.881,0.0,0.0,58.699,10.881,32.298,44.339,65.452,32.298,7.008,25.439,122.952,7.008,44.339,7.008,122.952,65.452,43.838,65.452,7.008,25.439,10.881,44.339,10.881,10.881,54.565,44.339,25.439,7.008,44.339,0.0,89.072,32.298,43.838,7.008,25.439,44.339,0.0,65.452,7.008
INST0227_N20_S17_P019,59.019,55.179,65.452,65.452,113.511,55.179,37.715,54.903,0.0,37.715,58.521,59.019,183.035,58.521,54.903,58.521,183.035,0.0,103.002,0.0,58.521,59.019,55.179,54.903,55.179,55.179,113.587,54.903,59.019,58.521,54.903,65.452,150.208,37.715,103.002,58.521,59.019,54.903,65.452,0.0,58.521
INST0227_N20_S17_D019,24.239,5.477,7.008,7.008,62.898,5.477,26.505,41.761,58.521,26.505,0.0,24.239,129.526,0.0,41.761,0.0,129.526,58.521,49.927,58.521,0.0,24.239,5.477,41.761,5.477,5.477,60.745,41.761,24.239,0.0,41.761,7.008,95.708,26.505,49.927,0.0,24.239,41.761,7.008,58.521,0.0
