,depot,INST0146_N12_S26_P000,INST0146_N12_S26_D000,INST0146_N12_S26_P001,INST0146_N12_S26_D001,INST0146_N12_S26_P002,INST0146_N12_S26_D002,INST0146_N12_S26_P003,INST0146_N12_S26_D003,INST0146_N12_S26_P004,INST0146_N12_S26_D004,INST0146_N12_S26_P005,INST0146_N12_S26_D005,INST0146_N12_S26_P006,INST0146_N12_S26_D006,INST0146_N12_S26_P007,INST0146_N12_S26_D007,INST0146_N12_S26_P008,INST0146_N12_S26_D008,INST0146_N12_S26_P009,INST0146_N12_S26_D009,INST0146_N12_S26_P010,INST0146_N12_S26_D010,INST0146_N12_S26_P011,INST0146_N12_S26_D011
INST0146_N12_S26_D006,39.549,53.679,80.145,0.0,71.877,54.293,39.549,54.293,66.815,53.679,109.068,80.145,71.877,31.149,0.0,13.324,54.293,0.0,150.553,31.149,109.068,80.145,39.549,53.679,8.581
INST0146_N12_S26_P007,26.3,61.869,67.566,13.324,83.656,44.645,26.3,44.645,75.176,61.869,118.85,67.566,83.656,24.036,13.324,0.0,44.645,13.324,160.028,24.036,118.85,67.566,26.3,61.869,6.707
INST0146_N12_S26_D007,30.556,72.248,67.228,54.293,125.848,0.0,30.556,0.0,83.129,72.248,127.137,67.228,125.848,23.863,54.293,44.645,0.0,54.293,164.482,23.863,127.137,67.228,30.556,72.248,51.136
INST0146_N12_S26_P008,39.549,53.679,80.145,0.0,71.877,54.293,39.549,54.293,66.815,53.679,109.068,80.145,71.877,31.149,0.0,13.324,54.293,0.0,150.553,31.149,109.068,80.145,39.549,53.679,8.581
INST0146_N12_S26_D008,177.944,98.41,224.124,150.553,151.155,164.482,177.944,164.482,85.211,98.41,41.594,224.124,151.155,152.108,150.553,160.028,164.482,150.553,0.0,152.108,41.594,224.124,177.944,98.41,158.604
INST0146_N12_S26_P009,26.348,55.105,72.268,31.149,102.142,23.863,26.348,23.863,67.557,55.105,112.533,72.268,102.142,0.0,31.149,24.036,23.863,31.149,152.108,0.0,112.533,72.268,26.348,55.105,29.68
INST0146_N12_S26_D009,137.848,57.803,183.928,109.068,114.428,127.137,137.848,127.137,44.98,57.803,0.0,183.928,114.428,112.533,109.068,118.85,127.137,109.068,41.594,112.533,0.0,183.928,137.848,57.803,117.194
INST0146_N12_S26_P010,46.181,126.125,0.0,80.145,138.993,67.228,46.181,67.228,139.086,126.125,183.928,0.0,138.993,72.268,80.145,67.566,67.228,80.145,224.124,72.268,183.928,0.0,46.181,126.125,71.658
INST0146_N12_S26_D010,0.0,80.067,46.181,39.549,108.949,30.556,0.0,30.556,92.948,80.067,137.848,46.181,108.949,26.348,39.549,26.3,30.556,39.549,177.944,26.348,137.848,46.181,0.0,80.067,32.455
INST0146_N12_S26_P011,80.067,0.0,126.125,53.679,87.998,72.248,80.067,72.248,13.307,0.0,57.803,126.125,87.998,55.105,53.679,61.869,72.248,53.679,98.41,55.105,57.803,126.125,80.067,0.0,61.135
INST0146_N12_S26_D011,32.455,61.135,71.658,8.581,77.018,51.136,32.455,51.136,74.382,61.135,117.194,71.658,77.018,29.68,8.581,6.707,51.136,8.581,158.604,29.68,117.194,71.658,32.455,61.135,0.0
