,depot,INST0140_N12_S20_P000,INST0140_N12_S20_D000,INST0140_N12_S20_P001,INST0140_N12_S20_D001,INST0140_N12_S20_P002,INST0140_N12_S20_D002,INST0140_N12_S20_P003,INST0140_N12_S20_D003,INST0140_N12_S20_P004,INST0140_N12_S20_D004,INST0140_N12_S20_P005,INST0140_N12_S20_D005,INST0140_N12_S20_P006,INST0140_N12_S20_D006,INST0140_N12_S20_P007,INST0140_N12_S20_D007,INST0140_N12_S20_P008,INST0140_N12_S20_D008,INST0140_N12_S20_P009,INST0140_N12_S20_D009,INST0140_N12_S20_P010,INST0140_N12_S20_D010,INST0140_N12_S20_P011,INST0140_N12_S20_D011
INST0140_N12_S20_D004,0.0,36.46,21.478,50.526,68.319,19.629,130.689,5.477,55.179,68.319,0.0,21.478,0.0,68.319,21.478,19.629,5.477,61.394,55.179,5.477,36.46,68.319,55.179,21.478,68.319
INST0140_N12_S20_P005,21.478,24.954,0.0,65.388,88.975,21.517,145.321,26.505,37.715,88.975,21.478,0.0,21.478,88.975,0.0,21.517,26.505,75.908,37.715,26.505,24.954,88.975,37.715,0.0,88.975
INST0140_N12_S20_D005,0.0,36.46,21.478,50.526,68.319,19.629,130.689,5.477,55.179,68.319,0.0,21.478,0.0,68.319,21.478,19.629,5.477,61.394,55.179,5.477,36.46,68.319,55.179,21.478,68.319
INST0140_N12_S20_P006,68.319,102.776,88.975,71.865,0.0,83.416,123.443,62.898,113.511,0.0,68.319,88.975,68.319,0.0,88.975,83.416,62.898,77.092,113.511,62.898,102.776,0.0,113.511,88.975,0.0
INST0140_N12_S20_D006,21.478,24.954,0.0,65.388,88.975,21.517,145.321,26.505,37.715,88.975,21.478,0.0,21.478,88.975,0.0,21.517,26.505,75.908,37.715,26.505,24.954,88.975,37.715,0.0,88.975
INST0140_N12_S20_P007,19.629,19.488,21.517,45.002,83.416,0.0,124.222,24.239,59.019,83.416,19.629,21.517,19.629,83.416,21.517,0.0,24.239,55.171,59.019,24.239,19.488,83.416,59.019,21.517,83.416
INST0140_N12_S20_D007,5.477,41.761,26.505,49.927,62.898,24.239,129.526,0.0,58.521,62.898,5.477,26.505,5.477,62.898,26.505,24.239,0.0,60.745,58.521,0.0,41.761,62.898,58.521,26.505,62.898
INST0140_N12_S20_P008,61.394,67.889,75.908,10.867,77.092,55.171,69.589,60.745,113.587,77.092,61.394,75.908,61.394,77.092,75.908,55.171,60.745,0.0,113.587,60.745,67.889,77.092,113.587,75.908,77.092
INST0140_N12_S20_D008,55.179,54.903,37.715,103.002,113.511,59.019,183.035,58.521,0.0,113.511,55.179,37.715,55.179,113.511,37.715,59.019,58.521,113.587,0.0,58.521,54.903,113.511,0.0,37.715,113.511
INST0140_N12_S20_P009,5.477,41.761,26.505,49.927,62.898,24.239,129.526,0.0,58.521,62.898,5.477,26.505,5.477,62.898,26.505,24.239,0.0,60.745,58.521,0.0,41.761,62.898,58.521,26.505,62.898
INST0140_N12_S20_D009,36.46,0.0,24.954,59.003,102.776,19.488,134.327,41.761,54.903,102.776,36.46,24.954,36.46,102.776,24.954,19.488,41.761,67.889,54.903,41.761,0.0,102.776,54.903,24.954,102.776
INST0140_N12_S20_P010,68.319,102.776,88.975,71.865,0.0,83.416,123.443,62.898,113.511,0.0,68.319,88.975,68.319,0.0,88.975,83.416,62.898,77.092,113.511,62.898,102.776,0.0,113.511,88.975,0.0
INST0140_N12_S20_D010,55.179,54.903,37.715,103.002,113.511,59.019,183.035,58.521,0.0,113.511,55.179,37.715,55.179,113.511,37.715,59.019,58.521,113.587,0.0,58.521,54.903,113.511,0.0,37.715,113.511
INST0140_N12_S20_P011,21.478,24.954,0.0,65.388,88.975,21.517,145.321,26.505,37.715,88.975,21.478,0.0,21.478,88.975,0.0,21.517,26.505,75.908,37.715,26.505,24.954,88.975,37.715,0.0,88.975
INST0140_N12_S20_D011,68.319,102.776,88.975,71.865,0.0,83.416,123.443,62.898,113.511,0.0,68.319,88.975,68.319,0.0,88.975,83.416,62.898,77.092,113.511,62.898,102.776,0.0,113.511,88.975,0.0
