,depot,INST0166_N15_W16_P000,INST0166_N15_W16_D000,INST0166_N15_W16_P001,INST0166_N15_W16_D001,INST0166_N15_W16_P002,INST0166_N15_W16_D002,INST0166_N15_W16_P003,INST0166_N15_W16_D003,INST0166_N15_W16_P004,INST0166_N15_W16_D004,INST0166_N15_W16_P005,INST0166_N15_W16_D005,INST0166_N15_W16_P006,INST0166_N15_W16_D006,INST0166_N15_W16_P007,INST0166_N15_W16_D007,INST0166_N15_W16_P008,INST0166_N15_W16_D008,INST0166_N15_W16_P009,INST0166_N15_W16_D009,INST0166_N15_W16_P010,INST0166_N15_W16_D010,INST0166_N15_W16_P011,INST0166_N15_W16_D011,INST0166_N15_W16_P012,INST0166_N15_W16_D012,INST0166_N15_W16_P013,INST0166_N15_W16_D013,INST0166_N15_W16_P014,INST0166_N15_W16_D014
INST0166_N15_W16_D004,96.036,40.846,109.164,101.402,57.687,90.122,0.0,116.61,106.091,40.846,0.0,116.61,79.708,57.687,116.61,94.442,101.402,106.091,152.865,94.442,109.164,116.61,96.036,79.708,40.846,109.164,116.61,109.164,14.722,57.687,79.708
INST0166_N15_W16_P005,30.344,77.525,11.735,16.399,58.923,27.544,116.61,0.0,23.199,77.525,116.61,0.0,37.477,58.923,0.0,64.172,16.399,23.199,130.691,64.172,11.735,0.0,30.344,37.477,77.525,11.735,0.0,11.735,130.825,58.923,37.477
INST0166_N15_W16_D005,20.581,40.063,29.48,24.4,22.455,10.426,79.708,37.477,35.196,40.063,79.708,37.477,0.0,22.455,37.477,46.518,24.4,35.196,132.406,46.518,29.48,37.477,20.581,0.0,40.063,29.48,37.477,29.48,93.687,22.455,0.0
INST0166_N15_W16_P006,41.349,20.342,51.842,43.952,0.0,32.833,57.687,58.923,50.611,20.342,57.687,58.923,22.455,0.0,58.923,55.918,43.952,50.611,130.013,55.918,51.842,58.923,41.349,22.455,20.342,51.842,58.923,51.842,71.944,0.0,22.455
INST0166_N15_W16_D006,30.344,77.525,11.735,16.399,58.923,27.544,116.61,0.0,23.199,77.525,116.61,0.0,37.477,58.923,0.0,64.172,16.399,23.199,130.691,64.172,11.735,0.0,30.344,37.477,77.525,11.735,0.0,11.735,130.825,58.923,37.477
INST0166_N15_W16_P007,35.155,57.646,52.507,61.821,55.918,46.592,94.442,64.172,75.918,57.646,94.442,64.172,46.518,55.918,64.172,0.0,61.821,75.918,178.909,0.0,52.507,64.172,35.155,46.518,57.646,52.507,64.172,52.507,104.634,55.918,46.518
INST0166_N15_W16_D007,26.872,63.444,16.35,0.0,43.952,16.791,101.402,16.399,14.239,63.444,101.402,16.399,24.4,43.952,16.399,61.821,0.0,14.239,122.204,61.821,16.35,16.399,26.872,24.4,63.444,16.35,16.399,16.35,115.807,43.952,24.4
INST0166_N15_W16_P008,41.092,70.903,28.769,14.239,50.611,29.954,106.091,23.199,0.0,70.903,106.091,23.199,35.196,50.611,23.199,75.918,14.239,0.0,108.909,75.918,28.769,23.199,41.092,35.196,70.903,28.769,23.199,28.769,120.757,50.611,35.196
INST0166_N15_W16_D008,147.26,143.94,137.675,122.204,130.013,133.597,152.865,130.691,108.909,143.94,152.865,130.691,132.406,130.013,130.691,178.909,122.204,108.909,0.0,178.909,137.675,130.691,147.26,132.406,143.94,137.675,130.691,137.675,164.396,130.013,132.406
INST0166_N15_W16_P009,35.155,57.646,52.507,61.821,55.918,46.592,94.442,64.172,75.918,57.646,94.442,64.172,46.518,55.918,64.172,0.0,61.821,75.918,178.909,0.0,52.507,64.172,35.155,46.518,57.646,52.507,64.172,52.507,104.634,55.918,46.518
INST0166_N15_W16_D009,18.744,69.129,0.0,16.35,51.842,19.054,109.164,11.735,28.769,69.129,109.164,11.735,29.48,51.842,11.735,52.507,16.35,28.769,137.675,52.507,0.0,11.735,18.744,29.48,69.129,0.0,11.735,0.0,123.055,51.842,29.48
INST0166_N15_W16_P010,30.344,77.525,11.735,16.399,58.923,27.544,116.61,0.0,23.199,77.525,116.61,0.0,37.477,58.923,0.0,64.172,16.399,23.199,130.691,64.172,11.735,0.0,30.344,37.477,77.525,11.735,0.0,11.735,130.825,58.923,37.477
INST0166_N15_W16_D010,0.0,55.217,18.744,26.872,41.349,14.077,96.036,30.344,41.092,55.217,96.036,30.344,20.581,41.349,30.344,35.155,26.872,41.092,147.26,35.155,18.744,30.344,0.0,20.581,55.217,18.744,30.344,18.744,109.245,41.349,20.581
INST0166_N15_W16_P011,20.581,40.063,29.48,24.4,22.455,10.426,79.708,37.477,35.196,40.063,79.708,37.477,0.0,22.455,37.477,46.518,24.4,35.196,132.406,46.518,29.48,37.477,20.581,0.0,40.063,29.48,37.477,29.48,93.687,22.455,0.0
INST0166_N15_W16_D011,55.217,0.0,69.129,63.444,20.342,50.28,40.846,77.525,70.903,0.0,40.846,77.525,40.063,20.342,77.525,57.646,63.444,70.903,143.94,57.646,69.129,77.525,55.217,40.063,0.0,69.129,77.525,69.129,54.132,20.342,40.063
INST0166_N15_W16_P012,18.744,69.129,0.0,16.35,51.842,19.054,109.164,11.735,28.769,69.129,109.164,11.735,29.48,51.842,11.735,52.507,16.35,28.769,137.675,52.507,0.0,11.735,18.744,29.48,69.129,0.0,11.735,0.0,123.055,51.842,29.48
INST0166_N15_W16_D012,30.344,77.525,11.735,16.399,58.923,27.544,116.61,0.0,23.199,77.525,116.61,0.0,37.477,58.923,0.0,64.172,16.399,23.199,130.691,64.172,11.735,0.0,30.344,37.477,77.525,11.735,0.0,11.735,130.825,58.923,37.477
INST0166_N15_W16_P013,18.744,69.129,0.0,16.35,51.842,19.054,109.164,11.735,28.769,69.129,109.164,11.735,29.48,51.842,11.735,52.507,16.35,28.769,137.675,52.507,0.0,11.735,18.744,29.48,69.129,0.0,11.735,0.0,123.055,51.842,29.48
INST0166_N15_W16_D013,109.245,54.132,123.055,115.807,71.944,104.062,14.722,130.825,120.757,54.132,14.722,130.825,93.687,71.944,130.825,104.634,115.807,120.757,164.396,104.634,123.055,130.825,109.245,93.687,54.132,123.055,130.825,123.055,0.0,71.944,93.687
INST0166_N15_W16_P014,41.349,20.342,51.842,43.952,0.0,32.833,57.687,58.923,50.611,20.342,57.687,58.923,22.455,0.0,58.923,55.918,43.952,50.611,130.013,55.918,51.842,58.923,41.349,22.455,20.342,51.842,58.923,51.842,71.944,0.0,22.455
INST0166_N15_W16_D014,20.581,40.063,29.48,24.4,22.455,10.426,79.708,37.477,35.196,40.063,79.708,37.477,0.0,22.455,37.477,46.518,24.4,35.196,132.406,46.518,29.48,37.477,20.581,0.0,40.063,29.48,37.477,29.48,93.687,22.455,0.0
