,depot,INST0196_N18_W16_P000,INST0196_N18_W16_D000,INST0196_N18_W16_P001,INST0196_N18_W16_D001,INST0196_N18_W16_P002,INST0196_N18_W16_D002,INST0196_N18_W16_P003,INST0196_N18_W16_D003,INST0196_N18_W16_P004,INST0196_N18_W16_D004,INST0196_N18_W16_P005,INST0196_N18_W16_D005,INST0196_N18_W16_P006,INST0196_N18_W16_D006,INST0196_N18_W16_P007,INST0196_N18_W16_D007,INST0196_N18_W16_P008,INST0196_N18_W16_D008,INST0196_N18_W16_P009,INST0196_N18_W16_D009,INST0196_N18_W16_P010,INST0196_N18_W16_D010,INST0196_N18_W16_P011,INST0196_N18_W16_D011,INST0196_N18_W16_P012,INST0196_N18_W16_D012,INST0196_N18_W16_P013,INST0196_N18_W16_D013,INST0196_N18_W16_P014,INST0196_N18_W16_D014,INST0196_N18_W16_P015,INST0196_N18_W16_D015,INST0196_N18_W16_P016,INST0196_N18_W16_D016,INST0196_N18_W16_P017,INST0196_N18_W16_D017
INST0196_N18_W16_D004,22.951,22.951,150.679,23.331,64.294,63.48,22.951,14.369,133.671,35.228,0.0,23.331,35.228,84.648,63.48,63.48,150.679,35.228,14.369,84.648,63.48,0.0,35.228,84.648,0.0,22.951,36.098,20.02,36.098,36.098,64.294,22.951,14.369,20.02,0.0,14.369,64.294
INST0196_N18_W16_P005,17.238,17.238,127.423,0.0,57.051,40.204,17.238,33.728,110.354,36.679,23.331,0.0,36.679,61.567,40.204,40.204,127.423,36.679,33.728,61.567,40.204,23.331,36.679,61.567,23.331,17.238,12.767,20.56,12.767,12.767,57.051,17.238,33.728,20.56,23.331,33.728,57.051
INST0196_N18_W16_D005,50.317,50.317,147.866,36.679,92.961,61.972,50.317,28.407,129.907,0.0,35.228,36.679,0.0,86.82,61.972,61.972,147.866,0.0,28.407,86.82,61.972,35.228,0.0,86.82,35.228,50.317,43.098,17.435,43.098,43.098,92.961,50.317,28.407,17.435,35.228,28.407,92.961
INST0196_N18_W16_P006,67.612,67.612,66.284,61.567,70.587,24.909,67.612,94.929,50.015,86.82,84.648,61.567,86.82,0.0,24.909,24.909,66.284,86.82,94.929,0.0,24.909,84.648,86.82,0.0,84.648,67.612,49.056,77.687,49.056,49.056,70.587,67.612,94.929,77.687,84.648,94.929,70.587
INST0196_N18_W16_D006,50.631,50.631,88.095,40.204,68.471,0.0,50.631,72.151,70.637,61.972,63.48,40.204,61.972,24.909,0.0,0.0,88.095,61.972,72.151,24.909,0.0,63.48,61.972,24.909,63.48,50.631,27.496,53.818,27.496,27.496,68.471,50.631,72.151,53.818,63.48,72.151,68.471
INST0196_N18_W16_P007,50.631,50.631,88.095,40.204,68.471,0.0,50.631,72.151,70.637,61.972,63.48,40.204,61.972,24.909,0.0,0.0,88.095,61.972,72.151,24.909,0.0,63.48,61.972,24.909,63.48,50.631,27.496,53.818,27.496,27.496,68.471,50.631,72.151,53.818,63.48,72.151,68.471
INST0196_N18_W16_D007,133.769,133.769,0.0,127.423,128.123,88.095,133.769,160.194,18.026,147.866,150.679,127.423,147.866,66.284,88.095,88.095,0.0,147.866,160.194,66.284,88.095,150.679,147.866,66.284,150.679,133.769,114.719,141.804,114.719,114.719,128.123,133.769,160.194,141.804,150.679,160.194,128.123
INST0196_N18_W16_P008,50.317,50.317,147.866,36.679,92.961,61.972,50.317,28.407,129.907,0.0,35.228,36.679,0.0,86.82,61.972,61.972,147.866,0.0,28.407,86.82,61.972,35.228,0.0,86.82,35.228,50.317,43.098,17.435,43.098,43.098,92.961,50.317,28.407,17.435,35.228,28.407,92.961
INST0196_N18_W16_D008,37.156,37.156,160.194,33.728,78.578,72.151,37.156,0.0,142.787,28.407,14.369,33.728,28.407,94.929,72.151,72.151,160.194,28.407,0.0,94.929,72.151,14.369,28.407,94.929,14.369,37.156,45.89,20.081,45.89,45.89,78.578,37.156,0.0,20.081,14.369,0.0,78.578
INST0196_N18_W16_P009,67.612,67.612,66.284,61.567,70.587,24.909,67.612,94.929,50.015,86.82,84.648,61.567,86.82,0.0,24.909,24.909,66.284,86.82,94.929,0.0,24.909,84.648,86.82,0.0,84.648,67.612,49.056,77.687,49.056,49.056,70.587,67.612,94.929,77.687,84.648,94.929,70.587
INST0196_N18_W16_D009,50.631,50.631,88.095,40.204,68.471,0.0,50.631,72.151,70.637,61.972,63.48,40.204,61.972,24.909,0.0,0.0,88.095,61.972,72.151,24.909,0.0,63.48,61.972,24.909,63.48,50.631,27.496,53.818,27.496,27.496,68.471,50.631,72.151,53.818,63.48,72.151,68.471
INST0196_N18_W16_P010,22.951,22.951,150.679,23.331,64.294,63.48,22.951,14.369,133.671,35.228,0.0,23.331,35.228,84.648,63.48,63.48,150.679,35.228,14.369,84.648,63.48,0.0,35.228,84.648,0.0,22.951,36.098,20.02,36.098,36.098,64.294,22.951,14.369,20.02,0.0,14.369,64.294
INST0196_N18_W16_D010,50.317,50.317,147.866,36.679,92.961,61.972,50.317,28.407,129.907,0.0,35.228,36.679,0.0,86.82,61.972,61.972,147.866,0.0,28.407,86.82,61.972,35.228,0.0,86.82,35.228,50.317,43.098,17.435,43.098,43.098,92.961,50.317,28.407,17.435,35.228,28.407,92.961
INST0196_N18_W16_P011,67.612,67.612,66.284,61.567,70.587,24.909,67.612,94.929,50.015,86.82,84.648,61.567,86.82,0.0,24.909,24.909,66.284,86.82,94.929,0.0,24.909,84.648,86.82,0.0,84.648,67.612,49.056,77.687,49.056,49.056,70.587,67.612,94.929,77.687,84.648,94.929,70.587
INST0196_N18_W16_D011,22.951,22.951,150.679,23.331,64.294,63.48,22.951,14.369,133.671,35.228,0.0,23.331,35.228,84.648,63.48,63.48,150.679,35.228,14.369,84.648,63.48,0.0,35.228,84.648,0.0,22.951,36.098,20.02,36.098,36.098,64.294,22.951,14.369,20.02,0.0,14.369,64.294
INST0196_N18_W16_P012,0.0,0.0,133.769,17.238,43.046,50.631,0.0,37.156,117.595,50.317,22.951,17.238,50.317,67.612,50.631,50.631,133.769,50.317,37.156,67.612,50.631,22.951,50.317,67.612,22.951,0.0,25.201,32.905,25.201,25.201,43.046,0.0,37.156,32.905,22.951,37.156,43.046
INST0196_N18_W16_D012,25.201,25.201,114.719,12.767,56.961,27.496,25.201,45.89,97.602,43.098,36.098,12.767,43.098,49.056,27.496,27.496,114.719,43.098,45.89,49.056,27.496,36.098,43.098,49.056,36.098,25.201,0.0,29.878,0.0,0.0,56.961,25.201,45.89,29.878,36.098,45.89,56.961
INST0196_N18_W16_P013,32.905,32.905,141.804,20.56,75.699,53.818,32.905,20.081,124.166,17.435,20.02,20.56,17.435,77.687,53.818,53.818,141.804,17.435,20.081,77.687,53.818,20.02,17.435,77.687,20.02,32.905,29.878,0.0,29.878,29.878,75.699,32.905,20.081,0.0,20.02,20.081,75.699
INST0196_N18_W16_D013,25.201,25.201,114.719,12.767,56.961,27.496,25.201,45.89,97.602,43.098,36.098,12.767,43.098,49.056,27.496,27.496,114.719,43.098,45.89,49.056,27.496,36.098,43.098,49.056,36.098,25.201,0.0,29.878,0.0,0.0,56.961,25.201,45.89,29.878,36.098,45.89,56.961
INST0196_N18_W16_P014,25.201,25.201,114.719,12.767,56.961,27.496,25.201,45.89,97.602,43.098,36.098,12.767,43.098,49.056,27.496,27.496,114.719,43.098,45.89,49.056,27.496,36.098,43.098,49.056,36.098,25.201,0.0,29.878,0.0,0.0,56.961,25.201,45.89,29.878,36.098,45.89,56.961
INST0196_N18_W16_D014,43.046,43.046,128.123,57.051,0.0,68.471,43.046,78.578,115.643,92.961,64.294,57.051,92.961,70.587,68.471,68.471,128.123,92.961,78.578,70.587,68.471,64.294,92.961,70.587,64.294,43.046,56.961,75.699,56.961,56.961,0.0,43.046,78.578,75.699,64.294,78.578,0.0
INST0196_N18_W16_P015,0.0,0.0,133.769,17.238,43.046,50.631,0.0,37.156,117.595,50.317,22.951,17.238,50.317,67.612,50.631,50.631,133.769,50.317,37.156,67.612,50.631,22.951,50.317,67.612,22.951,0.0,25.201,32.905,25.201,25.201,43.046,0.0,37.156,32.905,22.951,37.156,43.046
INST0196_N18_W16_D015,37.156,37.156,160.194,33.728,78.578,72.151,37.156,0.0,142.787,28.407,14.369,33.728,28.407,94.929,72.151,72.151,160.194,28.407,0.0,94.929,72.151,14.369,28.407,94.929,14.369,37.156,45.89,20.081,45.89,45.89,78.578,37.156,0.0,20.081,14.369,0.0,78.578
INST0196_N18_W16_P016,32.905,32.905,141.804,20.56,75.699,53.818,32.905,20.081,124.166,17.435,20.02,20.56,17.435,77.687,53.818,53.818,141.804,17.435,20.081,77.687,53.818,20.02,17.435,77.687,20.02,32.905,29.878,0.0,29.878,29.878,75.699,32.905,20.081,0.0,20.02,20.081,75.699
INST0196_N18_W16_D016,22.951,22.951,150.679,23.331,64.294,63.48,22.951,14.369,133.671,35.228,0.0,23.331,35.228,84.648,63.48,63.48,150.679,35.228,14.369,84.648,63.48,0.0,35.228,84.648,0.0,22.951,36.098,20.02,36.098,36.098,64.294,22.951,14.369,20.02,0.0,14.369,64.294
INST0196_N18_W16_P017,37.156,37.156,160.194,33.728,78.578,72.151,37.156,0.0,142.787,28.407,14.369,33.728,28.407,94.929,72.151,72.151,160.194,28.407,0.0,94.929,72.151,14.369,28.407,94.929,14.369,37.156,45.89,20.081,45.89,45.89,78.578,37.156,0.0,20.081,14.369,0.0,78.578
INST0196_N18_W16_D017,43.046,43.046,128.123,57.051,0.0,68.471,43.046,78.578,115.643,92.961,64.294,57.051,92.961,70.587,68.471,68.471,128.123,92.961,78.578,70.587,68.471,64.294,92.961,70.587,64.294,43.046,56.961,75.699,56.961,56.961,0.0,43.046,78.578,75.699,64.294,78.578,0.0
